items,quality_control
"[['http://object-naming-amore.upf.edu//2354197_2289541_seed_ambiguous.png', ['person', 'icing', 'woman', 'girl']], ['http://object-naming-amore.upf.edu//2411147_1082261_seed_ambiguous.png', ['bike', 'mtorcycle', 'motorbike', 'motorcycle']], ['http://object-naming-amore.upf.edu//2353869_3576281_supercat_ambiguous.png', ['train car', 'car', 'train', 'display']], ['http://object-naming-amore.upf.edu//2366520_2340754_seed_ambiguous.png', ['futon', 'couch', 'cuoch', 'dog', 'sofa']], ['http://object-naming-amore.upf.edu//2333175_3318694_singleton_obj.png', ['juice', 'cup', 'beer', 'fork', 'drink', 'glass']], ['http://object-naming-amore.upf.edu//2354127_3574820_supercat_unique.png', ['pan', 'door', 'counter', 'cookie sheet', 'cake', 'table', 'food', 'desserts', 'tray']]]","['7b226963696e67223a20227365726966227d', '7b226d746f726379636c65223a202273616e732d6d6f746f726379636c65222c20226d6f746f7262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b22646973706c6179223a20227365726966227d', '7b2263756f6368223a202273616e732d636f756368222c2022636f756368223a2022626f6c642d736f6661227d', '7b22666f726b223a20227365726966227d', '7b22646f6f72223a20227365726966227d']"
"[['http://object-naming-amore.upf.edu//2343277_925490_supercat_unique.png', ['coat', 'tight', 'jacket', 't-shirt']], ['http://object-naming-amore.upf.edu//2346428_2106927_singleton_obj.png', ['window', 'person', 'girl', 'woman']], ['http://object-naming-amore.upf.edu//2368591_2281966_singleton_obj.png', ['motorcycle', 'rear view mirror', 'every', 'mirror']], ['http://object-naming-amore.upf.edu//2316006_2748402_seed_ambiguous.png', ['taable', 'table', 'desk', 'stand', 'end table']], ['http://object-naming-amore.upf.edu//2412916_184186_singleton_obj.png', ['salad', 'scallion', 'vegetable', 'food', 'greens', 'lettuce']], ['http://object-naming-amore.upf.edu//2359547_792529_singleton_obj.png', ['ppayer', 'soccer player', 'person', 'guy', 'dress', 'man', 'boy', 'shirt', 'player']]]","['7b227469676874223a2022636f7572696572227d', '7b2277696e646f77223a20227365726966227d', '7b226576657279223a2022636f7572696572227d', '7b22746161626c65223a202273616e732d7461626c65227d', '7b227363616c6c696f6e223a20227365726966227d', '7b22707061796572223a202273616e732d706c61796572227d']"
"[['http://object-naming-amore.upf.edu//2357698_809651_supercat_unique.png', ['bathrom', 'coat', 'jacket', 'man']], ['http://object-naming-amore.upf.edu//2366928_1695643_supercat_unique.png', ['child', 'girl', 'pretzel', 'spoon']], ['http://object-naming-amore.upf.edu//2408243_1679001_seed_ambiguous.png', ['aircraft', 'tree', 'airplane', 'plane']], ['http://object-naming-amore.upf.edu//2409590_238449_supercat_unique.png', ['t-shirt', 'jacket', 'shirt', 'arm', 'face']], ['http://object-naming-amore.upf.edu//2372913_734908_supercat_unique.png', ['shirt', 'face', 'jacket', 't-shirt', 'blouse', 'tie']], ['http://object-naming-amore.upf.edu//2348898_2338926_singleton_obj.png', ['game', 'woman', 'batter', 'softball player', 'helmet', 'ball', 'player', 'girl', 'person']]]","['7b2262617468726f6d223a2022636f7572696572227d', '7b22707265747a656c223a20227365726966227d', '7b2274726565223a20227365726966222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b2266616365223a20227365726966227d', '7b2266616365223a20227365726966227d', '7b2267616d65223a20227365726966227d']"
"[['http://object-naming-amore.upf.edu//2373001_3851915_supercat_unique.png', ['toilet', 'cat', 'toileet', 'bowl']], ['http://object-naming-amore.upf.edu//2349052_2115633_singleton_obj.png', ['kites', 'kite', 'balloon', 'pice']], ['http://object-naming-amore.upf.edu//2409398_1088779_singleton_obj.png', ['woman', 'girl', 'womna', 'person']], ['http://object-naming-amore.upf.edu//2357057_815414_singleton_obj.png', ['bun', 'food', 'hotdog', 'htodog', 'sandwich']], ['http://object-naming-amore.upf.edu//2345789_904761_supercat_unique.png', ['t-shirt', 'ember', 'guy', 'man', 'person', 'cap']], ['http://object-naming-amore.upf.edu//2361551_2997664_supercat_ambiguous.png', ['bottle', 'honey jars', 'table', 'tablle', 'stairs', 'step', 'counter', 'jars', 'shelf']]]","['7b22746f696c656574223a202273616e732d746f696c6574227d', '7b2270696365223a2022636f7572696572222c20226b69746573223a2022626f6c642d6b697465227d', '7b22776f6d6e61223a202273616e732d776f6d616e227d', '7b2268746f646f67223a202273616e732d686f74646f67227d', '7b22656d626572223a2022636f7572696572227d', '7b227461626c6c65223a202273616e732d7461626c65222c2022737461697273223a2022626f6c642d73746570227d']"
"[['http://object-naming-amore.upf.edu//2378050_1980710_supercat_unique.png', ['phone', 'jacket', 'shirt', 'coat']], ['http://object-naming-amore.upf.edu//2371352_2109672_singleton_obj.png', ['pot', 'vase', 'jag', 'vsae']], ['http://object-naming-amore.upf.edu//2337045_2886399_singleton_obj.png', ['airplane', 'plane', 'jet', 'letter']], ['http://object-naming-amore.upf.edu//2404300_1117063_singleton_obj.png', ['wheel', 'bike', 'abaton', 'motorcycle', 'motorbike']], ['http://object-naming-amore.upf.edu//2410659_212421_seed_ambiguous.png', ['brick', 'man', 't-shirt', 'lady', 'woman', 'person']], ['http://object-naming-amore.upf.edu//2410370_219272_singleton_obj.png', ['baseball field', 't-shirt', 'diirt', 'mound', 'pant', 'home base', 'catcher', 'dirt', 'field']]]","['7b2270686f6e65223a20227365726966227d', '7b2276736165223a202273616e732d76617365227d', '7b226c6574746572223a20227365726966222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b22616261746f6e223a2022636f7572696572222c20226d6f746f726379636c65223a2022626f6c642d6d6f746f7262696b65227d', '7b22627269636b223a20227365726966227d', '7b226469697274223a202273616e732d64697274227d']"
"[['http://object-naming-amore.upf.edu//2317148_2900684_supercat_unique.png', ['woman', 't-shirt', 'floor', 'girl']], ['http://object-naming-amore.upf.edu//2403360_1125454_singleton_obj.png', ['sailboat', 'ship', 'szilboat', 'boat']], ['http://object-naming-amore.upf.edu//2343852_919362_singleton_obj.png', ['airplane', 'jet', 'plane', 'fissure']], ['http://object-naming-amore.upf.edu//2360515_787561_seed_ambiguous.png', ['carpet', 'floor', 'person', 'desk', 'computer']], ['http://object-naming-amore.upf.edu//2416192_3286474_singleton_obj.png', ['skier', 'snowboarder', 'snowborader', 'man', 'person', 'boy']], ['http://object-naming-amore.upf.edu//2375246_2269180_seed_ambiguous.png', ['blanket', 'bed', 'shirt', 'rubble', 'clothes', 'jacket', 'sheets', 'cover', 'coat']]]","['7b22666c6f6f72223a20227365726966227d', '7b22737a696c626f6174223a202273616e732d7361696c626f6174227d', '7b2266697373757265223a2022636f7572696572222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b22706572736f6e223a20227365726966227d', '7b22736e6f77626f7261646572223a202273616e732d736e6f77626f6172646572227d', '7b22727562626c65223a20227365726966222c2022626c616e6b6574223a2022626f6c642d636f766572227d']"
"[['http://object-naming-amore.upf.edu//2358455_802580_singleton_obj.png', ['boy', 'shorts', 'man', 'person']], ['http://object-naming-amore.upf.edu//1472_3177392_seed_ambiguous.png', ['sedan', 'vehicoe', 'car', 'vehicle']], ['http://object-naming-amore.upf.edu//2343403_2206761_supercat_unique.png', ['pastry', 'donut', 'pstry', 'food']], ['http://object-naming-amore.upf.edu//2323501_2890957_singleton_obj.png', ['grass', 'man', 'person', 'guy', 't-shirt']], ['http://object-naming-amore.upf.edu//2330702_3100446_supercat_unique.png', ['person', 'man', 'girl', 'woman', 'shirt', 'suspenders']], ['http://object-naming-amore.upf.edu//2392848_1225313_singleton_obj.png', ['shoe', 'laces', 'skateboarder', 'person', 'skateboard', 'skater', 'man', 'legs', 'boy']]]","['7b2273686f727473223a20227365726966227d', '7b2276656869636f65223a202273616e732d76656869636c65227d', '7b227073747279223a202273616e732d706173747279227d', '7b226772617373223a20227365726966227d', '7b2273757370656e64657273223a20227365726966227d', '7b226c61636573223a20227365726966227d']"
"[['http://object-naming-amore.upf.edu//2322678_3715297_seed_ambiguous.png', ['plane', 'airplane', 'jet', 'planne']], ['http://object-naming-amore.upf.edu//2338371_3295366_singleton_obj.png', ['animl', 'goat', 'cow', 'animal']], ['http://object-naming-amore.upf.edu//2371842_2382225_singleton_obj.png', ['buyer', 'sandwich', 'food', 'croissant']], ['http://object-naming-amore.upf.edu//2415585_2845648_supercat_unique.png', ['woman', 'shirt', 'girl', 't-shirt', 'person', 'pull']], ['http://object-naming-amore.upf.edu//2381466_704424_supercat_ambiguous.png', ['train', 'nkb', 'door', 'train car', 'car', 'window']], ['http://object-naming-amore.upf.edu//2385549_1295569_singleton_obj.png', ['man', 'guy', 'persln', 'human', 'boy', 't-shirt', 'player', 'person']]]","['7b22706c616e6e65223a202273616e732d706c616e65222c20226a6574223a2022617269616c222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b22616e696d6c223a202273616e732d616e696d616c227d', '7b226275796572223a2022636f7572696572227d', '7b2270756c6c223a20227365726966227d', '7b226e6b62223a2022636f7572696572227d', '7b22706572736c6e223a202273616e732d706572736f6e222c202268756d616e223a2022626f6c642d6d616e227d']"
"[['http://object-naming-amore.upf.edu//1139_1639044_singleton_obj.png', ['flower', 'girl', 'woman', 'person']], ['http://object-naming-amore.upf.edu//2375433_2557708_supercat_ambiguous.png', ['guy', 'man', 'person', 'glasses']], ['http://object-naming-amore.upf.edu//2413371_174884_supercat_unique.png', ['suit', 'jacket', 'jakcet', 'tie']], ['http://object-naming-amore.upf.edu//2347018_2232940_singleton_obj.png', ['woman', 'dress', 'bride', 'preson', 'girl', 'person']], ['http://object-naming-amore.upf.edu//2360234_1695041_supercat_ambiguous.png', ['shirt', 'man', 'hand', 'gamer', 'guy', 'person']], ['http://object-naming-amore.upf.edu//2349002_1895586_seed_ambiguous.png', ['frisbee player', 'woman', 't-shirt', 'jersey', 'female', 'sock', 'girl', 'player']]]","['7b22666c6f776572223a20227365726966227d', '7b22676c6173736573223a20227365726966227d', '7b226a616b636574223a202273616e732d6a61636b6574227d', '7b22707265736f6e223a202273616e732d706572736f6e227d', '7b2268616e64223a20227365726966227d', '7b22736f636b223a20227365726966222c2022742d7368697274223a2022626f6c642d6a6572736579227d']"
"[['http://object-naming-amore.upf.edu//2353178_848599_supercat_unique.png', ['salad', 'food', 'vegetable', 'seeds']], ['http://object-naming-amore.upf.edu//2392527_1228943_supercat_unique.png', ['buttons', 'guy', 'man', 'tie']], ['http://object-naming-amore.upf.edu//2366544_1910271_supercat_ambiguous.png', ['windshield', 'vehicle', 'car', 'truck']], ['http://object-naming-amore.upf.edu//2394958_1209082_singleton_obj.png', ['pizza', 'nail', 'man', 'person', 'chef', 'guy']], ['http://object-naming-amore.upf.edu//2409701_235784_supercat_ambiguous.png', ['glass', 'slicker', 'shirt', 'coat', 't-shirt', 'jacket']], ['http://object-naming-amore.upf.edu//2357448_3389070_seed_ambiguous.png', ['shirt', 'suit', 'watch', 't-shirt', 'blazer', 'coat', 'jacket', 'jcaket']]]","['7b227365656473223a20227365726966227d', '7b22627574746f6e73223a20227365726966227d', '7b2277696e64736869656c64223a20227365726966227d', '7b226e61696c223a2022636f7572696572227d', '7b22736c69636b6572223a2022636f7572696572227d', '7b226a63616b6574223a202273616e732d6a61636b6574227d']"
"[['http://object-naming-amore.upf.edu//2417558_2959330_supercat_unique.png', ['toast', 'surface', 'food', 'plate']], ['http://object-naming-amore.upf.edu//2322746_3306645_seed_ambiguous.png', ['wine glass', 'cup', 'frame', 'glass']], ['http://object-naming-amore.upf.edu//2391454_488840_singleton_obj.png', ['bathtub', 'handle', 'tub', 'bath']], ['http://object-naming-amore.upf.edu//2407527_1097090_singleton_obj.png', ['boy', 'child', 'toddler', 'grass', 'girl', 'kid']], ['http://object-naming-amore.upf.edu//2327197_2949419_singleton_obj.png', ['man', 'cap', 'markins', 'player', 'tennis player', 'guy']], ['http://object-naming-amore.upf.edu//2338582_953704_singleton_obj.png', ['shoe', 'woman', 't-shirt', 'skirt', 'tennis player', 'player', 'girl', 'clubs']]]","['7b2273757266616365223a20227365726966227d', '7b226672616d65223a20227365726966227d', '7b2268616e646c65223a20227365726966222c2022747562223a2022626f6c642d626174687475622c62617468227d', '7b226772617373223a20227365726966222c20226368696c64223a2022626f6c642d6b6964227d', '7b226d61726b696e73223a2022636f7572696572227d', '7b22636c756273223a2022636f7572696572227d']"
"[['http://object-naming-amore.upf.edu//2379677_1355404_singleton_obj.png', ['vanity', 'counter', 'conuter', 'sink']], ['http://object-naming-amore.upf.edu//2362022_2330938_seed_ambiguous.png', ['chair', 'sofa', 'shelf', 'couch']], ['http://object-naming-amore.upf.edu//2381119_707218_supercat_unique.png', ['woods', 'woman', 'person', 'girl']], ['http://object-naming-amore.upf.edu//2412398_195125_supercat_unique.png', ['man', 'couch', 'pnat', 'sofa', 'pant', 't-shirt']], ['http://object-naming-amore.upf.edu//2353592_3578101_supercat_unique.png', ['food', 'fish', 'plate', 'chicken', 'meat', 'knife']], ['http://object-naming-amore.upf.edu//2346885_2162139_supercat_unique.png', ['t-shirt', 'shoulder', 'shirt', 'jacket', 'sweatshirt', 'hood', 'coat', 'hoodie']]]","['7b22636f6e75746572223a202273616e732d636f756e746572227d', '7b227368656c66223a20227365726966222c2022636f756368223a2022626f6c642d736f6661227d', '7b22776f6f6473223a20227365726966227d', '7b22706e6174223a202273616e732d70616e74222c2022636f756368223a2022626f6c642d736f6661227d', '7b226b6e696665223a20227365726966227d', '7b2273686f756c646572223a20227365726966227d']"
"[['http://object-naming-amore.upf.edu//235_1062791_supercat_unique.png', ['beak', 'blouse', 'shirt', 'dress']], ['http://object-naming-amore.upf.edu//2353355_846794_singleton_obj.png', ['woman', 'man', 'girl', 'surfer']], ['http://object-naming-amore.upf.edu//2363971_2144565_supercat_unique.png', ['raw', 'sofa', 't-shirt', 'couch']], ['http://object-naming-amore.upf.edu//2370538_2276569_singleton_obj.png', ['surfer', 'girl', 'person', 'woman', 'lady', 'indow']], ['http://object-naming-amore.upf.edu//2347544_1925451_singleton_obj.png', ['sandwich', 'cake', 'bread', 'hotdog', 'food', 'metal']], ['http://object-naming-amore.upf.edu//2373527_2514087_singleton_obj.png', ['cart', 'train car', 'box car', 'train', 'tram', 'redtrim', 'car', 'trolley']]]","['7b226265616b223a2022636f7572696572227d', '7b226d616e223a20227365726966227d', '7b22726177223a2022636f7572696572222c2022736f6661223a2022626f6c642d636f756368227d', '7b22696e646f77223a2022636f7572696572227d', '7b226d6574616c223a20227365726966227d', '7b227265647472696d223a2022636f7572696572222c202274726f6c6c6579223a2022626f6c642d7472616d227d']"
"[['http://object-naming-amore.upf.edu//2379641_1355706_supercat_unique.png', ['sofa', 't-shirt', 'cushion', 'couch']], ['http://object-naming-amore.upf.edu//2361356_2448356_supercat_ambiguous.png', ['car', 'train', 'hangers', 'train car']], ['http://object-naming-amore.upf.edu//2377491_1712182_supercat_ambiguous.png', ['hoodie', 'pores', 'man', 'boy']], ['http://object-naming-amore.upf.edu//2364790_638780_seed_ambiguous.png', ['jacket', 'suit jacket', 'tie', 'mouth', 'suit', 'coat']], ['http://object-naming-amore.upf.edu//2316797_2960669_seed_ambiguous.png', ['wood', 'sheep', 'ram', 'animal', 'cow', 'goat']], ['http://object-naming-amore.upf.edu//2387354_1276726_singleton_obj.png', ['boy', 'player', 'dirt', 'pitcher', 'woman', 'baseball player', 'person', 'cap']]]","['7b2263757368696f6e223a20227365726966222c2022736f6661223a2022626f6c642d636f756368227d', '7b2268616e67657273223a2022636f7572696572227d', '7b22706f726573223a2022636f7572696572227d', '7b226d6f757468223a20227365726966227d', '7b22776f6f64223a20227365726966227d', '7b2264697274223a20227365726966227d']"
