assignmentid,rating_mean,color_mean,n_annotations,correct1_count,correct1_sum,correct2_count,correct2_sum,correct3_count,correct3_sum,correct3_<lambda>,control_score,control_score-filtered,n_controls,n_correct,hitid,requesterannotation,control_score_mturk,workerid,errors_mturk,n_controls_mturk,n_correct_mturk,decision1,decision2,executed1,executed2,explanation,mistakes,n_mistakes
3H7XDTSHKCRNJNL6S887ARTEQLIWGG,0.3125,0.34375,32,9,5.0,7,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.75,0.8,16,12.0,3126F2F5F83WTGULKPZNUA4II93EPC,../1_pre-pilot/verification_round0_amt.csv_77,0.75,worker18,"['0-0-rand1', '1-0-alt0', '2-3-rand1', '5-1-alt1']",16,12,approve,block,False,False,"good enough assignment, blocked because low average quality","[""http://object-naming-amore.upf.edu//2336427_960264_supercat_unique.png - whippy: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2335202_3151297_singleton_obj.png - tail: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2379629_551624_singleton_obj.png - windshield: must be 'bounding box error'; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2375468_1767490_singleton_obj.png - litgh: must be 'other'; you said 'named object misinterpreted'""]",4
3KRVW3HTZNLU4G0JJ6W1Q7AQGTAMS9,0.625,0.03125,32,9,8.0,7,7.0,3,3.0,"[1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan]",0.9473684210526315,1.0,19,18.0,3126F2F5F83WTGULKPZNUA4II93EPC,../1_pre-pilot/verification_round0_amt.csv_77,0.9473684210526316,worker10,['0-0-rand1'],19,18,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","[""http://object-naming-amore.upf.edu//2375468_1767490_singleton_obj.png - litgh: must be 'other'; you said 'bounding box error'""]",1
352YTHGROVDPAHXX28K60ZMOLW44HH,0.4375,0.28125,32,7,7.0,3,3.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,10,10.0,31HLTCK4BLV7IEN8CWYA05ECHDUGVR,../1_pre-pilot/verification_round0_amt.csv_150,1.0,worker17,[''],10,10,approve,block,False,False,"good enough assignment, bonus because very good assignment, blocked because low average quality",[],0
3KB8R4ZV1E7VVKNVXHCBNDGTGNOBG9,0.625,3.375,32,7,7.0,3,3.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,10,10.0,31HLTCK4BLV7IEN8CWYA05ECHDUGVR,../1_pre-pilot/verification_round0_amt.csv_150,1.0,worker48,[''],10,10,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3OF2M9AATGOWF4MUTMDT7NFPE6LKZJ,0.34375,-0.0625,32,7,6.0,3,3.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9,0.9,10,9.0,31HLTCK4BLV7IEN8CWYA05ECHDUGVR,../1_pre-pilot/verification_round0_amt.csv_150,0.9,worker4,['5-3-alt0'],10,9,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2356155_2189127_supercat_ambiguous.png - topping: must be 'bounding box error'; you said 'adequate'""]",1
37UQDCYH6XVRB5A09VZHICX7KCN7VA,0.6774193548387096,2.838709677419355,31,7,5.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8181818181818182,0.8181818181818182,11,9.0,31ODACBENUFI3B0ILXYHJWY7OW9QSR,../1_pre-pilot/verification_round0_amt.csv_198,0.8181818181818181,worker48,"['2-2-bold-motorcycle0', '5-0-rand1']",11,9,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2366480_2574755_seed_ambiguous.png - bike: must be syn; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2408417_262274_singleton_obj.png - milan: must be 'other'; you said 'bounding box error'""]",2
3I02618YA06G4WP00RJTMCM964FUPK,0.4838709677419355,1.1612903225806452,31,7,5.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8181818181818182,0.8181818181818182,11,9.0,31ODACBENUFI3B0ILXYHJWY7OW9QSR,../1_pre-pilot/verification_round0_amt.csv_198,0.8181818181818181,worker49,"['3-0-rand1', '4-0-alt1']",11,9,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2378159_2466368_singleton_obj.png - table: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2354670_1936857_supercat_unique.png - tunk: must be 'other'; you said 'bounding box error'""]",2
3K4J6M3CXETQCAI3R3CFS2WNY3WAG2,0.5483870967741935,0.9032258064516129,31,7,4.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.7272727272727273,0.7272727272727273,11,8.0,31ODACBENUFI3B0ILXYHJWY7OW9QSR,../1_pre-pilot/verification_round0_amt.csv_198,0.7272727272727273,worker17,"['1-2-alt0', '2-2-bold-motorcycle0', '3-0-rand1']",11,8,approve,block,False,False,"good enough assignment, blocked because low average quality","[""http://object-naming-amore.upf.edu//2366480_2574755_seed_ambiguous.png - bike: must be syn; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2345494_3624193_singleton_obj.png - light: must be 'bounding box error'; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2354670_1936857_supercat_unique.png - tunk: must be 'other'; you said linguistic""]",3
3TXMY6UCAEO5IE9FEDDISBQD4S0QCN,0.5,0.65625,32,7,6.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9090909090909091,1.0,11,10.0,31S7M7DAGGQ8REXKISVBCFVZG90LTM,../1_pre-pilot/verification_round0_amt.csv_185,0.9090909090909091,worker23,['1-0-rand1'],11,10,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","[""http://object-naming-amore.upf.edu//2339650_2495558_singleton_obj.png - plaza: must be 'other'; you said 'bounding box error'""]",1
3TY7ZAOG5FKZDJG4PS011OC3WXLK06,0.53125,0.78125,32,7,6.0,4,4.0,1,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9166666666666666,1.0,12,11.0,31S7M7DAGGQ8REXKISVBCFVZG90LTM,../1_pre-pilot/verification_round0_amt.csv_185,0.9166666666666666,worker27,['1-0-rand1'],12,11,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","[""http://object-naming-amore.upf.edu//2339650_2495558_singleton_obj.png - plaza: must be 'other'; you said 'named object misinterpreted'""]",1
3U088ZLJVKTQ8JALE6J4PZ6YJ4T0WH,0.34375,0.65625,32,7,5.0,4,4.0,1,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan]",0.8333333333333334,0.9090909090909091,12,10.0,31S7M7DAGGQ8REXKISVBCFVZG90LTM,../1_pre-pilot/verification_round0_amt.csv_185,0.8333333333333334,worker18,"['1-0-rand1', '4-5-rand1']",12,10,approve,block,False,False,"good enough assignment, blocked because low average quality","[""http://object-naming-amore.upf.edu//2404079_1119010_singleton_obj.png - strong: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2339650_2495558_singleton_obj.png - plaza: must be 'other'; you said 'bounding box error'""]",2
3634BBTX0OUZ4S56S7YARFKUAYLIF3,0.7419354838709677,0.5161290322580645,31,6,6.0,4,4.0,4,4.0,"[1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan]",1.0,1.0,14,14.0,31SIZS5W59F62W0568YCTMTB2UQQR3,../1_pre-pilot/verification_round0_amt.csv_195,1.0,worker9,[''],14,14,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3LKC68YZ3A3BB024GRLFF02GHDSOWQ,0.4838709677419355,0.41935483870967744,31,6,5.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9,0.9,10,9.0,31SIZS5W59F62W0568YCTMTB2UQQR3,../1_pre-pilot/verification_round0_amt.csv_195,0.9,worker35,['1-1-rand1'],10,9,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2362871_2391867_supercat_ambiguous.png - birds: must be 'other'; you said 'bounding box error'""]",1
3QIYRE09Y3H0SEMPIOWH7LCHVVY1NJ,0.5161290322580645,0.3548387096774194,31,6,5.0,4,4.0,3,3.0,"[1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan]",0.9230769230769231,0.9230769230769231,13,12.0,31SIZS5W59F62W0568YCTMTB2UQQR3,../1_pre-pilot/verification_round0_amt.csv_195,0.9230769230769231,worker57,['1-1-rand1'],13,12,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2362871_2391867_supercat_ambiguous.png - birds: must be 'other'; you said 'named object misinterpreted'""]",1
3A0EX8ZRN8OVHB8VRNYHUDNXLFLYBT,0.71875,0.1875,32,9,9.0,7,7.0,3,3.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, 1.0, 1.0, nan, nan, nan, nan, nan]",1.0,1.0,19,19.0,32204AGAABC20DSO77H6L4N39Y8HGR,../1_pre-pilot/verification_round0_amt.csv_79,1.0,worker59,[''],19,19,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3RANCT1ZVFHE02OQHM1SRSHKPRMBUK,0.71875,0.625,32,9,9.0,7,7.0,3,3.0,"[1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, 1.0, nan, nan, nan, nan, nan, nan]",1.0,1.0,19,19.0,32204AGAABC20DSO77H6L4N39Y8HGR,../1_pre-pilot/verification_round0_amt.csv_79,1.0,worker16,[''],19,19,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3TESA3PJ31AR6LNEZ90FEYBKO6XMM6,0.75,0.40625,32,9,7.0,7,7.0,4,4.0,"[1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, 1.0, 1.0, nan, nan, nan, nan, nan]",0.9,0.9,20,18.0,32204AGAABC20DSO77H6L4N39Y8HGR,../1_pre-pilot/verification_round0_amt.csv_79,0.9,worker29,"['3-2-alt1', '4-2-rand1']",20,18,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2415044_147131_supercat_unique.png - pepsi: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2354720_2701838_supercat_unique.png - bowls: must be 'bounding box error'; you said 'named object misinterpreted'""]",2
3DQQ64TANGLTW0E5VRYU4076RF0PWE,0.46875,0.21875,32,7,7.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,11,11.0,322ZSN9Z5GKCT6QZC0WUQYTOUN5T41,../1_pre-pilot/verification_round0_amt.csv_164,1.0,worker4,[''],11,11,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3FIJLY1B6U4RLESA52OU0CL6W94PF4,1.0,0.71875,32,7,5.0,4,4.0,3,2.0,"[nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan]",0.7857142857142857,0.7857142857142857,14,11.0,322ZSN9Z5GKCT6QZC0WUQYTOUN5T41,../1_pre-pilot/verification_round0_amt.csv_164,0.7857142857142857,worker29,"['1-3-typo-dresser0', '3-1-rand1', '4-2-1']",14,11,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2354413_838656_seed_ambiguous.png - dresesr: must be 'linguistic'; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2384106_528407_singleton_obj.png - reeses: must be 'other'; you said 'bounding box error'"", 'http://object-naming-amore.upf.edu//1592299_1608408_singleton_obj.png - cupboard: you said this was a bounding box error, but gave it the same color as cupboard_cabinet,bookcase,furniture, which you said were adequate names; that cannot be.']",3
3MB8LZR5BFTCAF5QELMKZ84RZVILK2,0.625,0.15625,32,7,3.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.6363636363636364,0.6363636363636364,11,7.0,322ZSN9Z5GKCT6QZC0WUQYTOUN5T41,../1_pre-pilot/verification_round0_amt.csv_164,0.6363636363636364,worker23,"['0-1-alt1', '3-1-rand1', '4-0-rand1', '5-7-alt1']",11,7,approve,,False,False,"failed assignment, but good enough average worker score","[""http://object-naming-amore.upf.edu//2331371_3065243_supercat_unique.png - stem: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2384106_528407_singleton_obj.png - reeses: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2335334_2968409_singleton_obj.png - ladder: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//1592299_1608408_singleton_obj.png - scooter: must be 'other'; you said 'named object misinterpreted'""]",4
37Q970SNZE8X8REUQKD36FMNIIH1SI,0.75,0.3125,32,7,7.0,6,6.0,5,5.0,"[nan, nan, nan, 1.0, nan, nan, 1.0, nan, 1.0, nan, nan, nan, nan, nan, 1.0, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,18,18.0,329E6HTMSW2S8RH8IDDJF2EMXA7K3Q,../1_pre-pilot/verification_round0_amt.csv_57,1.0,worker10,[''],18,18,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3TS1AR6UQQE2F8OA9GUD0QULWDQ7F3,0.5625,0.625,32,8,8.0,6,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,14,14.0,329E6HTMSW2S8RH8IDDJF2EMXA7K3Q,../1_pre-pilot/verification_round0_amt.csv_57,1.0,worker23,[''],14,14,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3Y54SXRO1LLEWOI7H8SDRMN6VZCUTL,0.375,1.09375,32,8,4.0,6,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.6428571428571429,0.6428571428571429,14,9.0,329E6HTMSW2S8RH8IDDJF2EMXA7K3Q,../1_pre-pilot/verification_round0_amt.csv_57,0.6428571428571428,worker18,"['0-0-bold-couch1', '1-1-alt1', '2-2-rand1', '3-3-alt1', '4-0-rand1']",14,9,reject,block,False,False,"failed assignment, worker not good enough on average, lenience already applied, blocked because low average quality","[""http://object-naming-amore.upf.edu//2360154_1842960_seed_ambiguous.png - shadow: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2346130_1998567_singleton_obj.png - wavy: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2376636_2515965_singleton_obj.png - windshield: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2350484_1707804_supercat_unique.png - brick: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2322207_3471976_singleton_obj.png - sofa: you erroneously gave this the same color as ['sofa']""]",5
31N2WW6R9RQKEPNN74RNN9I5RCE3F6,0.59375,1.03125,32,6,6.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,10,10.0,32W3UF2EZOLV7POOQE141OTK61U4CI,../1_pre-pilot/verification_round0_amt.csv_81,1.0,worker14,[''],10,10,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
32RIADZISS4E0QBDD2W54DTQU214S8,0.875,0.53125,32,6,6.0,4,4.0,5,5.0,"[nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, 1.0, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan]",1.0,1.0,15,15.0,32W3UF2EZOLV7POOQE141OTK61U4CI,../1_pre-pilot/verification_round0_amt.csv_81,1.0,worker16,[''],15,15,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3ZPPDN2SLVWENDC7T28RW40RF3NE9U,0.59375,0.8125,32,6,5.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9,0.9,10,9.0,32W3UF2EZOLV7POOQE141OTK61U4CI,../1_pre-pilot/verification_round0_amt.csv_81,0.9,worker12,['4-2-alt1'],10,9,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2391928_1235928_singleton_obj.png - column: must be 'bounding box error'; you said 'named object misinterpreted'""]",1
3IXEICO792JTUDS6LQUABG9QSCHT63,0.78125,0.09375,32,7,7.0,5,5.0,1,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,13,13.0,335HHSX8CD5ZOTIX5HGYFJK6W6SHDH,../1_pre-pilot/verification_round0_amt.csv_70,1.0,worker38,[''],13,13,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
