,domain,word1,word2,relation,same_object,subrelation,totalfreq,freq-w1-w2,freq-w2-w1,domain_w1,domain_w2,syn_w1,syn_w2
19361,buildings,canopy,roof,crossclassified,,,23,12,11,buildings,buildings,0,0
42781,buildings,restaurant,window,crossclassified,,,23,16,7,buildings,home,0,0
1480,buildings,house,store,crossclassified,,,23,20,3,buildings,buildings,0,0
1466,buildings,clock,clock tower,crossclassified,,,23,13,10,buildings,buildings,0,0
5042,buildings,house,cat,crossclassified,,,22,22,0,buildings,animals_plants,0,0
7046,buildings,house,man,crossclassified,,,22,21,1,buildings,people,0,0
29299,buildings,awning,sign,crossclassified,,,22,11,11,buildings,buildings,0,0
80214,buildings,sign,awning,crossclassified,,,22,11,11,buildings,buildings,0,0
14118,buildings,restaurant,shop,crossclassified,,,21,21,0,buildings,buildings,0,0
37093,buildings,building,cap,crossclassified,,,21,17,4,buildings,people,0,0
19340,buildings,tent,roof,crossclassified,,,21,12,9,buildings,buildings,0,0
17883,buildings,elephant,building,crossclassified,,,21,11,10,home,buildings,0,0
14511,buildings,bridge,tunnel,crossclassified,,,21,21,0,buildings,buildings,0,0
7203,buildings,house,cap,crossclassified,,,21,19,2,buildings,people,0,0
9363,buildings,bridge,wooden,crossclassified,,,21,21,0,buildings,home,0,0
4660,buildings,dugout,shirt,crossclassified,,,21,21,0,buildings,clothing,0,0
1978,buildings,house,board,crossclassified,,,21,16,5,buildings,home,0,0
1455,buildings,church,clock tower,crossclassified,,,21,13,8,buildings,buildings,0,0
1456,buildings,tower,church,crossclassified,,,20,10,10,buildings,buildings,0,0
6880,buildings,house,porch,crossclassified,,,20,17,3,buildings,buildings,0,0
12187,buildings,building,doorway,crossclassified,,,20,20,0,buildings,buildings,0,0
21483,buildings,house,clock,crossclassified,,,20,13,7,buildings,buildings,0,0
26577,buildings,church,tower,crossclassified,,,20,10,10,buildings,buildings,0,0
54331,buildings,bridge,dam,crossclassified,,,20,20,0,buildings,buildings,0,0
14116,buildings,building,mirror,crossclassified,,,19,17,2,buildings,vehicles,0,0
28637,buildings,shelter,giraffe,crossclassified,,,19,10,9,buildings,animals_plants,0,0
25833,buildings,tent,house,crossclassified,,,19,15,4,buildings,buildings,0,0
24124,buildings,bridge,motorcycle,crossclassified,,,19,12,7,buildings,vehicles,0,0
21425,buildings,bat,helmet,crossclassified,,,19,11,8,people,people,0,0
20922,buildings,train,track,crossclassified,,,19,16,3,vehicles,vehicles,0,0
7049,buildings,house,shoe,crossclassified,,,19,19,0,buildings,people,0,0
6430,buildings,bridge,water,crossclassified,,,19,19,0,buildings,home,0,0
1816,buildings,house,boy,crossclassified,,,19,17,2,buildings,people,0,0
10614,buildings,window,door,crossclassified,,,19,16,3,home,home,0,0
1449,buildings,castle,clock tower,crossclassified,,,19,15,4,buildings,buildings,0,0
10615,buildings,tree,window,crossclassified,,,18,9,9,buildings,home,0,0
5279,buildings,overpass,pole,crossclassified,,,18,13,5,buildings,buildings,0,0
8686,buildings,door,garage,crossclassified,,,18,14,4,home,buildings,0,0
9935,buildings,shed,shack,crossclassified,,,18,16,2,buildings,buildings,0,0
23297,buildings,building,bike,crossclassified,,,18,18,0,buildings,vehicles,0,0
33411,buildings,tent,pole,crossclassified,,,18,16,2,buildings,buildings,0,0
51566,buildings,window,tree,crossclassified,,,18,9,9,home,buildings,0,0
24724,buildings,building,light,crossclassified,,,17,17,0,buildings,home,0,0
9927,buildings,shelter,shed,crossclassified,,,17,12,5,buildings,buildings,0,0
4814,buildings,bridge,light,crossclassified,,,17,17,0,buildings,home,0,0
46124,buildings,dugout,building,crossclassified,,,17,17,0,buildings,buildings,0,0
6428,buildings,bridge,bike,crossclassified,,,17,17,0,buildings,vehicles,0,0
40024,buildings,bridge,belt,crossclassified,,,17,17,0,buildings,animals_plants,0,0
2974,buildings,train,tracks,crossclassified,,,17,13,4,vehicles,buildings,0,0
1450,buildings,castle,tower,crossclassified,,,17,12,5,buildings,buildings,0,0
1218,buildings,train,walkway,crossclassified,,,17,12,5,vehicles,buildings,0,0
793,buildings,bridge,rail,crossclassified,,,17,17,0,buildings,buildings,0,0
796,buildings,bridge,guardrail,crossclassified,,,17,17,0,buildings,buildings,0,0
1819,buildings,building,boy,crossclassified,,,17,11,6,buildings,people,0,0
7800,buildings,dugout,man,crossclassified,,,16,16,0,buildings,people,0,0
34321,buildings,window,wall,crossclassified,,,16,12,4,home,home,0,0
28804,buildings,storefront,shop,crossclassified,,,16,16,0,buildings,buildings,0,0
24723,buildings,building,wood,crossclassified,,,16,15,1,buildings,home,0,0
17185,buildings,dugout,wall,crossclassified,,,16,16,0,buildings,home,0,0
12193,buildings,house,doorway,crossclassified,,,16,12,4,buildings,buildings,0,0
26644,buildings,roof,awning,crossclassified,,,16,9,7,buildings,buildings,0,0
7368,buildings,train,railway,crossclassified,,,16,14,2,vehicles,buildings,0,0
7271,buildings,house,station,crossclassified,,,16,16,0,buildings,buildings,0,0
7053,buildings,building,shoe,crossclassified,,,16,15,1,buildings,people,0,0
773,buildings,pier,boardwalk,crossclassified,,,16,12,4,buildings,buildings,0,0
4773,buildings,overpass,car,crossclassified,,,16,13,3,buildings,vehicles,0,0
2294,buildings,store,window,crossclassified,,,16,11,5,buildings,home,0,0
26744,buildings,house,skateboarder,crossclassified,,,15,15,0,buildings,people,0,0
24718,buildings,house,wood,crossclassified,,,15,15,0,buildings,home,0,0
20580,buildings,road,sidewalk,crossclassified,,,15,8,7,buildings,buildings,0,0
20569,buildings,sidewalk,street,crossclassified,,,15,14,1,buildings,buildings,0,0
17884,buildings,building,pavilion,crossclassified,,,15,12,3,buildings,buildings,0,0
13908,buildings,house,flower,crossclassified,,,15,15,0,buildings,animals_plants,0,0
6436,buildings,bridge,cycle,crossclassified,,,15,15,0,buildings,people,0,0
5164,buildings,boat,building,crossclassified,,,15,8,7,vehicles,buildings,0,0
186,buildings,dugout,sideline,crossclassified,,,15,15,0,buildings,buildings,0,0
14658,buildings,bridge,railroad,crossclassified,,,14,14,0,buildings,buildings,0,0
44077,buildings,building,stairs,crossclassified,,,14,14,0,buildings,buildings,0,0
25839,buildings,building,awning,crossclassified,,,14,11,3,buildings,buildings,0,0
21413,buildings,dugout,bullpen,crossclassified,,,14,14,0,buildings,buildings,0,0
14941,buildings,grill,barbecue,crossclassified,,,14,14,0,buildings,buildings,0,0
17887,buildings,house,elephant,crossclassified,,,14,8,6,buildings,home,0,0
7200,buildings,house,woman,crossclassified,,,14,14,0,buildings,people,0,0
5782,buildings,bridge,roadway,crossclassified,,,14,14,0,buildings,buildings,0,0
3987,buildings,dugout,baseball team,crossclassified,,,14,14,0,buildings,buildings,0,0
3621,buildings,house,church,crossclassified,,,14,12,2,buildings,buildings,0,0
2293,buildings,cafe,store,crossclassified,,,14,9,5,buildings,buildings,0,0
12741,buildings,bridge,tree,crossclassified,,,13,13,0,buildings,buildings,0,0
47010,buildings,storefront,window,crossclassified,,,13,10,3,buildings,home,0,0
45803,buildings,dugout,shoe,crossclassified,,,13,13,0,buildings,people,0,0
45802,buildings,dugout,pant,crossclassified,,,13,13,0,buildings,people,0,0
35546,buildings,bridge,shoe,crossclassified,,,13,9,4,buildings,people,0,0
32074,buildings,bricks,house,crossclassified,,,13,9,4,buildings,buildings,0,0
32072,buildings,bricks,building,crossclassified,,,13,10,3,buildings,buildings,0,0
26852,buildings,building,patio,crossclassified,,,13,10,3,buildings,home,0,0
26745,buildings,building,helmet,crossclassified,,,13,11,2,buildings,people,0,0
24194,buildings,bat,t-shirt,crossclassified,,,13,11,2,people,clothing,0,0
14817,buildings,tent,t-shirt,crossclassified,,,13,12,1,buildings,clothing,0,0
20576,buildings,walkway,road,crossclassified,,,13,7,6,buildings,buildings,0,0
11337,buildings,bridge,truck,crossclassified,,,13,13,0,buildings,vehicles,0,0
8115,buildings,dugout,player,crossclassified,,,13,13,0,buildings,people,0,0
787,buildings,dock,boardwalk,crossclassified,,,13,12,1,buildings,buildings,0,0
1469,buildings,tower,clock,crossclassified,,,13,9,4,buildings,buildings,0,0
7270,buildings,building,train station,crossclassified,,,13,13,0,buildings,buildings,0,0
7525,buildings,bridge,trestle,crossclassified,,,13,13,0,buildings,buildings,0,0
7207,buildings,building,woman,crossclassified,,,13,8,5,buildings,people,0,0
8118,buildings,dugout,baseball player,crossclassified,,,13,13,0,buildings,people,0,0
8695,buildings,car,window,crossclassified,,,13,7,6,vehicles,home,0,0
8719,buildings,walkway,overpass,crossclassified,,,13,8,5,buildings,buildings,0,0
9926,buildings,barn,shed,crossclassified,,,13,7,6,buildings,buildings,0,0
13910,buildings,flower,building,crossclassified,,,12,7,5,animals_plants,buildings,0,0
26586,buildings,cathedral,clock tower,crossclassified,,,12,6,6,buildings,buildings,0,0
25935,buildings,building,canopy,crossclassified,,,12,7,5,buildings,buildings,0,0
25508,buildings,building,glass,crossclassified,,,12,11,1,buildings,home,0,0
20565,buildings,street,walkway,crossclassified,,,12,11,1,buildings,buildings,0,0
17183,buildings,dugout,stadium,crossclassified,,,12,12,0,buildings,buildings,0,0
15383,buildings,house,fence,crossclassified,,,12,9,3,buildings,buildings,0,0
15342,buildings,dugout,baseball players,crossclassified,,,12,12,0,buildings,buildings,0,0
68760,buildings,building,skateboard,crossclassified,,,12,12,0,buildings,people,0,0
12725,buildings,bridge,path,crossclassified,,,12,8,4,buildings,buildings,0,0
9962,buildings,house,shelter,crossclassified,,,12,10,2,buildings,buildings,0,0
8693,buildings,house,mirror,crossclassified,,,12,12,0,buildings,vehicles,0,0
6434,buildings,bridge,bicycle,crossclassified,,,12,12,0,buildings,vehicles,0,0
4813,buildings,bridge,vehicle,crossclassified,,,12,12,0,buildings,vehicles,0,0
1461,buildings,cathedral,tower,crossclassified,,,12,7,5,buildings,buildings,0,0
1460,buildings,clock tower,cathedral,crossclassified,,,12,6,6,buildings,buildings,0,0
10861,buildings,building,jacket,crossclassified,,,12,12,0,buildings,clothing,0,0
33257,buildings,tent,pant,crossclassified,,,11,10,1,buildings,people,0,0
26746,buildings,building,skateboarder,crossclassified,,,11,9,2,buildings,people,0,0
26855,buildings,building,chair,crossclassified,,,11,11,0,buildings,home,0,0
28399,buildings,shed,cabin,crossclassified,,,11,11,0,buildings,buildings,0,0
29911,buildings,train,railroad,crossclassified,,,11,9,2,vehicles,buildings,0,0
29999,buildings,car,home,crossclassified,,,11,10,1,vehicles,buildings,0,0
50343,buildings,cap,t-shirt,crossclassified,,,11,7,4,people,clothing,0,0
33534,buildings,building,animal,crossclassified,,,11,11,0,buildings,animals_plants,0,0
43925,buildings,window,room,crossclassified,,,11,11,0,home,home,0,0
44079,buildings,house,stairs,crossclassified,,,11,9,2,buildings,buildings,0,0
24137,buildings,road,bike,crossclassified,,,11,9,2,buildings,vehicles,0,0
54332,buildings,bridge,pool,crossclassified,,,11,11,0,buildings,home,0,0
24523,buildings,building,street sign,crossclassified,,,11,11,0,buildings,buildings,0,0
26850,buildings,building,bench,crossclassified,,,11,11,0,buildings,home,0,0
24129,buildings,road,motorcycle,crossclassified,,,11,7,4,buildings,vehicles,0,0
7832,buildings,fence,bat,crossclassified,,,11,6,5,buildings,people,0,0
24058,buildings,grill,hotdogs,crossclassified,,,11,11,0,buildings,food,0,0
1479,buildings,house,shop,crossclassified,,,11,11,0,buildings,buildings,0,0
4770,buildings,bridge,highway,crossclassified,,,11,11,0,buildings,buildings,0,0
5881,buildings,overpass,bus,crossclassified,,,11,8,3,buildings,vehicles,0,0
7367,buildings,bridge,bench,crossclassified,,,11,11,0,buildings,home,0,0
7047,buildings,house,tie,crossclassified,,,11,10,1,buildings,clothing,0,0
7842,buildings,t-shirt,man,crossclassified,,,11,7,4,clothing,people,0,0
8117,buildings,dugout,belt,crossclassified,,,11,11,0,buildings,animals_plants,0,0
8269,buildings,bridge,pul,crossclassified,,,11,11,0,buildings,vehicles,0,0
12192,buildings,building,cycle,crossclassified,,,11,10,1,buildings,people,0,0
20255,buildings,building,hanger,crossclassified,,,11,11,0,buildings,buildings,0,0
1457,buildings,clock,church,crossclassified,,,11,7,4,buildings,buildings,0,0
31321,buildings,cat,tree,crossclassified,,,10,10,0,animals_plants,buildings,0,0
24440,buildings,platform,sidewalk,crossclassified,,,10,10,0,buildings,buildings,0,0
24668,buildings,building,picture,crossclassified,,,10,10,0,buildings,home,0,0
25645,buildings,canopy,t-shirt,crossclassified,,,10,7,3,buildings,clothing,0,0
25821,buildings,bridge,board,crossclassified,,,10,10,0,buildings,home,0,0
26821,buildings,walkway,bus,crossclassified,,,10,6,4,buildings,vehicles,0,0
30128,buildings,fence,pole,crossclassified,,,10,8,2,buildings,buildings,0,0
80215,buildings,awning,board,crossclassified,,,10,8,2,buildings,home,0,0
37088,buildings,house,net,crossclassified,,,10,10,0,buildings,people,0,0
37104,buildings,cap,shirt,crossclassified,,,10,6,4,people,clothing,0,0
40806,buildings,snow,mountain,crossclassified,,,10,10,0,people,buildings,0,0
45198,buildings,outhouse,house,crossclassified,,,10,7,3,buildings,buildings,0,0
71714,buildings,pier,fence,crossclassified,,,10,5,5,buildings,buildings,0,0
23293,buildings,house,bike,crossclassified,,,10,10,0,buildings,vehicles,0,0
23296,buildings,building,motorcycle,crossclassified,,,10,10,0,buildings,vehicles,0,0
11973,buildings,tent,gazebo,crossclassified,,,10,10,0,buildings,buildings,0,0
22200,buildings,bridge,window,crossclassified,,,10,10,0,buildings,home,0,0
7853,buildings,bat,bench,crossclassified,,,10,6,4,people,home,0,0
21471,buildings,bridge,t-shirt,crossclassified,,,10,10,0,buildings,clothing,0,0
771,buildings,fence,pier,crossclassified,,,10,5,5,buildings,buildings,0,0
785,buildings,dock,fence,crossclassified,,,10,9,1,buildings,buildings,0,0
7101,buildings,bridge,house,crossclassified,,,10,9,1,buildings,buildings,0,0
7272,buildings,house,train station,crossclassified,,,10,10,0,buildings,buildings,0,0
6660,buildings,house,jacket,crossclassified,,,10,10,0,buildings,clothing,0,0
11977,buildings,tent,shirt,crossclassified,,,10,9,1,buildings,clothing,0,0
14379,buildings,oven,smoker,crossclassified,,,10,10,0,home,buildings,0,0
14514,buildings,tunnel,overpass,crossclassified,,,10,10,0,buildings,buildings,0,0
14818,buildings,tent,man,crossclassified,,,10,10,0,buildings,people,0,0
19141,buildings,dugout,batter,crossclassified,,,10,10,0,buildings,people,0,0
19348,buildings,canopy,cabana,crossclassified,,,10,8,2,buildings,buildings,0,0
33268,buildings,skateboarder,shoe,crossclassified,,,9,7,2,people,people,0,0
24551,buildings,house,patio,crossclassified,,,9,8,1,buildings,home,0,0
25934,buildings,canopy,pavilion,crossclassified,,,9,5,4,buildings,buildings,0,0
26585,buildings,building,big ben,crossclassified,,,9,9,0,buildings,buildings,0,0
26621,buildings,canopy,gazebo,crossclassified,,,9,9,0,buildings,buildings,0,0
28400,buildings,cabin,hut,crossclassified,,,9,5,4,buildings,buildings,0,0
28638,buildings,giraffe,shed,crossclassified,,,9,9,0,animals_plants,buildings,0,0
28642,buildings,giraffe,tent,crossclassified,,,9,9,0,animals_plants,buildings,0,0
31213,buildings,building,kite,crossclassified,,,9,7,2,buildings,vehicles,0,0
47745,buildings,house,ball,crossclassified,,,9,9,0,buildings,people,0,0
34912,buildings,house,giraffe,crossclassified,,,9,6,3,buildings,animals_plants,0,0
36123,buildings,building,dress,crossclassified,,,9,9,0,buildings,clothing,0,0
36366,buildings,t-shirt,pit,crossclassified,,,9,5,4,clothing,buildings,0,0
37815,buildings,restaurant,umbrella,crossclassified,,,9,8,1,buildings,buildings,0,0
43654,buildings,window,t-shirt,crossclassified,,,9,5,4,home,clothing,0,0
46691,buildings,building,cat,crossclassified,,,9,5,4,buildings,animals_plants,0,0
55007,buildings,helmet,t-shirt,crossclassified,,,9,6,3,people,clothing,0,0
24181,buildings,dugout,sidelines,crossclassified,,,9,9,0,buildings,buildings,0,0
24192,buildings,bat,players,crossclassified,,,9,7,2,people,buildings,0,0
24196,buildings,bat,cap,crossclassified,,,9,5,4,people,people,0,0
21412,buildings,dugout,baseball cap,crossclassified,,,9,9,0,buildings,people,0,0
7056,buildings,man,shoe,crossclassified,,,9,9,0,people,people,0,0
188,buildings,dugout,pants,crossclassified,,,9,9,0,buildings,home,0,0
230,buildings,fence,guardrail,crossclassified,,,9,9,0,buildings,buildings,0,0
797,buildings,bridge,ship,crossclassified,,,9,9,0,buildings,vehicles,0,0
800,buildings,walkway,fence,crossclassified,,,9,5,4,buildings,buildings,0,0
1483,buildings,sign,store,crossclassified,,,9,5,4,buildings,buildings,0,0
5702,buildings,house,chair,crossclassified,,,9,9,0,buildings,home,0,0
5879,buildings,overpass,road,crossclassified,,,9,7,2,buildings,buildings,0,0
7007,buildings,tree,home,crossclassified,,,9,6,3,buildings,buildings,0,0
1451,buildings,castle,clock,crossclassified,,,9,8,1,buildings,buildings,0,0
7824,buildings,fence,bench,crossclassified,,,9,6,3,buildings,home,0,0
9185,buildings,cap,pit,crossclassified,,,9,5,4,people,buildings,0,0
9193,buildings,helmet,pit,crossclassified,,,9,6,3,people,buildings,0,0
14119,buildings,restaurant,business,crossclassified,,,9,9,0,buildings,buildings,0,0
14121,buildings,store front,shop,crossclassified,,,9,9,0,buildings,buildings,0,0
18362,buildings,grill,pizza,crossclassified,,,9,9,0,buildings,food,0,0
20259,buildings,hanger,hangar,crossclassified,,,9,9,0,buildings,buildings,0,0
8226,buildings,grill,stove,crossclassified,,,9,9,0,buildings,home,0,0
26840,buildings,bus stop,building,crossclassified,,,8,8,0,buildings,buildings,0,0
31220,buildings,house,kite,crossclassified,,,8,7,1,buildings,vehicles,0,0
31214,buildings,building,kites,crossclassified,,,8,8,0,buildings,buildings,0,0
30855,buildings,building,railing,crossclassified,,,8,8,0,buildings,buildings,0,0
28626,buildings,elephant,shelter,crossclassified,,,8,4,4,home,buildings,0,0
25437,buildings,overpass,sign,crossclassified,,,8,7,1,buildings,buildings,0,0
26743,buildings,house,helmet,crossclassified,,,8,6,2,buildings,people,0,0
26314,buildings,apartment,apartment building,crossclassified,,,8,6,2,buildings,buildings,0,0
25510,buildings,house,glass,crossclassified,,,8,8,0,buildings,home,0,0
33437,buildings,roof,pole,crossclassified,,,8,6,2,buildings,buildings,0,0
33430,buildings,roof,umbrella,crossclassified,,,8,4,4,buildings,buildings,0,0
68564,buildings,grill,sausages,crossclassified,,,8,8,0,buildings,buildings,0,0
35812,buildings,window,mirror,crossclassified,,,8,6,2,home,vehicles,0,0
37092,buildings,building,net,crossclassified,,,8,8,0,buildings,people,0,0
39382,buildings,castle,ruins,crossclassified,,,8,8,0,buildings,buildings,0,0
46340,buildings,cafe,storefront,crossclassified,,,8,6,2,buildings,buildings,0,0
47008,buildings,restaurant,bar,crossclassified,,,8,8,0,buildings,home,0,0
50700,buildings,tent,curtain,crossclassified,,,8,8,0,buildings,home,0,0
54795,buildings,canopy,pant,crossclassified,,,8,5,3,buildings,people,0,0
