,domain,word1,word2,relation,same_object,subrelation,totalfreq,freq-w1-w2,freq-w2-w1,domain_w1,domain_w2,syn_w1,syn_w2
3933,home,table,computer,crossclassified,f,supports.1,202,179,23,home,home,0,0
4648,home,desk,mouse,crossclassified,f,supports.1,196,193,3,home,animals_plants,0,0
4109,home,keyboard,desktop,crossclassified,f,supports.2,195,168,27,home,home,0,0
7185,home,desk,cat,crossclassified,f,supports.1,187,171,16,home,animals_plants,0,0
1423,home,table,shelf,crossclassified,f,adjacent,186,142,44,home,home,0,0
3541,home,sink,table,crossclassified,f,part.1,185,143,42,home,home,0,0
1769,home,cabinet,shelf,crossclassified,f,part.1,184,122,62,home,home,0,0
3709,home,carpet,cat,crossclassified,f,supports.1,182,141,41,home,animals_plants,0,0
2904,home,couch,t-shirt,crossclassified,f,supports.1,182,178,4,home,clothing,0,0
951,home,chair,shirt,crossclassified,f,supports.1,182,150,32,home,clothing,0,0
1806,home,counter,plate,crossclassified,f,supports.1,181,163,18,home,food,0,0
5479,home,couch,dog,crossclassified,f,supports.1,181,123,58,home,animals_plants,0,0
17393,home,bookshelf,bookcase,crossclassified,t,loose_synonyms,181,161,20,home,home,0,0
2907,home,sofa,t-shirt,crossclassified,f,supports.1,178,168,10,home,clothing,0,0
4651,home,table,mouse,crossclassified,f,supports.1,178,158,20,home,animals_plants,0,0
89,home,desk,electronics,crossclassified,f,supports.1,177,176,1,home,home,0,0
2488,home,table,electronics,crossclassified,f,supports.1,174,174,0,home,home,0,0
3346,home,couch,table,crossclassified,f,adjacent,174,142,32,home,home,0,0
3347,home,couch,cat,crossclassified,f,supports.1,171,148,23,home,animals_plants,0,0
7866,home,bed,cat,crossclassified,f,supports.1,169,136,33,home,animals_plants,0,0
152,home,curtain,window,crossclassified,f,adjacent,168,123,45,home,home,0,0
991,home,sink,cabinet,crossclassified,f,part.1,165,100,65,home,home,0,0
13824,home,carpet,sofa,crossclassified,f,supports.1,163,145,18,home,home,0,0
2277,home,vanity,countertop,crossclassified,t,loose_synonyms,162,84,78,home,home,0,0
1939,home,shelf,bookcase,crossclassified,t,loose_synonyms,159,100,59,home,home,0,0
857,home,bench,shoe,crossclassified,f,supports.1,158,156,2,home,people,0,0
646,home,table,tabletop,crossclassified,t,metonymy,155,155,0,home,home,0,0
7137,home,bed,chair,crossclassified,f,adjacent,155,82,73,home,home,0,0
8297,home,table,book,crossclassified,f,supports.1,153,123,30,home,home,0,0
1554,home,table,bottle,crossclassified,f,supports.1,151,139,12,home,home,0,0
1198,home,chair,t-shirt,crossclassified,f,supports.1,149,129,20,home,clothing,0,0
7714,home,bench,wood,crossclassified,f,part.2,144,142,2,home,home,0,0
8463,home,floor,sofa,crossclassified,f,supports.1,141,88,53,home,home,0,0
11751,home,rug,bed,crossclassified,f,supports.1,140,85,55,home,home,0,0
4337,home,floor,cat,crossclassified,f,supports.1,139,94,45,home,animals_plants,0,0
10103,home,counter,pizza,crossclassified,f,supports.1,139,108,31,home,food,0,0
2343,home,counter,kitchen,crossclassified,f,part.2,138,132,6,home,home,0,0
1933,home,desk,chair,crossclassified,f,adjacent,138,107,31,home,home,0,0
3297,home,bed,laptop,crossclassified,f,supports.1,136,126,10,home,home,0,0
9277,home,couch,laptop,crossclassified,f,supports.1,135,124,11,home,home,0,0
3349,home,sofa,cat,crossclassified,f,supports.1,135,80,55,home,animals_plants,0,0
1000,home,couch,shirt,crossclassified,f,supports.1,133,127,6,home,clothing,0,0
3553,home,bottle,wine,crossclassified,t,metonymy,133,132,1,home,home,0,0
5490,home,sofa,dog,crossclassified,f,supports.1,133,69,64,home,animals_plants,0,0
998,home,vanity,cabinet,crossclassified,t,loose_synonyms,131,74,57,home,home,0,0
6631,home,bathtub,sink,crossclassified,f,adjacent,130,90,40,home,home,0,0
7756,home,chair,wood,crossclassified,f,part.2,129,125,4,home,home,0,0
9387,home,desk,book,crossclassified,f,supports.1,129,99,30,home,home,0,0
5954,home,cup,coffee,crossclassified,t,metonymy,128,119,9,home,home,0,0
2342,home,counter,stove,crossclassified,t,loose_synonyms,127,104,23,home,home,0,0
2850,home,desk,cabinet,crossclassified,t,loose_synonyms,127,64,63,home,home,0,0
1556,home,table,bowl,crossclassified,f,supports.1,126,107,19,home,home,0,0
