Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
3B8OB0A7DSLW3RJ0VU3VGK771U6PDM,2018-11-26 02:55:13 -0800,2018-11-26 06:19:30 -0800,AssignmentPayment,,A3TUJHF9LW3M8N,-0.100,3WKGUBL7S0RX9JDFGLCLHRHIB5GL4D,3Z4GS9HPNXFY054Q4REKQIFCG6K77J
35VMVIHI8K1Y4V04KHTVXSYVL6SKYX,2018-11-26 02:55:13 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3WKGUBL7S0RX9JDFGLCLHRHIB5GL4D,3Z4GS9HPNXFY054Q4REKQIFCG6K77J
3TCIPJXVSGCN4JJLJVUP1IDYC1JQ0L,2018-11-26 02:55:14 -0800,2018-11-26 06:15:09 -0800,AssignmentPayment,,A30MP4LXV4MIFD,-0.100,35JDMRECC5EZFTW7U0RIDLO1SDOGE8,3TS1AR6UQSJBFYJWMACWEASTEU3F7V
3QV2B1JR3UQPO2BNM2G6IK9E1RTLL9,2018-11-26 02:55:14 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,35JDMRECC5EZFTW7U0RIDLO1SDOGE8,3TS1AR6UQSJBFYJWMACWEASTEU3F7V
3FRUJA39U50MZQ5MG101ID9PT9UQ56,2018-11-26 02:55:14 -0800,2018-11-26 08:09:15 -0800,AssignmentPayment,,A2JA97HIWWM086,-0.100,3TLFH2L6YATBPI6XLGVOA3U1L46T2S,3IUZPWIU1QC1LZCBVTB5M3JFFHTKW4
30MFENJJDQC0R060RMD24WID7JILRZ,2018-11-26 02:55:14 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3TLFH2L6YATBPI6XLGVOA3U1L46T2S,3IUZPWIU1QC1LZCBVTB5M3JFFHTKW4
3S16BCHR55K7YBE1VBN9WJFZLQGQCE,2018-11-26 02:55:14 -0800,2018-11-26 07:59:40 -0800,AssignmentPayment,,AAA4W3PGGOM55,-0.100,3MZ3TAMYTMS2KO776UBLX400MF6IRF,35LDD5557C95GNIXRR5ID5HOHFFKMD
3SWB0YMH83HKOWSC0LJUTE41803LXV,2018-11-26 02:55:14 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3MZ3TAMYTMS2KO776UBLX400MF6IRF,35LDD5557C95GNIXRR5ID5HOHFFKMD
3S1GP8AWIQMHDTMBBV2NPTTSXTYS9O,2018-11-26 02:55:16 -0800,2018-11-26 07:15:49 -0800,AssignmentPayment,,A1L732G0N0QULL,-0.100,3QO7EE372PSSLFE1N5U46RMIV3KQBD,3BXQMRHWK13JJJN9L59KJSQMJ6DMUC
3K32DF307TKIVS127TOMMZ9MJDMNU7,2018-11-26 02:55:16 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3QO7EE372PSSLFE1N5U46RMIV3KQBD,3BXQMRHWK13JJJN9L59KJSQMJ6DMUC
3Q7I4HSVM6ZBXPOKS6BN0PM0O81UAL,2018-11-26 02:56:12 -0800,2018-11-26 07:01:36 -0800,AssignmentPayment,,AAOEHS9LFB8KA,-0.100,3Q9SPIIRWKRSM25VT0TE35KY1MGAW6,3EICBYG6461XWH0OWHBS9UCZ8CBCJO
3CRAREFIFZNVQH2KI8GF8CZE48YPW4,2018-11-26 02:56:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3Q9SPIIRWKRSM25VT0TE35KY1MGAW6,3EICBYG6461XWH0OWHBS9UCZ8CBCJO
3NAWBOH094X842RNTB7FIEJRGR4UWW,2018-11-26 02:56:12 -0800,2018-11-26 05:28:27 -0800,AssignmentPayment,,A272X64FOZFYLB,-0.100,3N2YPY1GI73IXQM2JVQ4DMRBFSCVEC,34YB12FSQ0T0E1ME10K3FDPVAYYMGC
3ZK7GMMWJSMYT38ANM947EF1UG7QHW,2018-11-26 02:56:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3N2YPY1GI73IXQM2JVQ4DMRBFSCVEC,34YB12FSQ0T0E1ME10K3FDPVAYYMGC
3JO0HI0BF9UYB8K0LU65RQDMJDW49U,2018-11-26 02:57:15 -0800,2018-11-26 08:59:47 -0800,AssignmentPayment,,AZ79FR04OLJX8,-0.100,3J6BHNX0UAX8BL53DQFG10A3DM6NK7,3R2UR8A0ICLZ0Q2G3QZKV3EV8O9OXL
3TSZG589YOKCCHFLAHZGHMGVTRUZU0,2018-11-26 02:57:15 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3J6BHNX0UAX8BL53DQFG10A3DM6NK7,3R2UR8A0ICLZ0Q2G3QZKV3EV8O9OXL
37NVO418LF6F64BHT5MRJ4EXAACE4E,2018-11-26 02:58:17 -0800,2018-11-26 06:29:02 -0800,AssignmentPayment,,A1WAWEY2810TFN,-0.100,3PCPFX4U41VIYWQHS7G0PHD3A1CQFV,3IKZ72A5B6L0IJBJ2HTLA7EJE98NFE
38OPVM8H9XPKELPCPX6NUSR367E9PZ,2018-11-26 02:58:17 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3PCPFX4U41VIYWQHS7G0PHD3A1CQFV,3IKZ72A5B6L0IJBJ2HTLA7EJE98NFE
3TVZ819G1WECYXWS4YRMHID9XT9ZUS,2018-11-26 03:01:14 -0800,2018-11-26 08:09:15 -0800,AssignmentPayment,,A2JA97HIWWM086,-0.100,3AQN9REUTGLU9E37SB24E3DKXXDDYA,3KWTYT08728ISMF9KS0XB3JHKKV5LC
30JVG49U1B16KFDLEVFEAG2WVTAVFY,2018-11-26 03:01:14 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3AQN9REUTGLU9E37SB24E3DKXXDDYA,3KWTYT08728ISMF9KS0XB3JHKKV5LC
3S2RCGBV06G1TGLQ6QAS5W1PDVT0K5,2018-11-26 03:01:15 -0800,2018-11-26 08:59:04 -0800,AssignmentPayment,,AVNWTAOJKVRX2,-0.100,30Y6N4AHYQ1LCDRLEGAA67KNUAYDR8,3SNVL38CI6XS7166E2B4A9CCN1BCKN
37Z697DCED1NGBKF3CH62C8X939W66,2018-11-26 03:01:15 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,30Y6N4AHYQ1LCDRLEGAA67KNUAYDR8,3SNVL38CI6XS7166E2B4A9CCN1BCKN
3PMI4KNOTUD28BRBZM68BT13CI41NE,2018-11-26 03:01:16 -0800,2018-11-26 05:42:43 -0800,AssignmentPayment,,A3KM6AF7CGASHJ,-0.100,3XDSWAMB23XBVK6715QZHBS0DOKQCK,3FTF2T8WLTNH43TKRWKGWU5Z4NH9WZ
3Y5H1ELNWRTP9P8T6WAQO9IVO05X8M,2018-11-26 03:01:16 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3XDSWAMB23XBVK6715QZHBS0DOKQCK,3FTF2T8WLTNH43TKRWKGWU5Z4NH9WZ
3O0T1VHOKHG6JP2ID38OJ5Y51ND21O,2018-11-26 03:01:16 -0800,2018-11-26 06:25:39 -0800,AssignmentPayment,,AX5YKKRJ8IMN4,-0.100,3OZ4VAIBEYKQ868UXW1VA243K08VJX,3ATTHHXXWCTP44RD5VMFB6I9WFAXIZ
3B6GS40H4YS4UEAX0XK9TRJQ85UXMA,2018-11-26 03:01:16 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3OZ4VAIBEYKQ868UXW1VA243K08VJX,3ATTHHXXWCTP44RD5VMFB6I9WFAXIZ
3EA12PJJE4WZKQILARX9CVOZX0M2WN,2018-11-26 03:01:17 -0800,2018-11-26 06:29:02 -0800,AssignmentPayment,,A1WAWEY2810TFN,-0.100,3MDKGGG61RSZ7JPY8I7R0GBD198T69,3OHYZ19UGEAN4DUNSG76BV3X731AO4
3NCKXKAFW0R725ZWEWQYK0I3TPPYH8,2018-11-26 03:01:17 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3MDKGGG61RSZ7JPY8I7R0GBD198T69,3OHYZ19UGEAN4DUNSG76BV3X731AO4
3NRLDA7CLBS9N4X8E5GX5ALXHEI4WL,2018-11-26 03:02:12 -0800,2018-11-26 08:33:22 -0800,AssignmentPayment,,A234ILZHWJNB3H,-0.100,34ZTTGSNJYT2CSHNNX40S2PGQGPQHT,3QRYMNZ7F0MA1OTKX1YARBTK5IGNTM
3AGPMM3LLECA5A3B6OFPS8OJHCB0HA,2018-11-26 03:02:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,34ZTTGSNJYT2CSHNNX40S2PGQGPQHT,3QRYMNZ7F0MA1OTKX1YARBTK5IGNTM
3BROYMKS0OKDC9S8T6YLQ76DSMI4YK,2018-11-26 03:02:12 -0800,2018-11-26 07:46:00 -0800,AssignmentPayment,,A3AGQ2G8QI59EG,-0.100,3S829FDFT36599DXNFG2VP6BVRJDX4,3TU5ZICBRF6C61EOAVFW49S2WGIQ8N
3EU8AFIIJYQ6WGY1UOIA4L4YU4F0JF,2018-11-26 03:02:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3S829FDFT36599DXNFG2VP6BVRJDX4,3TU5ZICBRF6C61EOAVFW49S2WGIQ8N
3TRQELNFCNLMBRKMTGP1N3JUPVY5RO,2018-11-26 03:02:13 -0800,2018-11-26 06:14:41 -0800,AssignmentPayment,,A1IUD4KB9GOAB6,-0.100,36FQTHX3Z4W0EE8ZPUI8TJT7LB6B3V,3GA6AFUKOQTDSB9FFOX64ESQP7V3HD
32G8E8PS65NJVRDDGF5OVMAD9CC1C5,2018-11-26 03:02:13 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,36FQTHX3Z4W0EE8ZPUI8TJT7LB6B3V,3GA6AFUKOQTDSB9FFOX64ESQP7V3HD
3987V3YY2XV9G0AFGV9RITLH5YZML5,2018-11-26 03:04:14 -0800,2018-11-26 06:14:57 -0800,AssignmentPayment,,A2WTNZHRALOHX8,-0.100,3QX22DUVOPMG9EEF0TENQUWKOU3VM1,3UNH76FOCUA00S7EV669MDWZFUOYMM
3SEH73JB4UW5FG0AEVDR1LZPUSCI6M,2018-11-26 03:04:14 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3QX22DUVOPMG9EEF0TENQUWKOU3VM1,3UNH76FOCUA00S7EV669MDWZFUOYMM
3RYGCX8FHP9TLRFVCTF6G2YB61K6ET,2018-11-26 03:07:13 -0800,2018-11-26 07:25:08 -0800,AssignmentPayment,,A34TMWLXTWLMUL,-0.100,3SBNLSTU6VAUE4DCOX4NSAMM3RHDZ1,34MAJL3QP6SJGZLK0HDNAPJMK2934R
3PB9K7OYFNF6QK0TN3CI54IHSTU20V,2018-11-26 03:07:13 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3SBNLSTU6VAUE4DCOX4NSAMM3RHDZ1,34MAJL3QP6SJGZLK0HDNAPJMK2934R
38PLTEJARHNV47Y1H3MT2F3X71F130,2018-11-26 03:09:17 -0800,2018-11-26 05:42:05 -0800,AssignmentPayment,,A2FGHZBRRGDIAR,-0.100,3QTFNPMJC7N30G4PDRIQOFYGHVJNZT,31HQ4X3T3UFJYODKWOD54ET9Y43LSU
3KLWRIK7VT5D5HQJ3830JCUOU35WOX,2018-11-26 03:09:17 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3QTFNPMJC7N30G4PDRIQOFYGHVJNZT,31HQ4X3T3UFJYODKWOD54ET9Y43LSU
3K8XLA9XGQOHTWL4MDH1A90TKNXHJR,2018-11-26 03:11:19 -0800,2018-11-26 07:15:50 -0800,AssignmentPayment,,ARR4YYWH2Q3YD,-0.100,3K8CQCU3KF6Z6LZK24YJPB4Y0TFNW3,3NGI5ARFTVA9VPTOBXRSPUFKDER1PO
3M2ZD40NDO2ASIGA3TJ1DQZY6W0D4W,2018-11-26 03:11:19 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3K8CQCU3KF6Z6LZK24YJPB4Y0TFNW3,3NGI5ARFTVA9VPTOBXRSPUFKDER1PO
3VNY3QBC5ZYVOSXMQI13PNH3DB8A16,2018-11-26 03:14:16 -0800,2018-11-26 08:21:29 -0800,AssignmentPayment,,A14MCHQB6Z8MVT,-0.100,324N5FAHSYGLJQECFH17BH4GZP8VKW,3TMFV4NEPAJHQYAAM4E2WYAOKH08WA
327IB90GVEGVSVQNUR1E18S6F6O5MC,2018-11-26 03:14:16 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,324N5FAHSYGLJQECFH17BH4GZP8VKW,3TMFV4NEPAJHQYAAM4E2WYAOKH08WA
3Z3HJVUAAZRDE6IM3SEUN5URV4G2JV,2018-11-26 03:15:12 -0800,2018-11-26 08:07:01 -0800,AssignmentPayment,,A1DUPOUC9RNU4L,-0.100,3WRAAIUSBK47B2AL35P05OY5AOMAXZ,3SNLUL3WO6SZD15OLT85JFBXJ1OULJ
3BOO6QJLXGQDQTB1ZP6FQB9ZOK6Y4P,2018-11-26 03:15:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3WRAAIUSBK47B2AL35P05OY5AOMAXZ,3SNLUL3WO6SZD15OLT85JFBXJ1OULJ
3OH3UGADFWC5516X2UNC15VOYHEH6M,2018-11-26 03:15:19 -0800,2018-11-26 08:16:03 -0800,AssignmentPayment,,A3KA3A3M7LPMPA,-0.100,38Z7YZ2SB4728NS7TFMLSEQVQT4QIM,3DUZQ9U6SOTMUTPEASFBRNRBP24SVJ
36Y2ER0QKFB7OWCUE9K31DSQDA9CRF,2018-11-26 03:15:19 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,38Z7YZ2SB4728NS7TFMLSEQVQT4QIM,3DUZQ9U6SOTMUTPEASFBRNRBP24SVJ
3J0DBZNN2RZB8TP9OWS51RAVJ3CL5H,2018-11-26 03:16:12 -0800,2018-11-26 08:00:17 -0800,AssignmentPayment,,AVV5D32P90MVP,-0.100,35F6NGNVM9OIBJ33RSCJ6UB9WKST78,3IRIK4HM3CPL8MLHCYH30Q7UM6SC6J
3GG72H3ME0GKT7DZ3GRMME30FGZGQS,2018-11-26 03:16:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,35F6NGNVM9OIBJ33RSCJ6UB9WKST78,3IRIK4HM3CPL8MLHCYH30Q7UM6SC6J
3WGWEU0C8C7B4D3KD8D4LEELLROQRP,2018-11-26 03:16:18 -0800,2018-11-26 07:18:54 -0800,AssignmentPayment,,A3QKCPV7XYJ0X7,-0.100,3NBFJK3IOINLRK9WOEUEIXIFWFUGOC,3U5NZHP4LT7KZ0E2DMUDHHVRU3NPHB
3FHU3BEY6E0GRGZ291OMFEYG7NAMC1,2018-11-26 03:16:18 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3NBFJK3IOINLRK9WOEUEIXIFWFUGOC,3U5NZHP4LT7KZ0E2DMUDHHVRU3NPHB
30RM92T64IMMUMS9O21ERH7R8B03F5,2018-11-26 03:18:14 -0800,2018-11-26 05:32:12 -0800,AssignmentPayment,,ASHG4UDKXYBPK,-0.100,371QPA24C3T40XO12CVA5KKWTYST1B,3DY4FPOOA3TATEP1V3F61DMF30MRVV
3Y8FFERQHHJW3KON8TPW6KBYIU1Z15,2018-11-26 03:18:14 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,371QPA24C3T40XO12CVA5KKWTYST1B,3DY4FPOOA3TATEP1V3F61DMF30MRVV
3ETBCNLTKP3BQJEZOH6I93ADW5O3VT,2018-11-26 03:18:15 -0800,2018-11-26 08:48:54 -0800,AssignmentPayment,,A338NY4CFGP576,-0.100,3GKAWYFRAQY000B61O6L1CK8TSADPG,3EG49X351WH9BKWC3UDQE3S4NOGX66
3MTKVG654NAT7ZEQQCAZD7F4KJKZG5,2018-11-26 03:18:15 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3GKAWYFRAQY000B61O6L1CK8TSADPG,3EG49X351WH9BKWC3UDQE3S4NOGX66
3WQKU4ALIBV1VXX0RPEFM2PS16DEPA,2018-11-26 03:19:17 -0800,2018-11-26 07:17:12 -0800,AssignmentPayment,,A19OCD2Q0K2U6M,-0.100,388FBO7JZSY3VQUKH5G7A8PEB1FNY2,369J354OFFFYPY1MEKDMQHS9KYKG6X
3ORS5HNV9GMRW0TFSK2Q0SDSD31AA4,2018-11-26 03:19:17 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,388FBO7JZSY3VQUKH5G7A8PEB1FNY2,369J354OFFFYPY1MEKDMQHS9KYKG6X
3DU1U4RWLJOVM1B8D5VPOZ5NNMS5GX,2018-11-26 03:21:16 -0800,2018-11-26 07:34:19 -0800,AssignmentPayment,,AHIJACUG7ZL9B,-0.100,37SOB9Z0ST2CRNUBG7727MPCX5KL3S,33JKGHPFYEZ6OT30O4XY5XYSBALMNL
32D4H7XFV2MZ8O3F0IG4EQRM5FQ11K,2018-11-26 03:21:16 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,37SOB9Z0ST2CRNUBG7727MPCX5KL3S,33JKGHPFYEZ6OT30O4XY5XYSBALMNL
3H1YVIBM4TFVAAXS2O41FOYC9BB6TN,2018-11-26 03:21:18 -0800,2018-11-26 08:59:06 -0800,AssignmentPayment,,A2MPW5P3ERJCN0,-0.100,3IVEC1GSLQ4AMUSWQIH63EXNVW1J1W,3KV0LJBBH4QR3RVSHBEFEH32C7AMR9
3Y3BLNC8B0G5HAFNVABXQTKLMU82EL,2018-11-26 03:21:18 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3IVEC1GSLQ4AMUSWQIH63EXNVW1J1W,3KV0LJBBH4QR3RVSHBEFEH32C7AMR9
3ONRE5TGMVYHJ9NHYCN3TS6J7TS91S,2018-11-26 03:22:12 -0800,2018-11-26 08:58:12 -0800,AssignmentPayment,,A11BACV6DY5S8M,-0.100,3B9XR6P1WF0BZSAOSFAV9QAWH8SJBF,36V4Q8R5ZM5RRQGS4WPF9RTXGL8QMC
3KKRF1TCJ0FJEU7NSNX49VBSK054N8,2018-11-26 03:22:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3B9XR6P1WF0BZSAOSFAV9QAWH8SJBF,36V4Q8R5ZM5RRQGS4WPF9RTXGL8QMC
3YBYSY4VI0AR78FDHPI1QRBSITACX4,2018-11-26 03:22:14 -0800,2018-11-26 08:02:29 -0800,AssignmentPayment,,A1ZWGDAT7BQ0O1,-0.100,3ACRLU860OJ3OCOWEEZ4CAX4C0WBEM,30OG32W0SWG8C5BN769FSPTJ28UNEX
3D2AEAFL78BSJUJY7AAPLZVG0N78I3,2018-11-26 03:22:14 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3ACRLU860OJ3OCOWEEZ4CAX4C0WBEM,30OG32W0SWG8C5BN769FSPTJ28UNEX
3IV352F1L8HUO8SDTRH89ZMRWAME3Z,2018-11-26 03:22:15 -0800,2018-11-26 07:54:29 -0800,AssignmentPayment,,A2LFM01A16YPKG,-0.100,3ZC62PVYDIFJ7FIEEFHEPW93B9VXXQ,3MHW492WW2IJWYC9QVJPFES5XDNMV2
3GIBVQD6PR72TLDBAXT85SMDW2O9OO,2018-11-26 03:22:15 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3ZC62PVYDIFJ7FIEEFHEPW93B9VXXQ,3MHW492WW2IJWYC9QVJPFES5XDNMV2
3A7G6XCI82YO8U5DHGNHYBGOZZ8294,2018-11-26 03:29:12 -0800,2018-11-26 06:19:21 -0800,AssignmentPayment,,AXY0D2AMLKE2A,-0.100,3Y40HMYLL2NRQBOJ9A6R5PAZHREXUY,3NGMS9VZTNNOURY24TA8225ACINFF0
349KMADUXXVNK146EPL0GN23ZYDXVY,2018-11-26 03:29:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3Y40HMYLL2NRQBOJ9A6R5PAZHREXUY,3NGMS9VZTNNOURY24TA8225ACINFF0
38HXJYOOEG7V91Z6EYCHD0R6B5QZEM,2018-11-26 03:49:12 -0800,2018-11-26 08:07:00 -0800,AssignmentPayment,,A1JIN7UH87A1W,-0.100,3OPLMF3EU6SJVRNLYQRHG0NI2MBLN8,30X31N5D65V225MGZXOFV0DY4SAAS7
39VABO7FMOVFNBYVBDWT79FSPRWV05,2018-11-26 03:49:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3OPLMF3EU6SJVRNLYQRHG0NI2MBLN8,30X31N5D65V225MGZXOFV0DY4SAAS7
3DN33T794I1YRK4HUIQAC0MKU41RH3,2018-11-26 04:20:12 -0800,2018-11-26 06:27:58 -0800,AssignmentPayment,,AY0758IITCGOZ,-0.100,3P4C70TRMSMDLZ6ZBMEMQGEL1APGLV,3LRLIPTPESE4EM98UOFD4EMONY3KA6
3B374G5JCTJ9BGS0O9EGGGEU0MGN22,2018-11-26 04:20:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3P4C70TRMSMDLZ6ZBMEMQGEL1APGLV,3LRLIPTPESE4EM98UOFD4EMONY3KA6
32T97T3VYZ1KI54B04WHC7QPQUIRZT,2018-11-26 04:22:12 -0800,2018-11-26 08:04:09 -0800,AssignmentPayment,,A3U1BC4D0I90TL,-0.100,37NXA7GVSUBW3WWU0HD8QHHVOPDVLZ,36W0OB37HYJED4G80VSF8FX5426HZ0
3ERP4TR9U4Q4SWWQDFKKGC0OHM2NKO,2018-11-26 04:22:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,37NXA7GVSUBW3WWU0HD8QHHVOPDVLZ,36W0OB37HYJED4G80VSF8FX5426HZ0
32MJ60TY3SX7EP49EB815WFA4W3SXL,2018-11-26 04:24:12 -0800,2018-11-26 08:14:17 -0800,AssignmentPayment,,A2I9PUZT19ZBO8,-0.100,3THR0FZ95QY1DCNXZ5RUVPNNSWGLON,3I33IC7ZWH79X65I5I994I0U6YH2A2
3507PEQ6LA0V4M6EERZLILLGFSIOIT,2018-11-26 04:24:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3THR0FZ95QY1DCNXZ5RUVPNNSWGLON,3I33IC7ZWH79X65I5I994I0U6YH2A2
3HXH26SOKNF6J5ZKX7T0EN7VTYPJSP,2018-11-26 04:36:12 -0800,2018-11-26 05:56:13 -0800,AssignmentPayment,,A3PWABNVKQ5H4O,-0.100,33EEIIWHK8C7UTC7SML473GPYV0QVJ,3JC6VJ2SADO1W3O5N1B72P36Q8A5A8
3J3RQF3OXB5KQYDZNAFK4UWPVMKFDX,2018-11-26 04:36:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,33EEIIWHK8C7UTC7SML473GPYV0QVJ,3JC6VJ2SADO1W3O5N1B72P36Q8A5A8
3480VJEKU22ZGQEM2X0AMCMGZX100D,2018-11-26 04:41:12 -0800,2018-11-26 06:31:15 -0800,AssignmentPayment,,A1DZ7CLNB7WCIW,-0.100,3LVTFB9DE6NOCWMC3RMI72DFBGCQGU,3DYGAII7PNDXCTD5WCH7QVNSLQXQPM
3VN8VXO0JUZI87Q2CJYRILB5XKAVNJ,2018-11-26 04:41:12 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3LVTFB9DE6NOCWMC3RMI72DFBGCQGU,3DYGAII7PNDXCTD5WCH7QVNSLQXQPM
3Y2SXKRXNAZ3XKK1MSIEMB3O6XDQVU,2018-11-26 05:23:12 -0800,2018-11-26 13:52:46 -0800,AssignmentPayment,,A3AVHXKL6IVUNG,-0.100,39RRBHZ0AV6G8LDYFI4HYWST3YLVZI,3F0BG9B9MRSHFP0RR04K3VZ9K5CY7U
33ZVMC10IHQT8SF7BNK555JV5FEMGN,2018-11-26 05:23:12 -0800,2018-11-26 12:32:11 -0800,FeePayment,,Mechanical Turk,-0.020,39RRBHZ0AV6G8LDYFI4HYWST3YLVZI,3F0BG9B9MRSHFP0RR04K3VZ9K5CY7U
