ssid	obj_name	name_count
ad.n.01	advert	11
ad.n.01	adverts	6
ad.n.01	an advertisement	4
ad.n.01	sign	4
ad.n.01	yellow advertisement	3
ad.n.01	ad on bar top	1
ad.n.01	good advertisement	1
ad.n.01	framed advertisement	1
ad.n.01	wrap advertisement	1
ad.n.01	ad. is behind people	1
ad.n.01	advertisment	1
ad.n.01	red ad white sig	1
ad.n.01	symbol	1
ad.n.01	banner	1
ad.n.01	ad is square	1
ad.n.01	logo	1
ad.n.01	an ad	1
ad.n.01	promotional advertisement	1
ad.n.01	blue advertisements	1
ad.n.01	blue advertisement	1
ad.n.01	white advertising	1
ad.n.01	coca-cola advertisement	1
ad.n.01	oval advertisement	1
ad.n.01	blue ad	1
ad.n.01	red ad	1
ad.n.01	large advertisement	1
ad.n.01	colorful advertisement	1
adam.n.01	adams	2
adams.n.01	samuel adams	1
adapter.n.02	adaptor	4
adapter.n.02	adaptors	2
addition.n.01	addition	1
addition.n.01	additions	1
address.n.01	address	54
address.n.01	white address	1
address.n.03	speech	1
adenosine_triphosphate.n.01	atp	2
adhesive_material.n.01	adhesive	1
adieu.n.01	cheerios	6
adjuster.n.01	adjuster	2
adjustment.n.01	fitting	5
adjustment.n.01	fittings	2
adjustment.n.01	adjustment	1
adolescent.n.01	teenager	18
adolescent.n.01	teen	13
adolescent.n.01	teenagers	3
adolescent.n.01	adolescent	2
adolescent.n.01	teens	2
adolescent.n.01	boy	1
adolescent.n.01	smiling teen	1
adolescent.n.01	people	1
adolescent.n.01	pre teen	1
adolescent.n.01	room	1
adolescent.n.01	shirtless teen	1
adolescent.n.01	teen on a	1
adornment.n.01	adornment	7
adornment.n.01	adornments	2
adult.n.01	adult	207
adult.n.01	adults	38
adult.n.01	an adult	2
adult.n.01	grownup	1
adult.n.01	two adults	1
adult.n.01	young adults	1
advancement.n.03	progress	2
advantage.n.01	advantage	1
adventure.n.01	adventure	1
adventure.n.01	adventures	1
adventure.n.01	adventures of	1
advertiser.n.01	advertiser	1
aerosol.n.01	aerosol can	3
aerosol.n.01	aerosol	2
affliction.n.01	affliction	1
affray.n.02	ruffles	33
affray.n.02	ruffle	19
affray.n.02	fray	3
affray.n.02	orange ruffles	1
affray.n.02	pink ruffle	1
affray.n.02	blue ruffle	1
afghan.n.01	afghan	14
africa.n.01	africa	12
africa.n.01	landscape	1
african_elephant.n.01	african elephant	1
african-american.n.01	african-american	1
african.n.01	african	1
afro.n.01	afro	11
afterburner.n.01	afterburner	8
afterburner.n.01	afterburners	1
aftermath.n.01	wake	173
aftermath.n.01	small wake	2
aftermath.n.01	white wake	2
aftermath.n.01	no wake	1
aftermath.n.01	white backwash	1
aftermath.n.01	blue wake	1
afternoon.n.01	afternoon	5
age-related_macular_degeneration.n.01	amd	1
aged.n.01	elderly	5
agency.n.01	bureau	7
agenda.n.01	schedule	15
agenda.n.01	agenda	1
agent.n.01	agent	2
agent.n.01	cleaning agent	1
aglet.n.01	aglet	2
agreeableness.n.01	amenities	1
agreement.n.04	arrangement	39
agreement.n.04	floral arrangement	13
agreement.n.04	colorful arrangement	1
agribusiness.n.01	agriculture	1
aid.n.01	first aid	4
aid.n.01	hearing aid	1
aid.n.02	help	1
aid.n.02	assist	1
aid.n.02	help wanted	1
aileron.n.01	aileron	4
aileron.n.01	ailerons	2
aileron.n.01	inner aileron	1
aileron.n.01	outer aileron	1
aioli.n.01	garlic sauce	1
aioli.n.01	aioli	1
air_bubble.n.01	air bubble	24
air_bubble.n.01	air bubbles	11
air_conditioner.n.01	air conditioner	184
air_conditioner.n.01	air conditioners	6
air_conditioner.n.01	air conditioner vent	1
air_filter.n.01	air filter	4
air_filter.n.01	fan	1
air_force.n.01	air force	5
air_force.n.01	us air force	2
air_force.n.01	u.s. airforce	1
air_force.n.01	u.s. air force	1
air_force.n.01	airforce	1
air_hammer.n.01	jackhammer	2
air_horn.n.01	air horn	4
air_lane.n.01	skyway	5
air_passage.n.01	air duct	6
air_passage.n.01	british airways	4
air_passage.n.01	airways	3
air_passage.n.01	south african airway	2
air_passage.n.01	airway	1
air_passage.n.01	us airways express	1
air_passage.n.01	us airways	1
air_pocket.n.01	air pocket	7
air_pocket.n.01	air pockets	2
air_pocket.n.01	air hole	2
air_pocket.n.01	air holes	1
air_pump.n.01	air pump	1
air_terminal.n.01	airport terminal	8
air_terminal.n.01	air terminal	3
air_terminal.n.01	white building	1
air_traffic.n.01	air traffic	3
air_unit.n.01	air unit	1
air.n.01	air	1719
air.n.01	air vent	74
air.n.01	mid air	30
air.n.01	in air	7
air.n.01	sky	6
air.n.01	in the air	6
air.n.01	korean air	3
air.n.01	through air	1
air.n.01	mis air	1
air.n.01	above	1
air.n.01	virgin air	1
air.n.01	open air	1
air.n.01	tennis court	1
air.n.01	hen	1
air.n.01	man arms in the air	1
air.n.01	air pacific	1
air.n.01	egypt air	1
air.n.01	man	1
air.n.01	park	1
air.n.01	seagal in air flying	1
air.n.01	flying air	1
air.n.01	on air	1
air.n.01	in mid air	1
air.n.01	air is foggy	1
air.n.01	sail air	1
air.n.01	small air	1
air.n.01	canned air	1
air.n.01	air force	1
air.n.01	air`s ducts	1
air.n.01	building from air	1
airbus.n.01	airbus	4
aircraft_carrier.n.01	aircraft carrier	2
aircraft_carrier.n.01	flattop	1
aircraft.n.01	aircraft	185
aircraft.n.01	airplane	1
aircraft.n.01	virgin aircraft	1
aircraft.n.01	small aircraft	1
airdock.n.01	hangar	51
airdock.n.01	hangars	5
aire.n.01	aire	1
airfield.n.01	airfield	25
airfield.n.01	landing field	1
airline.n.01	airline	17
airline.n.01	airlines	5
airline.n.01	american airline	2
airline.n.01	turkish airlines	2
airline.n.01	american airlines	2
airline.n.01	emirate airlines	1
airline.n.01	turkish airline	1
airline.n.01	plane	1
airliner.n.01	airliner	28
airliner.n.01	commercial airliner	1
airlock.n.01	airlock	1
airplane_propeller.n.01	airplane propellers	2
airplane_propeller.n.01	airplane propeller	1
airplane.n.01	plane	2173
airplane.n.01	airplane	1796
airplane.n.01	planes	134
airplane.n.01	airplanes	75
airplane.n.01	aeroplane	26
airplane.n.01	white plane	9
airplane.n.01	two planes	7
airplane.n.01	small plane	7
airplane.n.01	an airplane	6
airplane.n.01	plane flying	5
airplane.n.01	front of plane	5
airplane.n.01	yellow plane	4
airplane.n.01	no planes	4
airplane.n.01	gray plane	4
airplane.n.01	back of plane	3
airplane.n.01	four planes	3
airplane.n.01	military plane	3
airplane.n.01	2 planes	3
airplane.n.01	red plane	3
airplane.n.01	three planes	3
airplane.n.01	flying plane	3
airplane.n.01	large plane	3
airplane.n.01	top of plane	2
airplane.n.01	distant airplane	2
airplane.n.01	blue plane	2
airplane.n.01	commercial airplane	2
airplane.n.01	airplane flying	2
airplane.n.01	plane`s wing	2
airplane.n.01	plane on a	2
airplane.n.01	plane on a run way	2
airplane.n.01	plane is small	1
airplane.n.01	second plane	1
airplane.n.01	behind the plane	1
airplane.n.01	op of the aeroplane	1
airplane.n.01	two planes flying	1
airplane.n.01	airplane has blue	1
airplane.n.01	plane has a 50	1
airplane.n.01	plane has writing	1
airplane.n.01	jets	1
airplane.n.01	plane.	1
airplane.n.01	side	1
airplane.n.01	machine gun	1
airplane.n.01	white	1
airplane.n.01	third airplane	1
airplane.n.01	green airplane	1
airplane.n.01	red and silver plane	1
airplane.n.01	airplane outside	1
airplane.n.01	airplanes hanging	1
airplane.n.01	several airplanes	1
airplane.n.01	engine	1
airplane.n.01	plane trim	1
airplane.n.01	remote airplane	1
airplane.n.01	the plane is white	1
airplane.n.01	plane is big	1
airplane.n.01	jet	1
airplane.n.01	other airplanes	1
airplane.n.01	blue/white plane	1
airplane.n.01	grounded plane	1
airplane.n.01	plane`s engine	1
airplane.n.01	towing airplane	1
airplane.n.01	old plane	1
airplane.n.01	two airplanes	1
airplane.n.01	red planes	1
airplane.n.01	yelow plane	1
airplane.n.01	distant plane	1
airplane.n.01	air-canada plane	1
airplane.n.01	black airplane	1
airplane.n.01	gray airplane	1
airplane.n.01	planes tarmac	1
airplane.n.01	lead plane	1
airplane.n.01	small airplane	1
airplane.n.01	bottom plane	1
airplane.n.01	striped plane	1
airplane.n.01	parked airplane	1
airplane.n.01	falling airplane	1
airplane.n.01	plane back	1
airplane.n.01	planes flying	1
airplane.n.01	blue airplane	1
airplane.n.01	grey airplane	1
airplane.n.01	higher plane	1
airplane.n.01	orange plane	1
airplane.n.01	grey plane	1
airplane.n.01	plane`s wheels	1
airplane.n.01	front of the plane	1
airplane.n.01	high plane	1
airplane.n.01	planes trails	1
airplane.n.01	commercial plane	1
airplane.n.01	usaf airplane	1
airplane.n.01	white airplane	1
airplane.n.01	eight planes	1
airplane.n.01	blue on plane	1
airplane.n.01	colored airplane	1
airplane.n.01	plane's colort	1
airport.n.01	airport	502
airport.n.01	near airport	2
airport.n.01	airport.	2
airs.n.01	pose	4
airstrip.n.01	landing strip	29
airstrip.n.01	airstrip	9
aisle.n.01	aisle	22
aisle.n.01	aisles	1
aisle.n.01	of the aisle	1
aisle.n.01	bowling aisle	1
aisle.n.01	carpeted aisle	1
aisle.n.02	gangway	1
alarm_clock.n.01	alarm clock	73
alarm.n.01	alarm	43
alarm.n.01	burglar alarm	1
alarm.n.01	alarms	1
alaska.n.01	alaska	5
alaska.n.01	ak	1
albert.n.01	albert	1
albert.n.01	albert st	1
albino.n.01	albino	1
album.n.01	album	15
album.n.01	albums	3
alcohol.n.01	alcohol	60
alcohol.n.01	rubbing alcohol	2
alcohol.n.01	no alcohol	1
alcoholic.n.01	lush	5
alcove.n.01	alcove	29
alcove.n.01	arched alcove	1
ale.n.01	ale	4
ale.n.01	fuller's ale	1
alert.n.01	alert	1
alfalfa_sprout.n.01	alfalfa sprouts	1
alfalfa.n.01	alfalfa	1
alga.n.01	algae	26
alga.n.01	green algae	3
alienation.n.01	alienation	1
allen_wrench.n.01	allen wrench	1
alley.n.01	alley	51
alley.n.01	alleyway	7
alley.n.01	bowling alley	4
alley.n.01	narrow alleyway	1
alley.n.01	paved alley	1
alley.n.01	doubles alley	1
alliance.n.02	alliance	1
alligator.n.01	alligator	31
alligator.n.02	gator	5
ally.n.01	ally	1
almond.n.01	almond	31
almond.n.01	almonds	22
almond.n.01	pecans	1
alocasia.n.01	elephant ear	11
alocasia.n.01	elephant ears	1
alocasia.n.01	elephant ear leaves	1
aloe.n.01	aloe	1
alphabet.n.01	alphabet	15
alphabet.n.01	alphabets	2
alphabet.n.01	two alphabets	1
altar.n.01	altar	6
altitude.n.01	high altitude	1
altitude.n.01	no altitude	1
aluminum_foil.n.01	aluminum foil	27
aluminum_foil.n.01	tin foil	15
aluminum_foil.n.01	foil	2
aluminum_foil.n.01	aluminium foil	1
aluminum.n.01	aluminum	23
aluminum.n.01	aluminum can	5
aluminum.n.01	of aluminum	1
alumnus.n.01	graduate	3
amble.n.01	promenade	1
ambulance.n.01	ambulance	36
ambulance.n.01	ambulance`s front	1
american_bison.n.01	buffalo	42
american_bison.n.01	buffalos	2
american_bison.n.01	buffalo are seen.	1
american_bison.n.01	brown buffalo	1
american_flag.n.01	american flags	5
american_flag.n.01	american flag	4
american.n.01	american	6
american.n.01	south american	1
american.n.01	native american	1
american.n.01	american express	1
amobarbital_sodium.n.01	blue angels	1
amour_propre.n.01	vanity	115
amour_propre.n.01	cabinet	1
amour_propre.n.01	cabinets	1
amour_propre.n.01	small vanity	1
amour_propre.n.01	vanity has handles	1
amour_propre.n.01	vanity sinks	1
amour_propre.n.01	gray vanity	1
ampere.n.02	amp	3
ampersand.n.01	ampersand	2
amphitheater.n.01	amphitheater	1
amphora.n.01	amphora	1
amplifier.n.01	amplifier	3
amsterdam.n.01	amsterdam	1
amusement_park.n.01	amusement park	7
ana.n.01	ana	13
analog_clock.n.01	analog clock	6
analogue.n.01	two parallel	1
analogue.n.01	analog	1
analogue.n.01	left analog	1
analogue.n.01	right analog	1
anchor_chain.n.01	anchor rope	1
anchor_chain.n.01	anchor chain	1
anchor.n.01	anchor	52
anchor.n.01	anchors	5
anchor.n.01	white anchor	1
anchor.n.02	keystone	3
anchor.n.02	backbone	3
anchor.n.02	four keystones	1
anchovy.n.01	anchovies	11
anchovy.n.01	anchovy	1
ancient.n.01	ancient	1
andrew.n.01	st. andrews	1
andrew.n.01	andrews	1
android.n.01	android	3
android.n.01	humanoid	1
anemometer.n.01	wind gauge	1
angel.n.01	angel	55
angel.n.01	angels	10
angel.n.01	blue angels	1
angel.n.01	carved angel	1
angel.n.03	backer	1
angiosperm.n.01	flowering plant	5
angiosperm.n.01	flowering plants	3
angle.n.01	angle	15
angle.n.01	angles	3
angle.n.01	right angle	1
angle.n.01	unusual angle	1
angle.n.01	second angle	1
angler.n.01	anglers	1
angler.n.02	troller	1
angstrom.n.01	ass	6
angstrom.n.01	blue a	4
angstrom.n.01	red a	3
angstrom.n.01	as	1
angstrom.n.01	white a	1
anima.n.01	anima	4
animal_leg.n.01	animal legs	1
animal_skin.n.01	animal skin	1
animal_trainer.n.01	animal trainer	1
animal.n.01	animal	2278
animal.n.01	animals	595
animal.n.01	stuffed animal	235
animal.n.01	stuffed animals	60
animal.n.01	beast	12
animal.n.01	creature	7
animal.n.01	two animals	7
animal.n.01	wild beast	7
animal.n.01	sweet animal	4
animal.n.01	wild animal	4
animal.n.01	creatures	3
animal.n.01	an animal	3
animal.n.01	black animal	3
animal.n.01	herd	2
animal.n.01	blue animal	2
animal.n.01	white animal	2
animal.n.01	adult animal	2
animal.n.01	fauna	2
animal.n.01	three animals	2
animal.n.01	grey animal	2
animal.n.01	animal back	2
animal.n.01	large creature	1
animal.n.01	head	1
animal.n.01	black large animals	1
animal.n.01	wild animals	1
animal.n.01	blurred animal [?]	1
animal.n.01	sheep's	1
animal.n.01	third animal	1
animal.n.01	bear	1
animal.n.01	elephant	1
animal.n.01	background	1
animal.n.01	tracks	1
animal.n.01	red animal	1
animal.n.01	bug	1
animal.n.01	dead animals	1
animal.n.01	zebra	1
animal.n.01	cow	1
animal.n.01	darker animal sits	1
animal.n.01	dogs	1
animal.n.01	cat	1
animal.n.01	white animals	1
animal.n.01	four animals	1
animal.n.01	hidden animal	1
animal.n.01	dead animal	1
animal.n.01	animal sitting	1
animal.n.01	yellow animal	1
animal.n.01	distant animal	1
animal.n.01	plush animals	1
animal.n.01	large animal	1
animal.n.01	brown animal	1
animal.n.01	black white animal	1
animal.n.01	dark animal	1
animal.n.01	animals face	1
animal.n.01	beasts	1
animal.n.01	animal lying	1
animation.n.03	brio	1
anise.n.02	aniseed	1
ankle_brace.n.01	ankle braces	1
ankle.n.01	ankle	169
ankle.n.01	ankles	13
ankle.n.01	ankle brace	12
ankle.n.01	white ankle	6
ankle.n.01	right ankle	3
ankle.n.01	ankle chained	1
ankle.n.01	ankle wraps	1
ankle.n.01	left ankle	1
anklet.n.01	anklet	14
anklet.n.03	ankle bracelet	4
announcement.n.01	announcement	2
announcement.n.01	announcements	2
announcer.n.01	announcer	3
announcer.n.01	man	1
answer.n.01	answer	1
ant.n.01	ant	1
antelope.n.01	antelope	70
antelope.n.01	antelopes	4
antelope.n.01	small antelope	2
antelope.n.01	animal	1
antelope.n.01	white antelope	1
antenna.n.01	antenna	351
antenna.n.01	antennae	52
antenna.n.01	antennas	36
antenna.n.01	an antenna	3
antenna.n.01	small antennas	3
antenna.n.01	black antennae	2
antenna.n.01	antenna covering	1
antenna.n.01	black antenna	1
antenna.n.01	long antenna	1
antenna.n.01	small antenna	1
antenna.n.01	round antenna	1
antenna.n.03	feeler	1
anteroom.n.01	lobby	15
anteroom.n.01	foyer	2
anteroom.n.01	building lobby	1
anthill.n.01	anthill	2
anti.n.01	anti	1
antipasto.n.01	antipasto	2
antiquity.n.01	antiquity	5
antler.n.01	antlers	46
antler.n.01	antler	34
antonym.n.01	opposite	3
anus.n.01	anus	2
anvil.n.01	anvil	1
apartment_building.n.01	apartment buildings	8
apartment.n.01	apartment	74
apartment.n.01	apartments	26
apartment.n.01	apartments above	1
apartment.n.01	new apartments	1
apartment.n.01	white apartment	1
apatosaur.n.01	brontosaurus	1
ape.n.01	ape	3
aperture.n.01	aperture	2
apia.n.01	apia	2
apostle.n.01	apostles	1
apostrophe.n.01	apostrophe	5
apparatus.n.01	apparatus	11
apparatus.n.01	loading apparatus	1
apparatus.n.01	flushing apparatus	1
apparel.n.01	clothes	1035
apparel.n.01	black clothes	16
apparel.n.01	dark clothes	15
apparel.n.01	white clothes	9
apparel.n.01	ski clothes	7
apparel.n.01	blue clothes	6
apparel.n.01	pink clothes	5
apparel.n.01	clothes pin	5
apparel.n.01	red clothes	4
apparel.n.01	apparel	4
apparel.n.01	clothes hanger	4
apparel.n.01	clothing	3
apparel.n.01	clothes hanging	3
apparel.n.01	white	2
apparel.n.01	folded clothes	2
apparel.n.01	wet clothes	2
apparel.n.01	player	2
apparel.n.01	american apparel	2
apparel.n.01	swim clothes	2
apparel.n.01	formal clothes	2
apparel.n.01	orange clothes	2
apparel.n.01	riding clothes	2
apparel.n.01	red (clothes)	1
apparel.n.01	clothes laying	1
apparel.n.01	arty clothes	1
apparel.n.01	black grey clothes	1
apparel.n.01	towel	1
apparel.n.01	clothes stand	1
apparel.n.01	green clothes	1
apparel.n.01	clothes are heaped	1
apparel.n.01	bright clothes	1
apparel.n.01	gray clothes	1
apparel.n.01	clothes hamper	1
apparel.n.01	clothes rack	1
apparel.n.01	white (clothes)	1
apparel.n.01	clothes out to dry	1
apparel.n.01	grey apparel	1
apparel.n.01	brown clothes	1
apparel.n.01	man/red clothes	1
appeal.n.02	charm	24
appeal.n.02	charms	9
appellation.n.01	designation	2
appetizer.n.01	appetizer	15
appetizer.n.01	appetizers	8
appetizer.n.01	sliced appetizers	1
apple_fritter.n.01	apple fritters	2
apple_fritter.n.01	apple fritter	1
apple_juice.n.01	apple juice	5
apple_pie.n.01	apple pie	6
apple_tree.n.01	apple tree	5
apple.n.01	apple	1693
apple.n.01	apples	472
apple.n.01	red apple	30
apple.n.01	green apple	14
apple.n.01	red apples	12
apple.n.01	green apples	9
apple.n.01	apple pealing	9
apple.n.01	yellow apple	6
apple.n.01	candied apple	6
apple.n.01	unripe apple	5
apple.n.01	an apple	4
apple.n.01	apple crisp	3
apple.n.01	yellow apples	3
apple.n.01	colored apple	2
apple.n.01	two apples	2
apple.n.01	shiny apple	2
apple.n.01	oranges and apples	1
apple.n.01	dehydrated	1
apple.n.01	big apple	1
apple.n.01	an apple is on the	1
apple.n.01	apples are red	1
apple.n.01	selecting apples	1
apple.n.01	red and yellow apple	1
apple.n.01	apple is dried	1
apple.n.01	rotten apple	1
apple.n.01	five apples	1
apple.n.01	apple.	1
apple.n.01	white apple	1
apple.n.01	cooked apples	1
apple.n.01	golden apples	1
apple.n.01	apple`s basket	1
apple.n.01	rotting apple	1
applesauce.n.01	apple sauce	5
applesauce.n.01	applesauce	3
appliance.n.01	appliance	151
appliance.n.01	appliances	41
appliance.n.01	gadget	23
appliance.n.01	contraption	15
appliance.n.01	gadgets	8
appliance.n.01	electronic appliances	2
appliance.n.01	electronic gadgets	1
appliance.n.01	crock pot	1
appliance.n.01	many appliances	1
appliance.n.01	an appliance	1
appliance.n.01	cooking appliance	1
appliance.n.01	gizmo	1
appliance.n.01	white appliances	1
appliance.n.01	electronic appliance	1
appliance.n.01	vintage appliance	1
appliance.n.01	appliance handles	1
application.n.01	applications	2
application.n.01	application	2
applique.n.01	applique	5
appointment_book.n.01	appointment book	1
appointment.n.01	appointments	3
appointment.n.01	gilded appointments	1
apprehension.n.01	dreads	15
april.n.01	april's dog park	1
april.n.01	april	1
apron.n.01	apron	399
apron.n.01	white apron	9
apron.n.01	red apron	4
apron.n.01	aprons	4
apron.n.01	blue apron	3
apron.n.01	striped apron	2
apron.n.01	green apron	1
apron.n.01	front of apron	1
apron.n.01	three aprons	1
apron.n.01	patterned apron	1
apron.n.01	yellow apron	1
apron.n.01	checkered apron	1
apron.n.01	waterproof apron	1
aqualung.n.01	scuba	1
aquarium.n.01	aquarium	28
aquarium.n.01	fish tank	15
aquarium.n.01	fish tank in the	1
aquarium.n.01	fish tank is	1
aquatic_plant.n.01	water plant	1
aqueduct.n.01	aqueduct	1
arabic.n.01	arabic	2
arbitrageur.n.01	arb	1
arbor.n.03	pergola	4
arbor.n.03	arbor	2
arborvitae.n.01	arborvitae	1
arcade.n.01	arcade	2
arcade.n.01	arcades	1
arch.n.01	arch	502
arch.n.01	arches	106
arch.n.01	large arch	3
arch.n.01	an arch	2
arch.n.01	yellow arch	2
arch.n.01	pointed arches	1
arch.n.01	four arches	1
arch.n.01	steeple	1
arch.n.01	smallest arches	1
arch.n.01	open arches	1
arch.n.01	white arches	1
arch.n.01	arch is domed	1
arch.n.01	broad arch	1
arch.n.01	decorative arches	1
arch.n.01	arch on right	1
arch.n.01	blue arch	1
arch.n.01	three arches	1
arch.n.01	archs	1
arch.n.01	round arch	1
arch.n.01	black arch	1
arch.n.01	white arch	1
arch.n.01	golden arch	1
arch.n.01	arch supports	1
arch.n.03	archway	340
arch.n.03	archways	36
arch.n.03	an archway	1
arch.n.03	red archway	1
architecture.n.01	architecture	13
architecture.n.01	intricate architecture	4
architecture.n.01	european architecture	1
architecture.n.01	round architecture	1
architecture.n.01	gothic architecture	1
arctic.n.02	galoshes	1
are.n.01	are	4
area.n.01	area	1208
area.n.01	grassy area	137
area.n.01	wooded area	74
area.n.01	waiting area	20
area.n.01	rocky area	17
area.n.01	seating area	17
area.n.01	fenced area	16
area.n.01	sitting area	16
area.n.01	paved area	16
area.n.01	dining area	15
area.n.01	brown area	15
area.n.01	dark area	15
area.n.01	green area	14
area.n.01	areas	12
area.n.01	sandy area	11
area.n.01	shaded area	9
area.n.01	white area	9
area.n.01	open area	9
area.n.01	rural area	8
area.n.01	ski area	8
area.n.01	play area	8
area.n.01	concrete area	8
area.n.01	walking area	7
area.n.01	enclosed area	7
area.n.01	burnt area	7
area.n.01	urban area	7
area.n.01	brown areas	6
area.n.01	forested area	6
area.n.01	black area	6
area.n.01	yellow area	6
area.n.01	blue area	6
area.n.01	covered area	5
area.n.01	residential area	5
area.n.01	large area	5
area.n.01	muddy area	5
area.n.01	skate area	5
area.n.01	living area	4
area.n.01	red area	4
area.n.01	wooden area	4
area.n.01	eating area	4
area.n.01	loading area	4
area.n.01	shady area	4
area.n.01	commercial area	4
area.n.01	viewing area	4
area.n.01	rusted area	4
area.n.01	bright area	3
area.n.01	gray area	3
area.n.01	boarding area	3
area.n.01	cloudy area	3
area.n.01	lit area	3
area.n.01	dirty area	3
area.n.01	cooking area	3
area.n.01	coastal area	3
area.n.01	mountainous area	3
area.n.01	outdoor area	3
area.n.01	shadowy area	2
area.n.01	scene	2
area.n.01	round area	2
area.n.01	public area	2
area.n.01	empty area	2
area.n.01	roped off area	2
area.n.01	crossing area	2
area.n.01	area.	2
area.n.01	arched area	2
area.n.01	front area	2
area.n.01	peeling area	2
area.n.01	sunny area	2
area.n.01	foul area	2
area.n.01	pitching area	2
area.n.01	wet area	2
area.n.01	grassy areas	2
area.n.01	middle area	2
area.n.01	pedestrian area	2
area.n.01	grey area	2
area.n.01	raised area	2
area.n.01	feeding area	2
area.n.01	elevated area	2
area.n.01	gated area	2
area.n.01	control area	2
area.n.01	landscaped area	2
area.n.01	holding area	1
area.n.01	facial area	1
area.n.01	refigerated area	1
area.n.01	area is taped	1
area.n.01	dried area	1
area.n.01	green grassy area	1
area.n.01	handicapped area	1
area.n.01	inbound area	1
area.n.01	forrested area	1
area.n.01	swimming area	1
area.n.01	rear area	1
area.n.01	sand	1
area.n.01	white painted area	1
area.n.01	an enclosed area	1
area.n.01	broken area	1
area.n.01	blurry area	1
area.n.01	shaded areas	1
area.n.01	cat house	1
area.n.01	planting area	1
area.n.01	animal area	1
area.n.01	snowboarding area	1
area.n.01	jumping area	1
area.n.01	riding area	1
area.n.01	this area	1
area.n.01	missing area	1
area.n.01	back area	1
area.n.01	out of area	1
