supercat	category	ssid	no_imgs	no_objs	objname	name_count
animal	bird.n.01	bird.n.01	2335	4917	smiling woman	1
animal	bird.n.01	bird.n.01	2335	4917	seagulls	1
animal	bird.n.01	bird.n.01	2335	4917	bird has	1
animal	bird.n.01	bird.n.01	2335	4917	no bird allowed	1
animal	bird.n.01	bird.n.01	2335	4917	angry bird graphic	1
animal	bird.n.01	bird.n.01	2335	4917	bird on ledge	1
animal	bird.n.01	bird.n.01	2335	4917	colorful bird	1
animal	bird.n.01	bird.n.01	2335	4917	birds eating	1
animal	bird.n.01	bird.n.01	2335	4917	heads	1
animal	bird.n.01	bird.n.01	2335	4917	grey bird	1
animal	bird.n.01	bird.n.01	2335	4917	big flying bird	1
animal	bird.n.01	bird.n.01	2335	4917	bird is flying above	1
animal	bird.n.01	bird.n.01	2335	4917	bird`s wing	1
animal	bird.n.01	bird.n.01	2335	4917	bird 2	1
animal	bird.n.01	bird.n.01	2335	4917	bird 3	1
animal	bird.n.01	bird.n.01	2335	4917	(bird's)neck area	1
animal	bird.n.01	bird.n.01	2335	4917	bad birds	1
animal	bird.n.01	bird.n.01	2335	4917	birds face	1
animal	bird.n.01	bird.n.01	2335	4917	little birds	1
animal	bird.n.01	bird.n.01	2335	4917	4 birds	1
animal	bird.n.01	bird.n.01	2335	4917	bird's tail tip	1
animal	bird.n.01	bird.n.01	2335	4917	another bird	1
animal	bird.n.01	bird.n.01	2335	4917	birds shadow	1
animal	bird.n.01	bird.n.01	2335	4917	golden bird	1
animal	bird.n.01	bird.n.01	2335	4917	perched birds	1
animal	bird.n.01	bird.n.01	2335	4917	right bird	1
animal	bird.n.01	bird.n.01	2335	4917	small white bird	1
animal	bird.n.01	bird.n.01	2335	4917	birds flying.	1
animal	bird.n.01	bird.n.01	2335	4917	dark birds.	1
animal	bird.n.01	bird.n.01	2335	4917	flying birds.	1
animal	bird.n.01	brood_hen.n.01	3	4	sitter	3
animal	bird.n.01	brood_hen.n.01	3	4	sitters	1
animal	bird.n.01	buzzard.n.01	2	2	buzzard	2
animal	bird.n.01	chick.n.01	6	6	chick	5
animal	bird.n.01	chick.n.01	6	6	chicks	1
animal	bird.n.01	chickadee.n.01	1	1	chickadee	1
animal	bird.n.01	cock.n.04	28	32	rooster	32
animal	bird.n.01	cockatoo.n.01	1	1	cockatoo	1
animal	bird.n.01	condor.n.01	1	1	condor	1
animal	bird.n.01	crake.n.01	1	1	crake	1
animal	bird.n.01	crow.n.01	10	12	crow	12
animal	bird.n.01	domestic_fowl.n.01	7	10	fowl	7
animal	bird.n.01	domestic_fowl.n.01	7	10	poultry	2
animal	bird.n.01	domestic_fowl.n.01	7	10	fowls	1
animal	bird.n.01	dove.n.01	14	25	dove	21
animal	bird.n.01	dove.n.01	14	25	doves	4
animal	bird.n.01	duck.n.01	250	576	duck	473
animal	bird.n.01	duck.n.01	250	576	ducks	82
animal	bird.n.01	duck.n.01	250	576	black duck	6
animal	bird.n.01	duck.n.01	250	576	two ducks	5
animal	bird.n.01	duck.n.01	250	576	yellow duck	2
animal	bird.n.01	duck.n.01	250	576	farthest duck	1
animal	bird.n.01	duck.n.01	250	576	leftmost duck	1
animal	bird.n.01	duck.n.01	250	576	duck's	1
animal	bird.n.01	duck.n.01	250	576	three ducks	1
animal	bird.n.01	duck.n.01	250	576	pink ducks	1
animal	bird.n.01	duck.n.01	250	576	correct duck	1
animal	bird.n.01	duck.n.01	250	576	stuffed duck	1
animal	bird.n.01	duck.n.01	250	576	white duck	1
animal	bird.n.01	eagle.n.01	48	55	eagle	48
animal	bird.n.01	eagle.n.01	48	55	bald eagle	3
animal	bird.n.01	eagle.n.01	48	55	eagles	3
animal	bird.n.01	eagle.n.01	48	55	american eagle	1
animal	bird.n.01	egret.n.01	5	6	egret	4
animal	bird.n.01	egret.n.01	5	6	egrets	1
animal	bird.n.01	egret.n.01	5	6	great egret	1
animal	bird.n.01	fairy_bluebird.n.01	1	1	bluebird	1
animal	bird.n.01	falcon.n.01	1	1	falcon	1
animal	bird.n.01	fieldfare.n.01	1	1	snowbird	1
animal	bird.n.01	finch.n.01	1	1	finch	1
animal	bird.n.01	flamingo.n.01	29	107	flamingo	87
animal	bird.n.01	flamingo.n.01	29	107	flamingos	8
animal	bird.n.01	flamingo.n.01	29	107	pink flamingo	4
animal	bird.n.01	flamingo.n.01	29	107	flamingoes	2
animal	bird.n.01	flamingo.n.01	29	107	bird	1
animal	bird.n.01	flamingo.n.01	29	107	three flamingos	1
animal	bird.n.01	flamingo.n.01	29	107	four flamingos	1
animal	bird.n.01	flamingo.n.01	29	107	two flamingos	1
animal	bird.n.01	flamingo.n.01	29	107	pink flamingos	1
animal	bird.n.01	flamingo.n.01	29	107	black flamingo	1
animal	bird.n.01	gamecock.n.01	1	1	gamecock	1
animal	bird.n.01	goose.n.01	58	118	goose	72
animal	bird.n.01	goose.n.01	58	118	geese	37
animal	bird.n.01	goose.n.01	58	118	geese swimming	5
animal	bird.n.01	goose.n.01	58	118	bird	1
animal	bird.n.01	goose.n.01	58	118	stuffed goose	1
animal	bird.n.01	goose.n.01	58	118	canadian goose	1
animal	bird.n.01	goose.n.01	58	118	several geese	1
animal	bird.n.01	gosling.n.01	3	7	gosling	7
animal	bird.n.01	gull.n.02	119	256	seagull	171
animal	bird.n.01	gull.n.02	119	256	seagulls	37
animal	bird.n.01	gull.n.02	119	256	sea gull	36
animal	bird.n.01	gull.n.02	119	256	two seagulls	2
animal	bird.n.01	gull.n.02	119	256	sea gulls	2
animal	bird.n.01	gull.n.02	119	256	white seagull	1
animal	bird.n.01	gull.n.02	119	256	gray seagull	1
animal	bird.n.01	gull.n.02	119	256	two sea gulls	1
animal	bird.n.01	gull.n.02	119	256	four seagulls	1
animal	bird.n.01	gull.n.02	119	256	seagull perched	1
animal	bird.n.01	gull.n.02	119	256	flying seagull	1
animal	bird.n.01	gull.n.02	119	256	seagull's	1
animal	bird.n.01	gull.n.02	119	256	brown seagull	1
animal	bird.n.01	hawk.n.01	8	8	hawk	8
animal	bird.n.01	hen.n.01	10	16	hen	14
animal	bird.n.01	hen.n.01	10	16	hens	2
animal	bird.n.01	hummingbird.n.01	5	5	hummingbird	5
animal	bird.n.01	kingfisher.n.01	2	2	kingfisher	2
animal	bird.n.01	loon.n.02	3	3	diver	3
animal	bird.n.01	lory.n.01	2	2	lories	1
animal	bird.n.01	lory.n.01	2	2	lory	1
animal	bird.n.01	macaw.n.01	2	2	macaw	2
animal	bird.n.01	meadowlark.n.01	1	1	lark	1
animal	bird.n.01	new_world_blackbird.n.01	5	9	blackbird	8
animal	bird.n.01	new_world_blackbird.n.01	5	9	blackbirds	1
animal	bird.n.01	new_world_goldfinch.n.01	1	1	goldfinch	1
animal	bird.n.01	old_world_oriole.n.01	4	4	orioles	3
animal	bird.n.01	old_world_oriole.n.01	4	4	orioles writing	1
animal	bird.n.01	owl.n.01	46	55	owl	46
animal	bird.n.01	owl.n.01	46	55	owls	4
animal	bird.n.01	owl.n.01	46	55	hooters	2
animal	bird.n.01	owl.n.01	46	55	owl graphic	1
animal	bird.n.01	owl.n.01	46	55	owls graphic	1
animal	bird.n.01	owl.n.01	46	55	owl secure	1
animal	bird.n.01	parakeet.n.01	6	7	parakeet	7
animal	bird.n.01	parrot.n.01	34	47	parrot	43
animal	bird.n.01	parrot.n.01	34	47	parrots	3
animal	bird.n.01	parrot.n.01	34	47	bird	1
animal	bird.n.01	pelican.n.01	18	23	pelican	18
animal	bird.n.01	pelican.n.01	18	23	pelicans	4
animal	bird.n.01	pelican.n.01	18	23	dead pelicans	1
animal	bird.n.01	penguin.n.01	40	57	penguin	48
animal	bird.n.01	penguin.n.01	40	57	penguins	6
animal	bird.n.01	penguin.n.01	40	57	penguin express	1
animal	bird.n.01	penguin.n.01	40	57	two penguins	1
animal	bird.n.01	penguin.n.01	40	57	stuffed penguin	1
animal	bird.n.01	pheasant.n.01	2	2	pheasant	2
animal	bird.n.01	pigeon.n.01	86	275	pigeon	212
animal	bird.n.01	pigeon.n.01	86	275	pigeons	48
animal	bird.n.01	pigeon.n.01	86	275	white pigeon	5
animal	bird.n.01	pigeon.n.01	86	275	black pigeon	4
animal	bird.n.01	pigeon.n.01	86	275	three pigeons	2
animal	bird.n.01	pigeon.n.01	86	275	two pigeons	1
animal	bird.n.01	pigeon.n.01	86	275	grey pigeon	1
animal	bird.n.01	pigeon.n.01	86	275	small pigeon	1
animal	bird.n.01	pigeon.n.01	86	275	pigeon is black	1
animal	bird.n.01	puffin.n.01	2	2	puffin	2
animal	bird.n.01	roadrunner.n.01	1	1	roadrunner	1
animal	bird.n.01	robin.n.01	1	1	robin	1
animal	bird.n.01	sandpiper.n.01	2	2	sandpipers	1
animal	bird.n.01	sandpiper.n.01	2	2	sandpiper	1
animal	bird.n.01	seabird.n.01	7	17	sea bird	9
animal	bird.n.01	seabird.n.01	7	17	seabird	5
animal	bird.n.01	seabird.n.01	7	17	seabirds	2
animal	bird.n.01	seabird.n.01	7	17	sea birds	1
animal	bird.n.01	shorebird.n.01	1	1	shorebird	1
animal	bird.n.01	song_thrush.n.01	1	3	mavis	3
animal	bird.n.01	sparrow.n.01	3	6	sparrow	5
animal	bird.n.01	sparrow.n.01	3	6	sparrows	1
animal	bird.n.01	stork.n.01	2	3	stork	2
animal	bird.n.01	stork.n.01	2	3	white stork	1
animal	bird.n.01	swan.n.01	42	78	swan	69
animal	bird.n.01	swan.n.01	42	78	simulated swan	2
animal	bird.n.01	swan.n.01	42	78	swans	2
animal	bird.n.01	swan.n.01	42	78	swan next	1
animal	bird.n.01	swan.n.01	42	78	white swan	1
animal	bird.n.01	swan.n.01	42	78	swan behind	1
animal	bird.n.01	swan.n.01	42	78	white swans	1
animal	bird.n.01	swan.n.01	42	78	blue swans	1
animal	bird.n.01	toucan.n.01	3	3	toucan	3
animal	bird.n.01	turkey_cock.n.01	1	1	gobbler	1
animal	bird.n.01	turkey.n.01	47	61	turkey	54
animal	bird.n.01	turkey.n.01	47	61	turkeys	3
animal	bird.n.01	turkey.n.01	47	61	roasted turkey	2
animal	bird.n.01	turkey.n.01	47	61	ostrich	1
animal	bird.n.01	turkey.n.01	47	61	fake turkey	1
animal	bird.n.01	vulture.n.01	4	6	vulture	5
animal	bird.n.01	vulture.n.01	4	6	vultures	1
animal	bird.n.01	waterfowl.n.01	1	1	waterfowl	1
animal	bird.n.01	woodpecker.n.01	3	3	woodpecker	3
animal	dog.n.01	basset.n.01	1	1	basset hound	1
animal	dog.n.01	beagle.n.01	4	4	beagle	4
animal	dog.n.01	border_collie.n.01	1	1	border collie	1
animal	dog.n.01	boston_bull.n.01	3	3	boston terrier	3
animal	dog.n.01	bulldog.n.01	9	12	bulldog	12
animal	dog.n.01	cocker_spaniel.n.01	2	2	cocker spaniel	2
animal	dog.n.01	collie.n.01	2	2	collie	2
animal	dog.n.01	corgi.n.01	2	2	corgi	2
animal	dog.n.01	cur.n.01	2	2	one mutt	1
animal	dog.n.01	cur.n.01	2	2	cur	1
animal	dog.n.01	dachshund.n.01	2	2	dachshund	2
animal	dog.n.01	dog.n.01	3339	4400	dog	3417
animal	dog.n.01	dog.n.01	3339	4400	hot dog	589
animal	dog.n.01	dog.n.01	3339	4400	dogs	112
animal	dog.n.01	dog.n.01	3339	4400	hot dogs	56
animal	dog.n.01	dog.n.01	3339	4400	black dog	54
animal	dog.n.01	dog.n.01	3339	4400	brown dog	46
animal	dog.n.01	dog.n.01	3339	4400	stuffed dog	12
animal	dog.n.01	dog.n.01	3339	4400	white dog	11
animal	dog.n.01	dog.n.01	3339	4400	two dogs	10
animal	dog.n.01	dog.n.01	3339	4400	small dog	6
animal	dog.n.01	dog.n.01	3339	4400	large dog	5
animal	dog.n.01	dog.n.01	3339	4400	dogs head	5
animal	dog.n.01	dog.n.01	3339	4400	three dogs	5
animal	dog.n.01	dog.n.01	3339	4400	inflatable dog	4
animal	dog.n.01	dog.n.01	3339	4400	dog's	4
animal	dog.n.01	dog.n.01	3339	4400	dog sitting	3
animal	dog.n.01	dog.n.01	3339	4400	no dog	3
animal	dog.n.01	dog.n.01	3339	4400	canine	2
animal	dog.n.01	dog.n.01	3339	4400	standing dog	2
animal	dog.n.01	dog.n.01	3339	4400	two hot dogs	2
animal	dog.n.01	dog.n.01	3339	4400	dog`s eye	2
animal	dog.n.01	dog.n.01	3339	4400	labrador dog	2
animal	dog.n.01	dog.n.01	3339	4400	dog laying	2
animal	dog.n.01	dog.n.01	3339	4400	dog is brown	1
animal	dog.n.01	dog.n.01	3339	4400	dog looks relaxed	1
animal	dog.n.01	dog.n.01	3339	4400	food	1
animal	dog.n.01	dog.n.01	3339	4400	dog pooping	1
animal	dog.n.01	dog.n.01	3339	4400	dogs coller	1
animal	dog.n.01	dog.n.01	3339	4400	brown and black dog	1
animal	dog.n.01	dog.n.01	3339	4400	black and white dog	1
animal	dog.n.01	dog.n.01	3339	4400	cooked hot dogs	1
animal	dog.n.01	dog.n.01	3339	4400	guy holding hot dog	1
animal	dog.n.01	dog.n.01	3339	4400	hot dog stand	1
animal	dog.n.01	dog.n.01	3339	4400	behind dogs	1
animal	dog.n.01	dog.n.01	3339	4400	plush dog	1
animal	dog.n.01	dog.n.01	3339	4400	3 hot dogs	1
animal	dog.n.01	dog.n.01	3339	4400	plain hot dog	1
animal	dog.n.01	dog.n.01	3339	4400	dog is looking	1
animal	dog.n.01	dog.n.01	3339	4400	dog has black colar	1
animal	dog.n.01	dog.n.01	3339	4400	running dog	1
animal	dog.n.01	dog.n.01	3339	4400	brown dog is furry	1
animal	dog.n.01	dog.n.01	3339	4400	dog is long	1
animal	dog.n.01	dog.n.01	3339	4400	pomeranian	1
animal	dog.n.01	dog.n.01	3339	4400	hot dog graphic	1
animal	dog.n.01	dog.n.01	3339	4400	hair	1
animal	dog.n.01	dog.n.01	3339	4400	far hot dog	1
animal	dog.n.01	dog.n.01	3339	4400	white dogs	1
animal	dog.n.01	dog.n.01	3339	4400	dog sniffing	1
animal	dog.n.01	dog.n.01	3339	4400	left hot dog	1
animal	dog.n.01	dog.n.01	3339	4400	dogs paw	1
animal	dog.n.01	dog.n.01	3339	4400	surfing dog	1
animal	dog.n.01	dog.n.01	3339	4400	dog sleeping	1
animal	dog.n.01	dog.n.01	3339	4400	laying dog	1
animal	dog.n.01	dog.n.01	3339	4400	brown dogs	1
animal	dog.n.01	dog.n.01	3339	4400	dog humped	1
animal	dog.n.01	dog.n.01	3339	4400	bad dog	1
animal	dog.n.01	dog.n.01	3339	4400	no dogs allowed	1
animal	dog.n.01	dog.n.01	3339	4400	dog sneezing	1
animal	dog.n.01	dog.n.01	3339	4400	long hot dog	1
animal	dog.n.01	dog.n.01	3339	4400	ceramic dog	1
animal	dog.n.01	dog.n.01	3339	4400	cooked hot dog	1
animal	dog.n.01	dog.n.01	3339	4400	grey dog	1
animal	dog.n.01	dog.n.01	3339	4400	dog wet	1
animal	dog.n.01	dog.n.01	3339	4400	furry dog	1
animal	dog.n.01	dog.n.01	3339	4400	red dog	1
animal	dog.n.01	dog.n.01	3339	4400	black/white dog	1
animal	dog.n.01	dog.n.01	3339	4400	dogs running	1
animal	dog.n.01	dog.n.01	3339	4400	dog next to	1
animal	dog.n.01	dog.n.01	3339	4400	big dog	1
animal	dog.n.01	eskimo_dog.n.01	2	5	husky	4
animal	dog.n.01	eskimo_dog.n.01	2	5	huskies	1
animal	dog.n.01	greyhound.n.01	4	4	greyhound	3
animal	dog.n.01	greyhound.n.01	4	4	white greyhound	1
animal	dog.n.01	guide_dog.n.01	1	1	guide dogs	1
animal	dog.n.01	pooch.n.01	3	3	doggy	2
animal	dog.n.01	pooch.n.01	3	3	doggie	1
animal	dog.n.01	poodle.n.01	9	11	poodle	10
animal	dog.n.01	poodle.n.01	9	11	poodles	1
animal	dog.n.01	pug.n.01	10	10	pug	7
animal	dog.n.01	pug.n.01	10	10	pugs	1
animal	dog.n.01	pug.n.01	10	10	pug faces	1
animal	dog.n.01	pug.n.01	10	10	pugs head	1
animal	dog.n.01	puppy.n.01	50	58	puppy	46
animal	dog.n.01	puppy.n.01	50	58	puppies	4
animal	dog.n.01	puppy.n.01	50	58	dog	4
animal	dog.n.01	puppy.n.01	50	58	head	1
animal	dog.n.01	puppy.n.01	50	58	smiling woman	1
animal	dog.n.01	puppy.n.01	50	58	hush puppy	1
animal	dog.n.01	puppy.n.01	50	58	front puppy	1
animal	dog.n.01	retriever.n.01	7	9	golden retriever	6
animal	dog.n.01	retriever.n.01	7	9	retriever	3
animal	dog.n.01	shepherd_dog.n.01	5	6	sheepdog	4
animal	dog.n.01	shepherd_dog.n.01	5	6	sheep dog	1
animal	dog.n.01	shepherd_dog.n.01	5	6	shepherd dog	1
animal	dog.n.01	spaniel.n.01	1	1	spaniel	1
animal	dog.n.01	terrier.n.01	7	9	terrier	4
animal	dog.n.01	terrier.n.01	7	9	wet terrier	3
animal	dog.n.01	terrier.n.01	7	9	white terrier	1
animal	dog.n.01	terrier.n.01	7	9	terriers	1
animal	dog.n.01	toy_dog.n.01	1	1	toy dog	1
animal	dog.n.01	toy_poodle.n.01	1	1	toy poodle	1
animal	feline.n.01	bobcat.n.01	3	3	bobcat	3
animal	feline.n.01	cat.n.01	2360	2819	cat	2629
animal	feline.n.01	cat.n.01	2360	2819	cats	54
animal	feline.n.01	cat.n.01	2360	2819	black cat	51
animal	feline.n.01	cat.n.01	2360	2819	brown cat	11
animal	feline.n.01	cat.n.01	2360	2819	two cats	10
animal	feline.n.01	cat.n.01	2360	2819	cat lying	5
animal	feline.n.01	cat.n.01	2360	2819	cats head	5
animal	feline.n.01	cat.n.01	2360	2819	white cat	4
animal	feline.n.01	cat.n.01	2360	2819	stuffed cat	3
animal	feline.n.01	cat.n.01	2360	2819	grey cat	3
animal	feline.n.01	cat.n.01	2360	2819	cat sitting	3
animal	feline.n.01	cat.n.01	2360	2819	cats face	3
animal	feline.n.01	cat.n.01	2360	2819	cat is black	2
animal	feline.n.01	cat.n.01	2360	2819	cat graphic	2
animal	feline.n.01	cat.n.01	2360	2819	gray cat	2
animal	feline.n.01	cat.n.01	2360	2819	on cat	2
animal	feline.n.01	cat.n.01	2360	2819	ceramic cat	2
animal	feline.n.01	cat.n.01	2360	2819	adult cat	2
animal	feline.n.01	cat.n.01	2360	2819	statue	1
animal	feline.n.01	cat.n.01	2360	2819	cat is white.	1
animal	feline.n.01	cat.n.01	2360	2819	angry cat	1
animal	feline.n.01	cat.n.01	2360	2819	large cat	1
animal	feline.n.01	cat.n.01	2360	2819	black and white cat	1
animal	feline.n.01	cat.n.01	2360	2819	cat is looking up	1
animal	feline.n.01	cat.n.01	2360	2819	small cat	1
animal	feline.n.01	cat.n.01	2360	2819	cat all	1
animal	feline.n.01	cat.n.01	2360	2819	standing cat	1
animal	feline.n.01	cat.n.01	2360	2819	fluffy cat	1
animal	feline.n.01	cat.n.01	2360	2819	cat`s eyes	1
animal	feline.n.01	cat.n.01	2360	2819	cat sleeping	1
animal	feline.n.01	cat.n.01	2360	2819	of cat	1
animal	feline.n.01	cat.n.01	2360	2819	cat`s eye	1
animal	feline.n.01	cat.n.01	2360	2819	cat mezmorized	1
animal	feline.n.01	cat.n.01	2360	2819	cat laying	1
animal	feline.n.01	cat.n.01	2360	2819	sleeping cat	1
animal	feline.n.01	cat.n.01	2360	2819	big cat	1
animal	feline.n.01	cat.n.01	2360	2819	cats paw	1
animal	feline.n.01	cat.n.01	2360	2819	cat looking	1
animal	feline.n.01	cat.n.01	2360	2819	this cat	1
animal	feline.n.01	cat.n.01	2360	2819	cat lashes	1
animal	feline.n.01	cat.n.01	2360	2819	cat`s fur	1
animal	feline.n.01	cat.n.01	2360	2819	black/white cat	1
animal	feline.n.01	cat.n.01	2360	2819	cat's left/leg	1
animal	feline.n.01	cat.n.01	2360	2819	cat staring	1
animal	feline.n.01	cheetah.n.01	6	9	cheetah	8
animal	feline.n.01	cheetah.n.01	6	9	cheetahs	1
animal	feline.n.01	cougar.n.01	4	5	puma	2
animal	feline.n.01	cougar.n.01	4	5	go cougars	1
animal	feline.n.01	cougar.n.01	4	5	cougar	1
animal	feline.n.01	cougar.n.01	4	5	white puma	1
animal	feline.n.01	feline.n.01	5	5	feline	4
animal	feline.n.01	feline.n.01	5	5	felines	1
animal	feline.n.01	jaguar.n.01	2	2	pink panther	1
animal	feline.n.01	jaguar.n.01	2	2	panthers	1
animal	feline.n.01	lion.n.01	70	97	lion	75
animal	feline.n.01	lion.n.01	70	97	lions	11
animal	feline.n.01	lion.n.01	70	97	dandy lion	2
animal	feline.n.01	lion.n.01	70	97	two lions	1
animal	feline.n.01	lion.n.01	70	97	stuffed animal	1
animal	feline.n.01	lion.n.01	70	97	painted lion	1
animal	feline.n.01	lion.n.01	70	97	lions head	1
animal	feline.n.01	lion.n.01	70	97	golden lion	1
animal	feline.n.01	lion.n.01	70	97	winged lion	1
animal	feline.n.01	lion.n.01	70	97	brown lion	1
animal	feline.n.01	lion.n.01	70	97	lion biting	1
animal	feline.n.01	lion.n.01	70	97	lion watching	1
animal	feline.n.01	lioness.n.01	2	2	lioness	2
animal	feline.n.01	tabby.n.01	8	8	tabby	5
animal	feline.n.01	tabby.n.01	8	8	tabby cat	3
animal	feline.n.01	tom.n.02	1	1	tomcat	1
animal	feline.n.01	tortoiseshell.n.03	5	6	calico cat	6
animal	fish.n.01	chub.n.01	1	2	chub	2
animal	fish.n.01	dolphinfish.n.02	17	32	dolphin	27
animal	fish.n.01	dolphinfish.n.02	17	32	dolphins	4
animal	fish.n.01	dolphinfish.n.02	17	32	grey dolphin	1
animal	fish.n.01	fish.n.01	226	318	fish	293
animal	fish.n.01	fish.n.01	226	318	green fish	6
animal	fish.n.01	fish.n.01	226	318	fried fish	3
animal	fish.n.01	fish.n.01	226	318	fishes	2
animal	fish.n.01	fish.n.01	226	318	painted fish	2
animal	fish.n.01	fish.n.01	226	318	cooked fish	2
animal	fish.n.01	fish.n.01	226	318	dead fish	2
animal	fish.n.01	fish.n.01	226	318	on fish	1
animal	fish.n.01	fish.n.01	226	318	goldfish	1
animal	fish.n.01	fish.n.01	226	318	raw fish	1
animal	fish.n.01	fish.n.01	226	318	chutney	1
animal	fish.n.01	fish.n.01	226	318	two fish	1
animal	fish.n.01	fish.n.01	226	318	flying fish	1
animal	fish.n.01	fish.n.01	226	318	filet fish	1
animal	fish.n.01	fish.n.01	226	318	baked fish	1
animal	fish.n.01	goldfish.n.01	3	5	goldfish	5
animal	fish.n.01	guppy.n.01	1	1	rainbow fish	1
animal	fish.n.01	hind.n.01	18	22	hind	22
animal	fish.n.01	marlin.n.01	2	2	marlin	1
animal	fish.n.01	marlin.n.01	2	2	marlins	1
animal	fish.n.01	mollie.n.01	1	1	molly	1
animal	fish.n.01	moonfish.n.01	1	1	horsehead	1
animal	fish.n.01	shark.n.01	23	26	shark	22
animal	fish.n.01	shark.n.01	23	26	sharks	1
animal	fish.n.01	shark.n.01	23	26	white shark	1
animal	fish.n.01	shark.n.01	23	26	inflatable shark	1
animal	fish.n.01	shark.n.01	23	26	blue shark	1
animal	fish.n.01	stingray.n.01	2	2	stingray	2
animal	fish.n.01	tarpon.n.01	1	1	tarpon	1
animal	fish.n.01	vermillion_rockfish.n.01	1	1	rasher	1
animal	horse.n.01	charger.n.01	97	102	charger	97
animal	horse.n.01	charger.n.01	97	102	chargers	5
animal	horse.n.01	clydesdale.n.01	2	2	clydesdales	2
animal	horse.n.01	draft_horse.n.01	1	1	draft horse	1
animal	horse.n.01	horse.n.01	2334	4361	horse	3727
animal	horse.n.01	horse.n.01	2334	4361	horses	317
animal	horse.n.01	horse.n.01	2334	4361	brown horse	140
animal	horse.n.01	horse.n.01	2334	4361	black horse	39
animal	horse.n.01	horse.n.01	2334	4361	two horses	26
animal	horse.n.01	horse.n.01	2334	4361	white horse	24
animal	horse.n.01	horse.n.01	2334	4361	rocking horse	7
animal	horse.n.01	horse.n.01	2334	4361	horse back	5
animal	horse.n.01	horse.n.01	2334	4361	horse's	4
animal	horse.n.01	horse.n.01	2334	4361	three horses	4
animal	horse.n.01	horse.n.01	2334	4361	horses head	4
animal	horse.n.01	horse.n.01	2334	4361	white horses	4
animal	horse.n.01	horse.n.01	2334	4361	brown horses	3
animal	horse.n.01	horse.n.01	2334	4361	standing horse	3
animal	horse.n.01	horse.n.01	2334	4361	gray horse	3
animal	horse.n.01	horse.n.01	2334	4361	four horses	2
animal	horse.n.01	horse.n.01	2334	4361	grey horse	2
animal	horse.n.01	horse.n.01	2334	4361	yellow horse	2
animal	horse.n.01	horse.n.01	2334	4361	riding horse	2
animal	horse.n.01	horse.n.01	2334	4361	horse reigns	2
animal	horse.n.01	horse.n.01	2334	4361	dark horse	2
animal	horse.n.01	horse.n.01	2334	4361	horse is black	2
animal	horse.n.01	horse.n.01	2334	4361	riding on a horse	1
animal	horse.n.01	horse.n.01	2334	4361	horse with white	1
animal	horse.n.01	horse.n.01	2334	4361	baby	1
animal	horse.n.01	horse.n.01	2334	4361	mother	1
animal	horse.n.01	horse.n.01	2334	4361	right horse	1
