assignmentid,rating_mean,color_mean,control_score,control_score-filtered,hitid,requesterannotation,control_score_mturk,workerid,decision1,decision2,executed1,executed2,explanation,mistakes,n_mistakes
3QEMNNSB2XZ5HOAEIAZNCQR0KUQD72,1.3333333333333333,1.1851851851851851,0.95,0.95,33KGGVH24UH2IO20USEPH37RVXWX1K,../1_pre-pilot/verification_pilot_amt.csv_20,0.9523809523809523,worker23,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2343601_921827_singleton_obj.png - placemat: visual'],1
3VHHR074H3HOF0Y6VRXBV3Z5T2EL7A,0.8888888888888888,0.6666666666666666,1.0,1.0,33KGGVH24UH2IO20USEPH37RVXWX1K,../1_pre-pilot/verification_pilot_amt.csv_20,1.0,worker6,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
35L9RVQFCOIORFRCHEBOD3KIKXCHUD,0.7777777777777778,0.2962962962962963,0.9285714285714286,0.9285714285714286,39TX062QX1OYSRGFHWS85WMOTHAX3C,../1_pre-pilot/verification_pilot_amt.csv_27,0.9375,worker20,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png - half: ['half', 'food', 'pickle']""]",1
39ZSFO5CA8WKILM25EE9PG0XXO1UJE,1.037037037037037,0.07407407407407407,1.0,1.0,39TX062QX1OYSRGFHWS85WMOTHAX3C,../1_pre-pilot/verification_pilot_amt.csv_27,1.0,worker16,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3L4D84MILZSFDZGI5F7A61B73HNHJQ,0.5925925925925926,0.25925925925925924,1.0,1.0,39TX062QX1OYSRGFHWS85WMOTHAX3C,../1_pre-pilot/verification_pilot_amt.csv_27,1.0,worker2,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3LJ7UR74RHDHKDJ856FJ5JJK7WM4NB,0.7777777777777778,0.48148148148148145,0.9230769230769231,0.9230769230769231,39TX062QX1OYSRGFHWS85WMOTHAX3C,../1_pre-pilot/verification_pilot_amt.csv_27,0.9285714285714286,worker5,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png - half: visual'],1
31T4R4OBOSGVCW40IE4CSK9IZUE7CW,0.19230769230769232,0.3076923076923077,0.8125,0.9285714285714286,3K8CQCU3KE1Q7V4ZPAG1CR6NPWVWNY,../1_pre-pilot/verification_pilot_amt.csv_17,0.8333333333333334,worker1,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2356773_2359404_singleton_obj.png - wool: 0', 'http://object-naming-amore.upf.edu//2411688_3566937_supercat_unique.png - advertisement: 0', 'http://object-naming-amore.upf.edu//2380172_1349791_singleton_obj.png - ragtop: visual']",3
33PPUNGG385I28ZPJ6MQ8Z139MKZR8,0.7692307692307693,0.5384615384615384,0.85,0.9444444444444444,3K8CQCU3KE1Q7V4ZPAG1CR6NPWVWNY,../1_pre-pilot/verification_pilot_amt.csv_17,0.84,worker15,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2356773_2359404_singleton_obj.png - wool: bounding box', 'http://object-naming-amore.upf.edu//2410999_3814271_singleton_obj.png - akrplane: 0', 'http://object-naming-amore.upf.edu//2380172_1349791_singleton_obj.png - ragtop: bounding box']",3
3M23Y66PO27SFDFRWQPK1BD4QPLS6N,0.3076923076923077,1.3076923076923077,0.6875,0.7857142857142857,3K8CQCU3KE1Q7V4ZPAG1CR6NPWVWNY,../1_pre-pilot/verification_pilot_amt.csv_17,0.6666666666666667,worker19,approve,block,False,False,"failed assignment, but apply lenience, blocked because low average quality","['http://object-naming-amore.upf.edu//2356773_2359404_singleton_obj.png - wool: visual', 'http://object-naming-amore.upf.edu//2411688_3566937_supercat_unique.png - advertisement: 0', 'http://object-naming-amore.upf.edu//2380172_1349791_singleton_obj.png - ragtop: visual', ""http://object-naming-amore.upf.edu//2356773_2359404_singleton_obj.png - wool: ['wool', 'sheep']"", ""http://object-naming-amore.upf.edu//2397454_434022_supercat_unique.png - sofa: ['sofa']""]",5
3WS1NTTKEYCOXXOQOH94LBKYOU0F0H,0.9230769230769231,3.8461538461538463,0.8571428571428571,0.8947368421052632,3K8CQCU3KE1Q7V4ZPAG1CR6NPWVWNY,../1_pre-pilot/verification_pilot_amt.csv_17,0.8461538461538461,worker21,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2356773_2359404_singleton_obj.png - wool: linguistic', 'http://object-naming-amore.upf.edu//2397454_434022_supercat_unique.png - styrup: linguistic', ""http://object-naming-amore.upf.edu//2397454_434022_supercat_unique.png - styrup: ['styrup', 'laptop']""]",3
3CFJTT4SXTQMPZQ0AO0Y3N7DCY87I6,0.5185185185185185,0.5185185185185185,0.9333333333333333,0.9285714285714286,3M67TQBQQHO8BGX2NV14C1ECSPC9A4,../1_pre-pilot/verification_pilot_amt.csv_22,0.8823529411764706,worker13,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2390965_1245423_supercat_unique.png - biscuit: ['biscuit', 'plate']""]",1
3J88R45B2GY8L0JV5WUG6JLD05BPXO,1.1481481481481481,0.48148148148148145,0.9473684210526315,1.0,3M67TQBQQHO8BGX2NV14C1ECSPC9A4,../1_pre-pilot/verification_pilot_amt.csv_22,0.9047619047619048,worker15,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",['http://object-naming-amore.upf.edu//2390965_1245423_supercat_unique.png - biscuit: bounding box'],1
3XLBSAQ9Z4C8KPFAASOK3IA38BGZ71,0.6296296296296297,1.7777777777777777,0.75,0.8,3M67TQBQQHO8BGX2NV14C1ECSPC9A4,../1_pre-pilot/verification_pilot_amt.csv_22,0.7777777777777778,worker8,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2364342_2609948_seed_ambiguous.png - shirt: visual', 'http://object-naming-amore.upf.edu//2390965_1245423_supercat_unique.png - biscuit: bounding box', 'http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png - handlebar: visual', ""http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png - bike: ['bike']""]",4
3YHH42UU5BFAXPYMASC2GOPILNAL0A,0.9629629629629629,1.0,0.85,0.8947368421052632,3M67TQBQQHO8BGX2NV14C1ECSPC9A4,../1_pre-pilot/verification_pilot_amt.csv_22,0.8181818181818181,worker18,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png - bike: bounding box', 'http://object-naming-amore.upf.edu//2390965_1245423_supercat_unique.png - biscuit: bounding box', ""http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png - bike: ['bike']""]",3
3H7XDTSHKCRNJNL6S887ARTEQCBGWB,1.0294117647058822,1.2941176470588236,0.9375,0.9375,3NQUW096N68P7ZO6KMQULFUNM1B9LM,../1_pre-pilot/verification_pilot_amt.csv_30,0.9375,worker14,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2366670_2170602_singleton_obj.png - plane: visual'],1
3JZQSN0I3QAL81ZB2JY7637EV8DFG2,0.6764705882352942,1.2058823529411764,0.9375,0.9375,3NQUW096N68P7ZO6KMQULFUNM1B9LM,../1_pre-pilot/verification_pilot_amt.csv_30,0.9375,worker18,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2332753_968617_singleton_obj.png - kegs: visual'],1
3R3YRB5GRF39HSJYB81WWHXE71VAU2,0.38235294117647056,0.5294117647058824,1.0,1.0,3NQUW096N68P7ZO6KMQULFUNM1B9LM,../1_pre-pilot/verification_pilot_amt.csv_30,1.0,worker24,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3Y4W8Q93LZK7SEBA0823I4736ALVDW,0.6176470588235294,1.911764705882353,0.9285714285714286,0.9285714285714286,3NQUW096N68P7ZO6KMQULFUNM1B9LM,../1_pre-pilot/verification_pilot_amt.csv_30,0.9285714285714286,worker8,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2335128_2087938_supercat_ambiguous.png - human: ['human', 'person']""]",1
3D8YOU6S9EK8UQ7VLVKKGCVSBILU6C,0.48148148148148145,0.6666666666666666,1.0,1.0,3P458N04Q1H979KWDWE3MMHWN3AX21,../1_pre-pilot/verification_pilot_amt.csv_21,0.9285714285714286,worker24,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3E337GFOL98XWTCS07HKE8GNXZZNGH,0.8888888888888888,0.6666666666666666,1.0,1.0,3P458N04Q1H979KWDWE3MMHWN3AX21,../1_pre-pilot/verification_pilot_amt.csv_21,0.9545454545454546,worker18,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3FE2ERCCZX8LRR53457KN6UKO0QOP0,0.6296296296296297,0.6666666666666666,1.0,1.0,3P458N04Q1H979KWDWE3MMHWN3AX21,../1_pre-pilot/verification_pilot_amt.csv_21,0.9333333333333333,worker7,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3GM6G9ZBKNXVJGDY861R0C6CI5FTMI,0.5925925925925926,0.7037037037037037,1.0,1.0,3P458N04Q1H979KWDWE3MMHWN3AX21,../1_pre-pilot/verification_pilot_amt.csv_21,0.9285714285714286,worker2,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3C8HJ7UOP7UR5SMXEYQ9M07T30FZMG,0.7037037037037037,0.37037037037037035,1.0,1.0,3P520RYKCH69P29OQA5E0ML4DVKU57,../1_pre-pilot/verification_pilot_amt.csv_28,1.0,worker6,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3I3WADAZ9Q4HYHNKKQY6P0P3X0QO5F,0.6666666666666666,0.6296296296296297,0.8095238095238095,0.85,3P520RYKCH69P29OQA5E0ML4DVKU57,../1_pre-pilot/verification_pilot_amt.csv_28,0.8260869565217391,worker18,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png - inlet: visual', 'http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png - capsule: visual', ""http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png - wheel: ['wheel']"", ""http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png - capsule: ['armchair', 'capsule', 'couch', 'sofa', 'chair']""]",4
3IGI0VL647KLO6TQOQUSJHPPON2NOK,0.6296296296296297,0.5925925925925926,0.9444444444444444,1.0,3P520RYKCH69P29OQA5E0ML4DVKU57,../1_pre-pilot/verification_pilot_amt.csv_28,0.9473684210526316,worker2,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","[""http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png - wheel: ['wheel']""]",1
3KWTYT087039SWKN7YIEXJL92XKL5Y,0.37037037037037035,0.3333333333333333,0.8333333333333334,0.8823529411764706,3P520RYKCH69P29OQA5E0ML4DVKU57,../1_pre-pilot/verification_pilot_amt.csv_28,0.8,worker25,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png - window: 0', 'http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png - inlet: visual', ""http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png - wheel: ['wheel']""]",3
378XPAWRUCD481OYHRCIDE93D5SIAK,0.7941176470588235,1.2352941176470589,0.9090909090909091,0.9473684210526315,3PA41K45VN4BK1FBXHLHO0C1WLO7P6,../1_pre-pilot/verification_pilot_amt.csv_32,0.9090909090909091,worker18,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png - coocked: bounding box', 'http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png - airpane: 0']",2
3JJVG1YBEBXXFNYBGLTKJGP4Q2H5B4,0.7058823529411765,2.3823529411764706,0.9047619047619048,1.0,3PA41K45VN4BK1FBXHLHO0C1WLO7P6,../1_pre-pilot/verification_pilot_amt.csv_32,0.9047619047619048,worker8,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","['http://object-naming-amore.upf.edu//2340044_2088324_singleton_obj.png - console: visual', ""http://object-naming-amore.upf.edu//2340044_2088324_singleton_obj.png - console: ['console']""]",2
3VA45EW49NNIAZM1J3WUMACMLKM1OB,0.7058823529411765,0.4117647058823529,0.7272727272727273,0.8421052631578947,3PA41K45VN4BK1FBXHLHO0C1WLO7P6,../1_pre-pilot/verification_pilot_amt.csv_32,0.7272727272727273,worker15,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2340044_2088324_singleton_obj.png - console: bounding box', 'http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png - airpane: 0', 'http://object-naming-amore.upf.edu//2340044_2088324_singleton_obj.png - cbinet: 0', 'http://object-naming-amore.upf.edu//2394267_1212874_singleton_obj.png - sanddwich: 0', ""http://object-naming-amore.upf.edu//2340044_2088324_singleton_obj.png - console: ['console']"", 'http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png - wheel ~ wheel_airplane,helicopter,plane']",6
3Y54SXRO1LLEWOI7H8SDRMN6VP0UTP,0.5294117647058824,0.6176470588235294,0.8235294117647058,1.0,3PA41K45VN4BK1FBXHLHO0C1WLO7P6,../1_pre-pilot/verification_pilot_amt.csv_32,0.8235294117647058,worker17,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","['http://object-naming-amore.upf.edu//2340044_2088324_singleton_obj.png - console: bounding box', 'http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png - airpane: 0', ""http://object-naming-amore.upf.edu//2340044_2088324_singleton_obj.png - console: ['console']""]",3
32AT8R96GL9DHO5SS8NNHHRKT6MUS0,0.9411764705882353,0.5,0.9130434782608695,0.9130434782608695,3SBNLSTU6U5LFEIRB3M5FQOBSUXZD9,../1_pre-pilot/verification_pilot_amt.csv_29,0.9130434782608696,worker18,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2343870_3370396_singleton_obj.png - window: visual', 'http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png - macaroni ~ macaroni_food']",2
3QEMNNSB2XZ5HOAEIAZNCQR0KTP7DT,0.7352941176470589,0.6176470588235294,1.0,1.0,3SBNLSTU6U5LFEIRB3M5FQOBSUXZD9,../1_pre-pilot/verification_pilot_amt.csv_29,1.0,worker2,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3S0TNUHWKTI9H2FXSFRTQQNVVDFD86,0.47058823529411764,0.8529411764705882,0.9285714285714286,0.9285714285714286,3SBNLSTU6U5LFEIRB3M5FQOBSUXZD9,../1_pre-pilot/verification_pilot_amt.csv_29,0.9285714285714286,worker11,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png - sofa: ['sofa', 'chair']""]",1
3VBEN272MKZUC64X83Y6D2QTKY6GSL,0.6764705882352942,2.0294117647058822,0.9444444444444444,0.9444444444444444,3SBNLSTU6U5LFEIRB3M5FQOBSUXZD9,../1_pre-pilot/verification_pilot_amt.csv_29,0.9444444444444444,worker3,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png - metal: visual'],1
3EA3QWIZ4IV9NXN7NR3Z8JZV1UDTIG,0.6923076923076923,1.0,0.9047619047619048,0.9047619047619048,3SBX2M1TKDNZ1QY7VW2ZLTI1AFK4QA,../1_pre-pilot/verification_pilot_amt.csv_18,0.92,worker20,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2359985_3421198_singleton_obj.png - motorbike: bounding box', ""http://object-naming-amore.upf.edu//2359985_3421198_singleton_obj.png - motorbike: ['motorbike', 'motorcycle']""]",2
3K5TEWLKGVBO0PRWSM3E91NGYFTIVL,0.6153846153846154,0.6153846153846154,0.8947368421052632,0.8947368421052632,3SBX2M1TKDNZ1QY7VW2ZLTI1AFK4QA,../1_pre-pilot/verification_pilot_amt.csv_18,0.9130434782608696,worker4,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2392444_668056_singleton_obj.png - lamp: bounding box', 'http://object-naming-amore.upf.edu//2376566_719746_supercat_ambiguous.png - hat: bounding box']",2
3MAOD8E57QA8IF7IPHHO2UGI0PUNX8,0.2692307692307692,0.46153846153846156,0.9473684210526315,0.9473684210526315,3SBX2M1TKDNZ1QY7VW2ZLTI1AFK4QA,../1_pre-pilot/verification_pilot_amt.csv_18,0.9565217391304348,worker24,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2359985_3421198_singleton_obj.png - helmet: 0'],1
3OCHAWUVGOK7A9MFS4P8A2ZE6VCXK2,0.6923076923076923,0.6923076923076923,0.8260869565217391,0.8260869565217391,3SBX2M1TKDNZ1QY7VW2ZLTI1AFK4QA,../1_pre-pilot/verification_pilot_amt.csv_18,0.8148148148148149,worker15,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2359985_3421198_singleton_obj.png - motorbike: bounding box', 'http://object-naming-amore.upf.edu//2373931_1674850_singleton_obj.png - motorccle: 0', 'http://object-naming-amore.upf.edu//2392444_668056_singleton_obj.png - lmap post: 0', ""http://object-naming-amore.upf.edu//2359985_3421198_singleton_obj.png - motorbike: ['motorbike', 'motorcycle']""]",4
320DUZ38G7M1D3L7L9PSL1Z6OFUJG9,0.5555555555555556,1.7777777777777777,0.9090909090909091,0.9090909090909091,3TCFMTM8HEO1H8Z363TWRDDVIPW21H,../1_pre-pilot/verification_pilot_amt.csv_24,0.8571428571428572,worker8,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2373164_734050_supercat_unique.png - wall: visual'],1
39ZSFO5CA8WKILM25EE9PG0XXPKJUO,0.7037037037037037,0.1111111111111111,0.9285714285714286,0.9285714285714286,3TCFMTM8HEO1H8Z363TWRDDVIPW21H,../1_pre-pilot/verification_pilot_amt.csv_24,0.9444444444444444,worker23,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2393419_1220121_supercat_unique.png - stairs ~ stairs_porch,house,building']",1
3K3R2QNK8B3VC99TJ2NW0MMU1JFU99,0.7407407407407407,0.4074074074074074,0.9333333333333333,0.9333333333333333,3TCFMTM8HEO1H8Z363TWRDDVIPW21H,../1_pre-pilot/verification_pilot_amt.csv_24,0.9473684210526316,worker22,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2393419_1220121_supercat_unique.png - tricks: linguistic'],1
3NJM2BJS4W6KI280E0YTS603ZOOCPC,0.7037037037037037,0.8518518518518519,1.0,1.0,3TCFMTM8HEO1H8Z363TWRDDVIPW21H,../1_pre-pilot/verification_pilot_amt.csv_24,1.0,worker2,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
32EYX73OY091G95FDJNIR7MO76JURW,0.7407407407407407,0.4074074074074074,1.0,1.0,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,0.9444444444444444,worker2,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3B1NLC6UGZWXZEO5GMUCIXLIXEZGP5,0.6296296296296297,0.5925925925925926,1.0,1.0,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,1.0,worker0,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3KGTPGBS6XLKCPOUYT8HQZEGVD22UM,0.7037037037037037,1.3333333333333333,0.9333333333333333,0.9333333333333333,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,0.8333333333333334,worker8,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png - plier: bounding box'],1
3U84XHCDICDB12XR8UQD06QTH9K4ZG,0.7777777777777778,0.1111111111111111,0.9473684210526315,0.9473684210526315,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,0.9545454545454546,worker15,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2417054_3245468_seed_ambiguous.png - cabiet: 0'],1
37TD41K0AH9HVUOS6H2NNB5EM8SCSP,1.0740740740740742,0.5925925925925926,0.9230769230769231,1.0,3X878VYTIEIZTOQHJEPCC6YXUF17F3,../1_pre-pilot/verification_pilot_amt.csv_23,0.8571428571428572,worker23,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",['http://object-naming-amore.upf.edu//2364742_3888077_supercat_unique.png - fabric: visual'],1
3B1NLC6UGZWXZEO5GMUCIXLIXJHGPX,0.4444444444444444,1.037037037037037,0.75,0.8181818181818182,3X878VYTIEIZTOQHJEPCC6YXUF17F3,../1_pre-pilot/verification_pilot_amt.csv_23,0.7692307692307692,worker19,approve,block,False,False,"good enough assignment, blocked because low average quality","['http://object-naming-amore.upf.edu//2364742_3888077_supercat_unique.png - fabric: 0', 'http://object-naming-amore.upf.edu//2334401_3271144_supercat_unique.png - snowborader: 0', 'http://object-naming-amore.upf.edu//2363842_2563217_singleton_obj.png - winodw: 0']",3
3HL8HNGX4516TRC3ODSXEMLRRWS9FH,1.0740740740740742,0.5185185185185185,0.9375,0.9333333333333333,3X878VYTIEIZTOQHJEPCC6YXUF17F3,../1_pre-pilot/verification_pilot_amt.csv_23,0.9411764705882353,worker16,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2319937_3324134_supercat_unique.png - dummy: ['donut', 'dummy']""]",1
3WT783CTPBHIE87QVVGSXMVEIK6BCN,0.2222222222222222,0.4444444444444444,0.9166666666666666,1.0,3X878VYTIEIZTOQHJEPCC6YXUF17F3,../1_pre-pilot/verification_pilot_amt.csv_23,0.9230769230769231,worker1,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",['http://object-naming-amore.upf.edu//2364742_3888077_supercat_unique.png - fabric: 0'],1
