,index,image,object,name,correct1,correct2,correct3,image_url,control_type,rating,type,same_color,reliable1,reliable2,control_type_trimmed
30,30,2318524,1009820,road,,,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[0, 1, 0, 0]","[nan, 'visual', nan, nan]","[['ground', 'tarmac', 'runway', 'road'], ['ground', 'tarmac', 'runway', 'road'], ['road'], ['ground', 'tarmac', 'airport', 'runway', 'road']]",False,False,
31,31,2318524,1009820,runway,,,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[0, 1, 0, 0]","[nan, 'visual', nan, nan]","[['ground', 'tarmac', 'runway', 'road'], ['ground', 'tarmac', 'runway', 'road'], ['tarmac', 'runway'], ['ground', 'tarmac', 'airport', 'runway', 'road']]",False,False,
32,32,2318524,1009820,tarmac,,,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[0, 1, 0, 0]","[nan, 'bounding box', nan, nan]","[['ground', 'tarmac', 'runway', 'road'], ['ground', 'tarmac', 'runway', 'road'], ['tarmac', 'runway'], ['ground', 'tarmac', 'airport', 'runway', 'road']]",False,False,
33,33,2319937,3324134,cake,,,1.0,http://object-naming-amore.upf.edu//2319937_3324134_supercat_unique.png,,"[0, 2, 1, 2]","[nan, 'bounding box', 'bounding box', 'visual']","[['cake', 'donut'], ['cake'], ['cake', 'donut'], ['cake']]",False,False,
34,34,2319937,3324134,donut,1.0,,,http://object-naming-amore.upf.edu//2319937_3324134_supercat_unique.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['cake', 'donut'], ['donut', 'dummy'], ['cake', 'donut'], ['donut']]",True,False,vg_majority
35,35,2319937,3324134,dummy,1.0,0.75,,http://object-naming-amore.upf.edu//2319937_3324134_supercat_unique.png,random,"[2, 2, 2, 2]","['other', 'other', 'other', 'other']","[['dummy'], ['donut', 'dummy'], ['dummy'], ['dummy']]",True,True,random
36,36,2320396,2886637,food,,,,http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png,,"[0, 1, 1, 1]","[nan, 'bounding box', 'bounding box', 'visual']","[['food', 'pickle'], ['food'], ['food', 'pickle'], ['half', 'food', 'pickle']]",False,False,
37,37,2320396,2886637,half,0.75,0.75,,http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png,alternative,"[2, 2, 2, 2]","['bounding box', 'visual', 'other', 'other']","[['half'], ['half'], ['half'], ['half', 'food', 'pickle']]",True,True,alternative
38,38,2320396,2886637,pickle,1.0,,,http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['food', 'pickle'], ['pickle'], ['food', 'pickle'], ['half', 'food', 'pickle']]",True,False,vg_majority
39,39,2320396,2886637,plate,,,1.0,http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png,,"[1, 1, 2, 2]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['plate'], ['plate'], ['plate'], ['plate']]",False,False,
40,40,2321774,2970221,cehese,1.0,1.0,,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,typo-cheese,"[1, 1, 1, 1]","['linguistic', 'linguistic', 'linguistic', 'linguistic']","[['cheese', 'cehese'], ['cheese', 'cehese'], ['cheese', 'food', 'cehese'], ['cheese', 'cehese']]",True,True,typo
41,41,2321774,2970221,cheese,1.0,,,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['cheese', 'cehese'], ['cheese', 'cehese'], ['cheese', 'food', 'cehese'], ['cheese', 'cehese']]",True,False,vg_majority
42,42,2321774,2970221,food,,,,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,,"[1, 0, 0, 0]","['bounding box', nan, nan, nan]","[['pizza', 'pie', 'food'], ['food'], ['cheese', 'food', 'cehese'], ['macaroni', 'food']]",False,False,
43,43,2321774,2970221,macaroni,,,0.0,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,,"[1, 0, 0, 2]","['bounding box', nan, nan, 'bounding box']","[['macaroni'], ['macaroni'], ['macaroni'], ['macaroni', 'food']]",False,False,
44,44,2321774,2970221,pie,,,1.0,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,,"[1, 1, 1, 2]","['bounding box', 'visual', 'visual', 'bounding box']","[['pizza', 'pie', 'food'], ['pie'], ['pizza', 'pie'], ['pizza', 'pie']]",False,False,
45,45,2321774,2970221,pizza,,,1.0,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,,"[1, 1, 1, 2]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['pizza', 'pie', 'food'], ['pizza'], ['pizza', 'pie'], ['pizza', 'pie']]",False,False,
46,46,2322040,3572674,building,,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[1, 0, 0, 0]","['bounding box', nan, nan, nan]","[['building'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant']]",False,False,
47,47,2322040,3572674,cycle,,,1.0,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[1, 2, 2, 1]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['cycle'], ['wheel', 'cycle'], ['cycle'], ['cycle']]",False,False,
48,48,2322040,3572674,restaurant,,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant']]",False,False,
49,49,2322040,3572674,store,,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[1, 0, 0, 0]","['visual', nan, nan, nan]","[['store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant']]",False,False,
50,50,2322040,3572674,store front,,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[0, 1, 0, 0]","[nan, 'linguistic', nan, nan]","[['store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant']]",False,False,
51,51,2322040,3572674,storefront,,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant']]",False,False,
52,52,2322040,3572674,wheel,1.0,0.25,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,syn-cycle,"[1, 2, 2, 1]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['wheel'], ['wheel', 'cycle'], ['wheel'], ['wheel']]",True,False,syn
53,53,2322040,3572674,window,0.75,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,alternative,"[1, 2, 2, 0]","['bounding box', 'bounding box', 'bounding box', nan]","[['window'], ['window'], ['window'], ['window']]",True,False,alternative
54,54,2323738,2709711,axis,0.0,0.75,,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,random,"[2, 2, 2, 1]","['visual', 'visual', 'visual', 'bounding box']","[['axis'], ['axis'], ['wheel', 'axis'], ['axis']]",False,True,random
55,55,2323738,2709711,bike,,,,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike'], ['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike']]",False,False,
56,56,2323738,2709711,motorbike,1.0,1.0,,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,syn-motorcycle,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike'], ['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike']]",True,True,syn
57,57,2323738,2709711,motorcycle,,,,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike'], ['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike']]",False,False,
58,58,2323738,2709711,vehicles,,,1.0,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,,"[0, 0, 2, 0]","[nan, nan, 'bounding box', nan]","[['vehicles'], ['bike', 'motorcycle', 'vehicles', 'motorbike'], ['vehicles'], ['bike', 'motorcycle', 'vehicles', 'motorbike']]",False,False,
59,59,2323738,2709711,wheel,,,1.0,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,,"[1, 1, 2, 1]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['wheel'], ['wheel'], ['wheel', 'axis'], ['wheel']]",False,False,
60,60,2331689,2749423,baseball,,,1.0,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,,"[1, 2, 2, 0]","['bounding box', 'bounding box', 'bounding box', nan]","[['baseball'], ['baseball'], ['baseball'], ['baseball']]",False,False,
61,61,2331689,2749423,batter,,,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player']]",False,False,
62,62,2331689,2749423,boy,1.0,,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['boy', 'kid', 'child']]",True,False,vg_majority
63,63,2331689,2749423,child,,,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['boy', 'kid', 'child']]",False,False,
64,64,2331689,2749423,inlet,0.5,1.0,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,random,"[2, 2, 2, 2]","['other', 'other', 'visual', 'visual']","[['inlet'], ['inlet'], ['inlet'], ['inlet']]",True,True,random
65,65,2331689,2749423,kid,1.0,1.0,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,syn-child,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['boy', 'kid', 'child']]",True,True,syn
66,66,2331689,2749423,player,,,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player']]",False,False,
67,67,2331870,971185,cheese,,,1.0,http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png,,"[2, 2, 0, 2]","['visual', 'visual', nan, 'bounding box']","[['cheese'], ['cheese'], ['cheese', 'pizza', 'slice'], ['cheese']]",False,False,
68,68,2331870,971185,pizza,,,,http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['pizza', 'slice'], ['pizza', 'slice'], ['cheese', 'pizza', 'slice'], ['pizza', 'slice']]",False,False,
69,69,2331870,971185,slice,,,,http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['pizza', 'slice'], ['pizza', 'slice'], ['cheese', 'pizza', 'slice'], ['pizza', 'slice']]",False,False,
70,70,2331870,971185,wall,0.25,,,http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png,alternative,"[2, 2, 2, 2]","['visual', 'visual', 'linguistic', 'bounding box']","[['wall'], ['wall'], ['wall'], ['wall']]",False,False,alternative
71,71,2332361,3504470,dress shirt,,,,http://object-naming-amore.upf.edu//2332361_3504470_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['shirt', 'dress shirt'], ['shirt', 'dress shirt'], ['shirt', 'dress shirt'], ['shirt', 'dress shirt']]",False,False,
72,72,2332361,3504470,head,1.0,1.0,,http://object-naming-amore.upf.edu//2332361_3504470_singleton_obj.png,alternative,"[1, 1, 2, 2]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['head'], ['head'], ['head'], ['head']]",True,True,alternative
73,73,2332361,3504470,scarf,,,1.0,http://object-naming-amore.upf.edu//2332361_3504470_singleton_obj.png,,"[1, 1, 2, 1]","['bounding box', 'bounding box', 'bounding box', 'visual']","[['scarf', 'tie'], ['scarf', 'tie'], ['scarf', 'tie'], ['scarf', 'tie']]",False,False,
74,74,2332361,3504470,shirt,1.0,,,http://object-naming-amore.upf.edu//2332361_3504470_singleton_obj.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['shirt', 'dress shirt'], ['shirt', 'dress shirt'], ['shirt', 'dress shirt'], ['shirt', 'dress shirt']]",True,False,vg_majority
75,75,2332361,3504470,tie,,,1.0,http://object-naming-amore.upf.edu//2332361_3504470_singleton_obj.png,,"[1, 1, 2, 1]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['scarf', 'tie'], ['scarf', 'tie'], ['scarf', 'tie'], ['scarf', 'tie']]",False,False,
76,76,2332753,968617,building,,,,http://object-naming-amore.upf.edu//2332753_968617_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['building'], ['tower', 'building', 'cathedral', 'clock tower', 'church'], ['tower', 'building', 'cathedral', 'clock tower', 'church'], ['tower', 'building', 'cathedral', 'clock tower', 'church']]",False,False,
77,77,2332753,968617,cathedral,,,,http://object-naming-amore.upf.edu//2332753_968617_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['cathedral'], ['tower', 'building', 'cathedral', 'clock tower', 'church'], ['tower', 'building', 'cathedral', 'clock tower', 'church'], ['tower', 'building', 'cathedral', 'clock tower', 'church']]",False,False,
78,78,2332753,968617,church,,,,http://object-naming-amore.upf.edu//2332753_968617_singleton_obj.png,,"[1, 2, 0, 0]","['visual', 'visual', nan, nan]","[['church'], ['tower', 'building', 'cathedral', 'clock tower', 'church'], ['tower', 'building', 'cathedral', 'clock tower', 'church'], ['tower', 'building', 'cathedral', 'clock tower', 'church']]",False,False,
79,79,2332753,968617,clock tower,,,,http://object-naming-amore.upf.edu//2332753_968617_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['tower', 'clock tower'], ['tower', 'building', 'cathedral', 'clock tower', 'church'], ['tower', 'building', 'cathedral', 'clock tower', 'church'], ['tower', 'building', 'cathedral', 'clock tower', 'church']]",False,False,
80,80,2332753,968617,kegs,0.75,1.0,,http://object-naming-amore.upf.edu//2332753_968617_singleton_obj.png,random,"[2, 2, 2, 1]","['other', 'other', 'visual', 'other']","[['kegs'], ['kegs'], ['kegs'], ['kegs']]",True,True,random
81,81,2332753,968617,tower,,,,http://object-naming-amore.upf.edu//2332753_968617_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['tower', 'clock tower'], ['tower', 'building', 'cathedral', 'clock tower', 'church'], ['tower', 'building', 'cathedral', 'clock tower', 'church'], ['tower', 'building', 'cathedral', 'clock tower', 'church']]",False,False,
82,82,2334401,3271144,man,,,,http://object-naming-amore.upf.edu//2334401_3271144_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['skier', 'man', 'snowborader', 'snowboarder'], ['skier', 'man', 'snowborader', 'snowboarder'], ['man'], ['skier', 'man', 'snowborader', 'snowboarder']]",False,False,
83,83,2334401,3271144,shirt,,,1.0,http://object-naming-amore.upf.edu//2334401_3271144_supercat_unique.png,,"[0, 2, 1, 2]","[nan, 'bounding box', 'visual', 'visual']","[['snowsuit', 'shirt'], ['snowsuit', 'shirt'], ['snowsuit', 'shirt'], ['snowsuit', 'shirt']]",False,False,
84,84,2334401,3271144,shoe,,,1.0,http://object-naming-amore.upf.edu//2334401_3271144_supercat_unique.png,,"[0, 2, 0, 2]","[nan, 'bounding box', nan, 'bounding box']","[['shoe'], ['shoe'], ['shoe'], ['shoe']]",False,False,
85,85,2334401,3271144,skier,,,,http://object-naming-amore.upf.edu//2334401_3271144_supercat_unique.png,,"[0, 0, 1, 1]","[nan, nan, 'visual', 'visual']","[['skier', 'man', 'snowborader', 'snowboarder'], ['skier', 'man', 'snowborader', 'snowboarder'], ['skier', 'snowborader', 'snowboarder'], ['skier', 'man', 'snowborader', 'snowboarder']]",False,False,
86,86,2334401,3271144,snowboarder,,,,http://object-naming-amore.upf.edu//2334401_3271144_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['skier', 'man', 'snowborader', 'snowboarder'], ['skier', 'man', 'snowborader', 'snowboarder'], ['skier', 'snowborader', 'snowboarder'], ['skier', 'man', 'snowborader', 'snowboarder']]",False,False,
