,word1,word2,relation,freq.
1807,guy,player,crossclassified,218
514,bowl,plate,co-hyponymy,218
578,castle,building,hypernymy.2,218
1512,chair,cat,crossclassified,217
839,truck,bus,crossclassified,217
314,boy,cap,crossclassified,216
448,counter,kitchen counter,not-covered,216
883,girl,man,crossclassified,215
8005,bookcase,shelf,crossclassified,214
286,girl,dress,crossclassified,213
1364,bread,pizza,crossclassified,211
70,man,guy,hypernymy.1,211
2568,garage,building,hypernymy.2,211
1413,coat,tie,crossclassified,210
1650,rice,food,hypernymy.2,209
8453,apartment,building,crossclassified,209
2930,bed,bed cover,crossclassified,206
3514,table,keyboard,crossclassified,206
2360,girl,skateboarder,crossclassified,206
10214,armchair,chair,hypernymy.2,205
15,sandwich,hotdog,hypernymy.1,205
962,child,skier,crossclassified,205
3,batter,person,hypernymy.2,203
774,man,cap,crossclassified,201
391,man,human,synonymy,201
1276,boy,soccer player,crossclassified,199
1435,donut,food,hypernymy.2,199
1105,man,tie,crossclassified,198
297,bird,seagull,hypernymy.1,198
994,boat,canoe,hypernymy.1,198
281,table,pizza,crossclassified,197
260,cat,kitten,crossclassified,197
2062,bread,cake,co-hyponymy,196
1410,lady,shirt,crossclassified,196
3328,boy,tennis player,crossclassified,196
764,lady,tennis player,crossclassified,195
799,kid,man,crossclassified,195
1055,pitcher,man,crossclassified,195
952,boy,human,crossclassified,192
3177,bowl,soup,crossclassified,191
2714,car,train car,not-covered,191
9,jacket,man,crossclassified,190
470,airplane,aircraft,hypernymy.2,190
322,train,locomotive,crossclassified,189
1896,carpet,chair,crossclassified,189
3670,skater,man,crossclassified,188
2128,couch,bed,hypernymy.2,188
5241,drape,curtain,synonymy,187
621,counter,food,crossclassified,186
237,jacket,clothing,hypernymy.2,186
772,man,athlete,crossclassified,184
1569,desk,computer,crossclassified,183
707,dresser,cabinet,hypernymy.2,183
501,boy,batter,crossclassified,182
520,toddler,child,hypernymy.2,182
1363,bread,burger,crossclassified,182
4556,man,snowboarder,crossclassified,182
1078,hat,cap,co-hyponymy,181
400,man,jacket,crossclassified,180
2044,shirt,suit,co-hyponymy,180
1727,woman,athlete,crossclassified,179
857,bridge,overpass,hypernymy.1,177
285,girl,lady,co-hyponymy,176
97,motorcycle,vehicle,hypernymy.2,176
2153,tie,necktie,synonymy,176
1565,jacket,t-shirt,crossclassified,175
6180,aeroplane,plane,not-covered,175
3346,chair,table,crossclassified,174
468,woman,jacket,crossclassified,174
23,van,vehicle,hypernymy.2,173
37,kid,person,hypernymy.2,172
866,child,toddler,hypernymy.1,172
1449,girl,skater,crossclassified,172
2499,airliner,airplane,hypernymy.2,171
242,table,vase,crossclassified,170
2887,kid,girl,hypernymy.1,170
7033,furniture,couch,hypernymy.1,169
1631,pie,cake,crossclassified,168
871,guy,shoe,crossclassified,168
327,bench,furniture,hypernymy.2,168
1152,shirt,woman,crossclassified,168
1006,coat,man,crossclassified,166
658,woman,human,crossclassified,166
1843,dough,pizza,crossclassified,166
1983,dude,man,hypernymy.2,165
1132,truck,food truck,not-covered,165
572,dresser,table,hypernymy.2,165
1175,sandwich,bread,crossclassified,165
2070,taxi,car,hypernymy.2,164
2385,boy,skier,crossclassified,164
2394,curtain,screen,hypernymy.2,162
3230,soup,food,hypernymy.2,162
2406,car,bus,hypernymy.1,162
4643,pastry,cake,co-hyponymy,161
194,plane,aircraft,hypernymy.2,161
1828,desk,mouse,crossclassified,161
2532,train,bus,co-hyponymy,160
278,zebra,animal,hypernymy.2,159
3428,bowl,cup,co-hyponymy,159
369,girl,human,crossclassified,159
923,man,baseball player,crossclassified,157
360,bench,shoe,crossclassified,157
594,table,glass,crossclassified,156
639,couch,pillow,crossclassified,155
315,boy,girl,crossclassified,153
1838,woman,snowboarder,crossclassified,153
2916,counter,plate,crossclassified,152
3751,carpeting,floor,crossclassified,151
38,kid,skateboarder,crossclassified,150
32,desk,electronics,crossclassified,150
230,dog,cat,crossclassified,150
8672,windbreaker,jacket,hypernymy.2,150
407,chair,seat,hypernymy.2,149
189,aircraft,jet,hypernymy.1,148
602,rug,table,crossclassified,148
311,boy,athlete,crossclassified,148
2131,couch,dog,crossclassified,147
793,bed,table,crossclassified,147
1048,shirt,blouse,crossclassified,147
1796,cabinet,cabinets,synonymy,145
1069,car,suv,hypernymy.1,145
2834,cabinet,vanity,crossclassified,145
2334,jacket,blazer,hypernymy.1,144
2361,girl,boy,crossclassified,144
1110,shirt,sweatshirt,crossclassified,143
1477,boy,jacket,crossclassified,143
1687,horse,shoe,crossclassified,142
363,bench,seat,hypernymy.2,142
467,woman,cap,crossclassified,142
2617,chair,dog,crossclassified,142
829,bird,duck,hypernymy.1,142
2576,cabinet,shelf,crossclassified,142
349,zebra,giraffe,crossclassified,141
409,chair,shirt,crossclassified,140
8,jacket,sweatshirt,crossclassified,140
5850,curtain,bed,crossclassified,140
1811,shirt,vest,co-hyponymy,140
2512,lady,dress,crossclassified,139
26,car,automobile,synonymy,139
663,vegetable,food,hypernymy.2,139
413,girl,athlete,crossclassified,138
423,basin,sink,hypernymy.2,137
1570,tent,canopy,crossclassified,137
2529,bridge,road,crossclassified,136
445,counter,bar,hypernymy.1,136
1891,boy,woman,crossclassified,136
1028,man,dress,crossclassified,135
704,boy,toddler,crossclassified,135
2961,bench,wood,crossclassified,134
3097,scooter,bike,co-hyponymy,133
765,lady,player,crossclassified,132
1372,jeep,truck,crossclassified,132
152,child,t-shirt,crossclassified,132
2992,bed,cat,crossclassified,131
1730,boy,baby,crossclassified,131
677,skateboarder,shoe,crossclassified,131
317,boy,dress,crossclassified,131
1447,girl,skier,crossclassified,131
2578,motorcycle,scooter,crossclassified,130
485,skier,woman,crossclassified,130
145,house,home,synonymy,129
544,pizza,pizza slice,not-covered,129
3181,dress,jacket,crossclassified,129
1873,lady,skier,crossclassified,129
1724,carpet,cat,crossclassified,128
9745,recliner,chair,hypernymy.2,128
600,rug,mat,co-hyponymy,128
16060,sectional,couch,crossclassified,127
5237,desk,cat,crossclassified,127
2000,desk,counter,co-hyponymy,127
4310,sauce,cheese,crossclassified,126
321,train,train car,not-covered,126
10288,cot,bed,hypernymy.2,126
675,skateboarder,boy,crossclassified,125
512,train,subway,crossclassified,125
2333,jacket,suit jacket,not-covered,124
837,truck,firetruck,not-covered,124
1056,pitcher,baseball player,hypernymy.2,124
11603,cabinet,mirror,crossclassified,124
1393,bottle,wine,crossclassified,124
592,dress,clothing,hypernymy.2,123
1700,goat,animal,hypernymy.2,123
1226,batter,athlete,hypernymy.2,123
816,guy,surfer,crossclassified,122
1295,bed,laptop,crossclassified,121
2292,cup,coffee,crossclassified,121
60,cheese,toppings,crossclassified,120
421,boy,skateboard,crossclassified,120
2491,ox,cow,co-hyponymy,119
1648,jacket,vest,crossclassified,119
4212,bed,couch,hypernymy.1,119
2500,airliner,plane,hypernymy.2,119
4634,couch,table,crossclassified,119
552,boy,teenager,crossclassified,118
1718,giraffe,zebra,crossclassified,118
204,woman,female,hypernymy.2,118
849,bowl,salad,crossclassified,118
5196,counter,pizza,crossclassified,117
325,bench,cat,crossclassified,117
547,pizza,cheese,crossclassified,116
3666,skater,person,hypernymy.2,116
7245,vegetable,broccoli,hypernymy.1,116
2740,truck,trailer,crossclassified,116
7215,stool,chair,co-hyponymy,116
31,desk,computer desk,not-covered,115
71,man,male,hypernymy.2,115
12205,bike,motorcycle,synonymy,114
500,bench,t-shirt,crossclassified,114
2368,robe,shirt,co-hyponymy,114
1750,rug,chair,crossclassified,114
1137,girl,jacket,crossclassified,114
2593,jacket,dress,crossclassified,114
934,counter,kitchen,crossclassified,114
282,table,tabletop,crossclassified,113
4264,shirt,tank top,hypernymy.1,113
2687,house,tree,crossclassified,112
10,jacket,hoodie,not-covered,112
1667,train,train engine,not-covered,112
4163,girl,soccer player,crossclassified,112
1377,jeep,car,hypernymy.2,111
8054,minivan,car,hypernymy.2,111
11362,canoe,boat,hypernymy.2,111
2872,dish,food,hypernymy.2,111
1737,truck,train,crossclassified,111
4625,tent,umbrella,crossclassified,111
5149,seagull,bird,hypernymy.2,111
1027,table,cup,crossclassified,110
2990,blazer,tie,crossclassified,110
2269,shirt,dress shirt,hypernymy.1,110
1224,toast,bread,hypernymy.2,110
412,girl,female,hypernymy.2,109
1156,couch,t-shirt,crossclassified,107
3353,catcher,baseball player,hypernymy.2,107
1381,broth,soup,hypernymy.2,107
2354,shirt,coat,crossclassified,106
371,sandwich,plate,crossclassified,106
10138,moped,bike,hypernymy.2,106
1575,bowl,vase,crossclassified,106
265,motorbike,wheel,crossclassified,106
1632,pie,food,hypernymy.2,105
932,counter,stove,crossclassified,105
36,kid,skater,crossclassified,105
515,bowl,dish,hypernymy.2,105
381,dress,woman,crossclassified,105
335,bridge,dock,crossclassified,105
2384,boy,snowboarder,crossclassified,105
2145,woman,phone,crossclassified,104
1277,boy,ball,crossclassified,104
2819,bread,plate,crossclassified,103
4092,guy,tennis player,crossclassified,103
4040,horse,zebra,co-hyponymy,103
1219,toast,food,hypernymy.2,103
326,bench,dog,crossclassified,102
1584,boat,raft,crossclassified,102
224,couch,furniture,hypernymy.2,102
1970,train,trolley,crossclassified,101
2606,horse,statue,crossclassified,101
197,bull,animal,hypernymy.2,101
49,coat,clothing,hypernymy.2,101
1606,woman,glass,crossclassified,100
931,counter,island,crossclassified,100
3296,apple,fruit,hypernymy.2,99
2757,skier,snowboarder,crossclassified,99
541,pan,food,crossclassified,99
5111,restaurant,store,crossclassified,98
3538,jacket,woman,crossclassified,98
2246,blazer,coat,hypernymy.2,98
417,table,dining table,hypernymy.1,98
2943,man,pant,crossclassified,98
2787,dog,belt,crossclassified,98
462,counter,bathroom counter,not-covered,98
457,counter,bathroom sink,not-covered,97
4209,bench,shirt,crossclassified,97
2302,dog,bear,crossclassified,96
1218,toast,sandwich,crossclassified,96
1686,horse,pony,hypernymy.1,96
3352,catcher,player,hypernymy.2,96
8643,van,wheel,crossclassified,96
1629,plane,wing,crossclassified,96
1141,airplane,wheel,crossclassified,96
4239,hamburger,sandwich,hypernymy.2,96
8053,minivan,van,hypernymy.2,96
22,van,bus,crossclassified,96
6420,curtain,cat,crossclassified,95
7,batter,bat,crossclassified,95
1552,chair,armchair,hypernymy.1,95
2530,bridge,street,crossclassified,95
863,horse,rope,crossclassified,95
52,cat,dog,crossclassified,95
6636,bulldog,dog,hypernymy.2,94
1288,vegetable,sandwich,crossclassified,94
652,giraffe,camel,crossclassified,94
153,child,shirt,crossclassified,94
165,bathrobe,robe,hypernymy.2,94
21226,coat,bear,crossclassified,93
2114,boy,tie,crossclassified,93
3561,jar,blender,crossclassified,93
3524,desk,book,crossclassified,93
965,train,engine,crossclassified,93
1534,couch,loveseat,hypernymy.1,93
8633,loveseat,couch,hypernymy.2,92
2404,fork,spoon,co-hyponymy,92
526,toddler,boy,crossclassified,92
7035,furniture,sofa,hypernymy.1,92
3846,dish,plate,co-hyponymy,92
4636,pastry,donut,crossclassified,92
10503,furniture,bed,hypernymy.1,91
1154,couch,shirt,crossclassified,91
637,bed,bedspread,crossclassified,91
624,woman,bag,crossclassified,91
18933,palace,building,hypernymy.2,91
9030,bedframe,bed,crossclassified,90
1595,plane,wheel,crossclassified,90
2366,robe,jacket,crossclassified,90
117,boy,guy,co-hyponymy,90
441,shirt,polo,crossclassified,90
1787,pan,pot,co-hyponymy,90
65,truck,pickup truck,hypernymy.1,89
6361,ambulance,truck,crossclassified,89
922,man,pitcher,crossclassified,89
521,toddler,girl,crossclassified,89
2791,curtain,curtains,synonymy,89
2076,boy,helmet,crossclassified,88
5003,carpet,sofa,crossclassified,88
8222,airplane,wing,crossclassified,87
957,lady,jacket,crossclassified,87
2050,cup,drink,hypernymy.2,87
2461,couch,cat,crossclassified,87
1453,motorcycle,motor bike,hypernymy.1,87
782,desk,chair,crossclassified,87
3727,cake,dessert,crossclassified,87
2105,truck,semi,hypernymy.1,87
2398,bed,bedding,crossclassified,86
1115,pastry,food,hypernymy.2,86
879,train,tram,crossclassified,86
1436,donut,cake,hypernymy.2,86
7843,sunflower,flower,hypernymy.2,86
2195,bench,pant,crossclassified,85
6270,beef,meat,hypernymy.2,85
1200,cabinet,furniture,hypernymy.2,85
1169,dress,wedding dress,hypernymy.1,85
287,girl,phone,crossclassified,84
4852,boy,pant,crossclassified,84
1058,pitcher,player,hypernymy.2,83
3489,couch,laptop,crossclassified,83
506,motorcycle,dirt bike,hypernymy.1,83
2012,boy,male,hypernymy.2,83
533,pan,tray,crossclassified,83
2248,bowl,toilet bowl,hypernymy.1,83
1466,rug,cat,crossclassified,83
432,sofa,bed,crossclassified,83
2157,cow,calf,crossclassified,82
827,vegetable,salad,crossclassified,82
2664,bed,sofa,crossclassified,82
403,hood,car,crossclassified,82
1972,salad,plate,crossclassified,81
4416,suv,vehicle,hypernymy.2,81
340,bridge,walkway,crossclassified,81
3517,boat,pole,crossclassified,81
947,cup,bowl,co-hyponymy,81
357,coat,sweater,crossclassified,81
5706,hummingbird,bird,hypernymy.2,80
4,batter,helmet,crossclassified,80
339,bridge,pier,co-hyponymy,80
1588,guy,human,crossclassified,79
618,counter,bottle,crossclassified,79
1529,car,taxi,hypernymy.1,79
3095,scooter,moped,crossclassified,79
3350,catcher,person,hypernymy.2,79
1007,bed,comforter,crossclassified,79
919,bed,dog,crossclassified,78
3271,house,garage,crossclassified,78
1227,batter,shoe,crossclassified,78
4240,hamburger,burger,synonymy,78
696,coat,t-shirt,crossclassified,78
2468,bed,bedsheets,not-covered,78
2054,bridge,pole,crossclassified,78
3993,counter,cabinets,co-hyponymy,77
10050,goose,bird,hypernymy.2,77
1874,lady,shoe,crossclassified,77
608,batter,cap,crossclassified,77
1519,pizza,slice,crossclassified,77
1480,counter,glass,crossclassified,77
654,woman,umbrella,crossclassified,76
1596,plane,wings,crossclassified,76
11539,pasta,food,hypernymy.2,76
2893,coat,woman,crossclassified,76
6732,counter,cup,crossclassified,76
5,batter,boy,crossclassified,76
2317,motorcycle,moped,hypernymy.1,76
12349,tomato,pizza,crossclassified,76
4109,sugar,cake,crossclassified,76
272,girl,ball,crossclassified,76
6252,couch,bench,co-hyponymy,76
4340,bed,cot,hypernymy.1,75
396,man,soccer player,crossclassified,75
356,salad,broccoli,crossclassified,75
670,dog,puppy,hypernymy.1,75
4947,hood,hat,co-hyponymy,75
2362,girl,snowboarder,crossclassified,75
2242,blazer,shirt,crossclassified,75
611,vase,pot,crossclassified,75
1026,table,bottle,crossclassified,75
1063,table,banana,crossclassified,75
1388,man,coat,crossclassified,74
3978,athlete,skier,hypernymy.1,74
5121,chair,child,crossclassified,74
1044,shirt,top,crossclassified,74
4013,shirt,uniform,crossclassified,74
217,guy,woman,crossclassified,73
8857,bookcase,book,crossclassified,73
5682,sauce,toppings,crossclassified,73
2426,lamp,light,co-hyponymy,73
3314,girl,cap,crossclassified,73
615,counter,counter top,crossclassified,72
6232,goat,ram,co-hyponymy,72
738,table,tablecloth,crossclassified,72
669,coat,suit jacket,not-covered,72
4450,motorcycle,mirror,crossclassified,72
300,bird,sparrow,hypernymy.1,72
2009,bridge,building,co-hyponymy,72
2761,person,woman,hypernymy.1,72
2294,carpet,mat,co-hyponymy,72
1719,girl,hair,crossclassified,72
509,child,dress,crossclassified,72
2359,cow,cattle,hypernymy.2,72
1426,motorbike,scooter,crossclassified,71
1329,train,wheel,crossclassified,71
7696,chair.,chair,not-covered,71
1107,plane,jetliner,hypernymy.1,71
1297,shirt,person,crossclassified,71
495,dress,t-shirt,crossclassified,71
4412,suv,truck,crossclassified,70
7692,guy,snowboarder,crossclassified,70
2267,child,woman,crossclassified,70
10212,armchair,couch,crossclassified,70
1851,beanie,hat,crossclassified,70
4786,carpet,shoe,crossclassified,70
551,boy,teen,crossclassified,70
4686,retriever,dog,hypernymy.2,70
750,bird,ostrich,hypernymy.1,70
821,chair,man,crossclassified,70
1701,goat,cow,crossclassified,69
1766,woman,bat,crossclassified,69
1103,coat,dress,crossclassified,69
1900,overpass,train,crossclassified,69
7749,vegetable,pizza,crossclassified,69
2221,owl,bird,hypernymy.2,69
6042,helicopter,airplane,co-hyponymy,69
10844,pelican,bird,hypernymy.2,69
2984,dugout,bat,crossclassified,69
3274,house,door,crossclassified,69
6658,pot,planter,hypernymy.1,69
1714,cupcake,cake,hypernymy.2,68
1010,truck,semi truck,not-covered,68
7808,flower,rose,crossclassified,68
2503,train,truck,crossclassified,68
1350,shirt,cake,crossclassified,68
1799,cabinet,door,crossclassified,68
10666,barber,man,crossclassified,68
1998,bird,flamingo,hypernymy.1,67
1638,bed,furniture,hypernymy.2,67
3758,blender,mixer,hypernymy.2,67
480,bread,toast,hypernymy.1,67
1112,car,jeep,hypernymy.1,67
139,jet,fighter jet,not-covered,67
977,dress,blouse,crossclassified,67
1322,sofa,pillow,crossclassified,67
3912,table,shelf,crossclassified,67
346,horse,donkey,crossclassified,67
2387,girl,toddler,crossclassified,67
834,bird,crane,hypernymy.1,67
1557,salad,bowl,crossclassified,66
6043,helicopter,plane,co-hyponymy,66
1131,shirt,glass,crossclassified,66
8395,eagle,bird,hypernymy.2,66
3395,airplane,wings,crossclassified,66
1844,dough,food,hypernymy.2,66
2716,carpet,dog,crossclassified,66
6563,housing,building,co-hyponymy,65
3116,table,bowl,crossclassified,65
2708,cake,donut,hypernymy.1,65
7336,bridge,sidewalk,crossclassified,65
7781,hoagie,sandwich,hypernymy.2,65
1003,table,fruit,crossclassified,65
2817,shirt,pizza,crossclassified,65
2558,sauce,plate,crossclassified,65
1826,desk,wood,crossclassified,65
723,table,countertop,crossclassified,64
6296,jug,vase,crossclassified,64
1668,donut,pastry,crossclassified,64
11926,poodle,dog,hypernymy.2,64
87,dugout,fence,crossclassified,64
16333,ferry,boat,hypernymy.2,64
2828,bench,wooden,crossclassified,64
9469,sofa,bench,co-hyponymy,64
3997,counter,cupboard,crossclassified,64
475,sheep,cow,crossclassified,64
15687,rowboat,boat,hypernymy.2,63
1445,train,railcar,crossclassified,63
538,pan,pizza,crossclassified,63
2885,kid,skier,crossclassified,63
6712,plane,flight,crossclassified,63
2017,batter,t-shirt,crossclassified,63
471,airplane,jetliner,hypernymy.1,63
1925,bun,plate,crossclassified,63
3701,shed,building,hypernymy.2,63
8541,skillet,pan,hypernymy.2,63
5813,cake,cupcake,hypernymy.1,62
98,bird,crow,hypernymy.1,62
16062,sectional,sofa,crossclassified,62
418,table,bench,hypernymy.1,62
3684,counter,shelf,crossclassified,62
1691,bowl,container,hypernymy.2,62
2927,counter,washbasin,crossclassified,62
4238,boy,pitcher,crossclassified,62
4247,girl,bat,crossclassified,62
332,shirt,boy,crossclassified,62
12181,tabby,cat,hypernymy.2,62
6141,automobile,bus,hypernymy.1,62
12456,chair,toy,crossclassified,62
7789,lady,surfer,crossclassified,61
74,salad,vegetables,crossclassified,61
6406,milk,cereal,co-hyponymy,61
8634,loveseat,sofa,hypernymy.2,61
5397,counter,cake,crossclassified,61
4700,pickup,car,crossclassified,61
4592,pancake,food,hypernymy.2,61
350,salad,lettuce,crossclassified,61
232,swan,bird,hypernymy.2,61
5707,flatbread,pizza,crossclassified,61
7023,desk.,desk,not-covered,61
9843,bed,chair,crossclassified,60
775,boy,skating,crossclassified,60
5619,carpet,desk,crossclassified,60
643,sheep,ram,hypernymy.1,60
4963,athlete,tennis player,hypernymy.1,60
16734,pesto,pizza,not-covered,60
