,word1,word2,relation,freq. (unord),"freq. (w1,w2)","freq. (w2,w1)"
499,cap,man,crossclassified,370,0,370
1369,cabinet,counter,co-hyponymy,367,105,262
1097,chair,sofa,co-hyponymy,367,335,32
649,baby,child,synonymy,366,74,292
864,cabinet,cupboard,crossclassified,362,362,0
377,bridge,train,crossclassified,359,326,33
294,human,man,synonymy,352,0,352
320,sink,vanity,crossclassified,350,343,7
1007,desk,desktop,crossclassified,340,340,0
755,bread,bun,hypernymy.1,336,218,118
1005,suit,tie,crossclassified,328,297,31
170,clothing,shirt,hypernymy.1,324,0,324
193,jacket,sweater,crossclassified,324,267,57
308,athlete,woman,crossclassified,310,3,307
109,aircraft,airplane,hypernymy.1,309,0,309
785,car,suv,hypernymy.1,307,298,9
105,boy,shirt,crossclassified,303,242,61
325,bed,couch,hypernymy.1,301,141,160
733,boat,sailboat,crossclassified,301,286,15
493,human,woman,crossclassified,298,0,298
353,animal,sheep,hypernymy.1,295,1,294
999,cup,mug,co-hyponymy,286,163,123
1640,man,snowboarder,crossclassified,286,90,196
812,man,tie,crossclassified,285,281,4
215,pizza,table,crossclassified,283,59,224
354,lamb,sheep,crossclassified,282,0,282
96,train,vehicle,crossclassified,278,278,0
471,bed,blanket,hypernymy.1,271,254,17
712,shoe,skateboarder,crossclassified,270,25,245
388,animal,horse,hypernymy.1,269,0,269
167,female,woman,hypernymy.1,261,0,261
328,jersey,shirt,hypernymy.2,251,59,192
102,boy,shoe,crossclassified,248,240,8
1856,laptop,table,crossclassified,247,20,227
188,bird,duck,hypernymy.1,247,149,98
682,man,pitcher,crossclassified,245,138,107
244,locomotive,train,crossclassified,243,0,243
444,carpet,table,crossclassified,243,198,45
791,cap,hat,co-hyponymy,243,0,243
741,boat,canoe,hypernymy.1,243,243,0
385,bowl,plate,co-hyponymy,243,205,38
506,person,skater,hypernymy.1,242,16,226
53,bed,mattress,crossclassified,241,241,0
151,animal,cat,hypernymy.1,241,2,239
31,child,person,hypernymy.2,239,220,19
694,dress,man,crossclassified,238,1,237
390,child,toddler,hypernymy.1,237,237,0
981,bowl,soup,crossclassified,237,191,46
2264,catcher,man,crossclassified,236,207,29
643,bridge,overpass,hypernymy.1,235,235,0
475,bun,hotdog,crossclassified,235,26,209
44,clothing,jacket,hypernymy.1,235,0,235
225,bird,seagull,hypernymy.1,231,231,0
60,male,man,hypernymy.1,228,0,228
608,necktie,tie,synonymy,228,0,228
1075,cat,chair,crossclassified,227,37,190
717,child,skier,crossclassified,226,156,70
1472,belt,horse,crossclassified,226,0,226
873,food,plate,hypernymy.1,222,173,49
84,motorcycle,vehicle,hypernymy.2,222,222,0
186,donut,food,hypernymy.2,220,212,8
51,pizza,toppings,crossclassified,219,219,0
47,cat,dog,crossclassified,214,105,109
1004,shirt,suit,co-hyponymy,213,125,88
318,animal,dog,hypernymy.1,212,6,206
1292,person,snowboarder,hypernymy.1,210,13,197
203,cat,kitten,crossclassified,208,200,8
415,blouse,shirt,crossclassified,207,0,207
518,jacket,t-shirt,crossclassified,206,206,0
342,counter,vanity,co-hyponymy,205,198,7
1108,computer,desk,crossclassified,204,0,204
474,couch,pillow,crossclassified,204,204,0
219,phone,woman,crossclassified,202,0,202
421,counter,desk,co-hyponymy,201,72,129
345,cap,woman,crossclassified,200,0,200
630,bus,truck,crossclassified,199,56,143
810,dress,jacket,crossclassified,198,72,126
268,giraffe,zebra,crossclassified,197,120,77
3164,bed,carpet,crossclassified,195,29,166
437,glass,table,crossclassified,193,2,191
195,table,vase,crossclassified,190,173,17
1086,bowl,fruit,crossclassified,189,170,19
653,man,pant,crossclassified,188,188,0
1544,train,truck,crossclassified,188,114,74
983,food,soup,hypernymy.1,188,41,147
5153,bookshelf,shelf,hypernymy.2,187,144,43
1283,desk,mouse,crossclassified,187,187,0
2227,chair,table,crossclassified,184,88,96
784,rug,table,crossclassified,184,153,31
1018,moped,motorcycle,hypernymy.2,182,10,172
1408,skier,snowboarder,crossclassified,181,42,139
1582,bowl,cup,co-hyponymy,179,150,29
1785,chair,dog,crossclassified,178,155,23
866,cabinet,table,co-hyponymy,174,105,69
1180,blazer,jacket,hypernymy.2,174,0,174
248,bench,furniture,hypernymy.2,174,174,0
1224,bus,train,co-hyponymy,173,31,142
127,girl,t-shirt,crossclassified,170,170,0
184,couch,furniture,hypernymy.2,166,158,8
233,burger,hotdog,co-hyponymy,165,0,165
757,bread,cake,co-hyponymy,165,64,101
1645,curtain,screen,hypernymy.2,163,163,0
213,animal,zebra,hypernymy.1,163,1,162
835,airplane,wheel,crossclassified,162,162,0
1006,coat,suit,crossclassified,161,34,127
1089,glass,woman,crossclassified,161,0,161
1088,car,taxi,hypernymy.1,161,119,42
1813,house,window,crossclassified,161,161,0
816,shirt,sweatshirt,crossclassified,160,140,20
2023,mat,rug,co-hyponymy,160,0,160
287,plate,sandwich,crossclassified,160,4,156
594,bed,table,crossclassified,158,124,34
820,bun,sandwich,crossclassified,158,28,130
504,dog,puppy,hypernymy.1,158,141,17
383,subway,train,crossclassified,157,0,157
57,curtain,window,crossclassified,156,111,45
21,van,vehicle,hypernymy.2,155,155,0
27,desk,electronics,crossclassified,155,155,0
540,countertop,table,crossclassified,155,0,155
838,couch,t-shirt,crossclassified,154,154,0
1168,food,rice,hypernymy.1,152,44,108
461,bag,woman,crossclassified,152,0,152
453,pot,vase,crossclassified,151,10,141
760,cup,table,crossclassified,151,13,138
23,automobile,car,synonymy,150,0,150
636,bowl,salad,crossclassified,150,97,53
374,batter,boy,crossclassified,150,15,135
1161,bed,cat,crossclassified,150,121,29
279,bench,shoe,crossclassified,149,149,0
5152,bookcase,bookshelf,crossclassified,148,0,148
177,floor,table,co-hyponymy,148,70,78
5122,cat,desk,crossclassified,147,2,145
515,airplane,wing,crossclassified,147,87,60
7,jacket,sweatshirt,crossclassified,146,131,15
1264,cabinet,cabinets,synonymy,146,127,19
1077,skateboarder,woman,crossclassified,145,48,97
611,person,surfer,hypernymy.1,145,0,145
1125,airplane,wings,crossclassified,144,144,0
940,couch,table,crossclassified,143,125,18
1164,shirt,vest,co-hyponymy,142,100,42
941,cat,couch,crossclassified,141,11,130
1319,coat,shirt,crossclassified,141,32,109
128,girl,shirt,crossclassified,141,113,28
1190,horse,shoe,crossclassified,141,141,0
1482,couch,dog,crossclassified,139,106,33
710,jeep,truck,crossclassified,139,25,114
236,boy,cap,crossclassified,139,139,0
726,cake,dessert,crossclassified,139,133,6
713,skateboard,skateboarder,crossclassified,139,9,130
720,engine,train,crossclassified,138,0,138
380,dress,girl,crossclassified,136,18,118
990,bottle,wine,crossclassified,135,134,1
216,table,tabletop,crossclassified,135,135,0
2245,snowboarder,woman,crossclassified,134,92,42
303,chair,seat,hypernymy.2,134,96,38
1214,carpet,cat,crossclassified,134,110,24
282,bench,seat,hypernymy.2,133,122,11
528,cabinet,dresser,hypernymy.1,132,72,60
2002,bench,wood,crossclassified,132,132,0
348,airplane,jetliner,hypernymy.1,131,131,0
724,cake,pie,crossclassified,130,96,34
1109,canopy,tent,crossclassified,129,9,120
1091,couch,loveseat,hypernymy.1,129,129,0
1365,train,trolley,crossclassified,128,117,11
414,car,mirror,crossclassified,128,102,26
6,bat,man,crossclassified,127,5,122
872,coat,man,crossclassified,127,16,111
677,food,meat,hypernymy.1,127,71,56
3332,building,restaurant,hypernymy.1,127,67,60
697,counter,kitchen,crossclassified,125,123,2
3396,chair,shirt,crossclassified,124,100,24
790,bat,woman,crossclassified,124,0,124
1096,armchair,chair,hypernymy.2,124,0,124
489,umbrella,woman,crossclassified,123,0,123
1764,cabinet,shelf,crossclassified,123,81,42
121,home,house,synonymy,123,0,123
924,bed,laptop,crossclassified,122,121,1
423,building,castle,hypernymy.1,122,101,21
241,child,shirt,crossclassified,121,84,37
2358,couch,laptop,crossclassified,121,117,4
1189,horse,pony,hypernymy.1,120,120,0
447,batter,player,hypernymy.2,119,76,43
513,jacket,skier,crossclassified,119,24,95
517,airplane,flight,crossclassified,119,119,0
3389,moped,scooter,crossclassified,119,10,109
386,bowl,dish,hypernymy.2,119,114,5
158,aircraft,plane,hypernymy.1,118,0,118
1421,cup,glass,co-hyponymy,117,61,56
696,counter,stove,crossclassified,115,97,18
459,counter,food,crossclassified,115,106,9
1235,chair,rug,crossclassified,113,14,99
2810,broccoli,food,hypernymy.2,113,68,45
925,person,shirt,crossclassified,113,25,88
2674,coffee,cup,crossclassified,113,9,104
4572,bed,floor,crossclassified,112,61,51
616,chair,man,crossclassified,112,72,40
3429,counter,pizza,crossclassified,111,93,18
1392,bridge,building,co-hyponymy,111,98,13
1130,pant,woman,crossclassified,110,0,110
1751,bathtub,sink,crossclassified,110,77,33
373,bench,t-shirt,crossclassified,110,110,0
1024,cake,donut,hypernymy.1,110,3,107
1323,carpet,chair,crossclassified,109,93,16
670,countertop,sink,crossclassified,109,0,109
323,couch,shirt,crossclassified,108,108,0
658,train,tram,crossclassified,108,108,0
2828,chair,floor,crossclassified,107,14,93
624,bird,goose,hypernymy.1,107,59,48
2568,food,sauce,hypernymy.1,106,52,54
2262,bed,chair,crossclassified,106,56,50
1052,boy,jacket,crossclassified,106,68,38
247,bench,dog,crossclassified,106,103,3
526,child,t-shirt,crossclassified,105,98,7
532,dresser,table,hypernymy.2,105,58,47
1900,belt,dog,crossclassified,105,0,105
246,bench,cat,crossclassified,104,102,2
1219,baby,boy,crossclassified,104,31,73
680,bed,dog,crossclassified,103,72,31
352,cow,sheep,crossclassified,103,47,56
832,chair,woman,crossclassified,103,16,87
584,chair,desk,crossclassified,102,16,86
945,train,wheel,crossclassified,101,101,0
1875,shelf,table,crossclassified,101,14,87
3,helmet,man,crossclassified,101,1,100
1871,trailer,truck,crossclassified,101,9,92
154,man,suit,crossclassified,101,60,41
716,coat,woman,crossclassified,100,14,86
514,shoe,skier,crossclassified,100,0,100
435,clothing,dress,hypernymy.1,100,0,100
1076,skater,woman,crossclassified,100,12,88
319,cabinet,sink,crossclassified,99,36,63
1079,mobile,woman,crossclassified,99,0,99
336,boy,girl,crossclassified,99,48,51
347,cattle,cow,hypernymy.1,98,0,98
507,shoe,skater,crossclassified,98,23,75
1605,boy,woman,crossclassified,97,28,69
527,cow,horse,crossclassified,97,74,23
1136,boy,toddler,crossclassified,97,97,0
2815,bench,shirt,crossclassified,97,90,7
1622,airplane,vehicle,hypernymy.2,96,96,0
2704,skirt,woman,hypernymy.2,96,0,96
509,pizza,slice,crossclassified,96,96,0
4909,plane,wing,crossclassified,96,40,56
1687,airplane,helicopter,co-hyponymy,96,49,47
1753,bread,hotdog,crossclassified,96,26,70
1830,house,tree,crossclassified,95,71,24
648,horse,rope,crossclassified,95,95,0
759,bottle,table,crossclassified,95,5,90
484,cow,goat,crossclassified,95,80,15
298,car,hood,crossclassified,95,32,63
87,bird,eagle,hypernymy.1,95,73,22
2384,book,desk,crossclassified,94,12,82
1501,calf,cow,crossclassified,94,0,94
2400,cup,drink,hypernymy.2,94,82,12
772,shirt,top,crossclassified,94,94,0
329,polo,shirt,crossclassified,94,0,94
487,camel,giraffe,crossclassified,94,0,94
695,counter,island,crossclassified,93,84,9
1812,bed,sofa,crossclassified,93,89,4
472,bed,bedspread,crossclassified,93,93,0
333,bar,counter,hypernymy.2,93,10,83
4176,cat,curtain,crossclassified,92,12,80
408,boy,dress,crossclassified,92,92,0
155,man,teenager,crossclassified,92,92,0
1462,semi,truck,hypernymy.2,92,0,92
20,bus,van,crossclassified,92,43,49
1344,sandwich,sub,hypernymy.1,91,91,0
1654,fork,spoon,co-hyponymy,91,73,18
91,bath,bathtub,synonymy,90,0,90
932,bench,couch,co-hyponymy,89,43,46
2982,mirror,motorcycle,crossclassified,89,8,81
1912,chair,child,crossclassified,88,63,25
2826,plate,woman,crossclassified,88,1,87
1209,cake,cupcake,hypernymy.1,88,8,80
2269,catcher,player,hypernymy.2,88,86,2
960,cake,shirt,crossclassified,87,0,87
1413,bed,woman,crossclassified,87,54,33
3390,bike,scooter,co-hyponymy,87,1,86
1649,bed,bedding,crossclassified,87,87,0
1927,bowl,table,crossclassified,87,6,81
5535,van,wheel,crossclassified,86,86,0
1533,bench,pant,crossclassified,86,86,0
424,building,church,hypernymy.1,86,70,16
357,bread,toast,hypernymy.1,86,65,21
1971,counter,plate,crossclassified,86,86,0
1185,girl,shoe,crossclassified,86,84,2
222,ball,man,co-hyponymy,85,0,85
1423,bridge,pole,crossclassified,85,85,0
309,child,woman,crossclassified,85,18,67
1904,curtain,curtains,synonymy,85,73,12
2904,bed,cot,hypernymy.1,85,85,0
1234,laptop,man,crossclassified,85,10,75
2378,boat,pole,crossclassified,84,84,0
1031,railcar,train,crossclassified,84,0,84
612,boy,surfer,crossclassified,84,19,65
1182,glass,man,crossclassified,83,0,83
1563,bridge,road,crossclassified,83,62,21
4312,car,jeep,hypernymy.1,81,58,23
782,banana,table,crossclassified,81,5,76
14,cake,sandwich,crossclassified,81,6,75
2684,cabinets,counter,co-hyponymy,81,8,73
2942,keyboard,table,crossclassified,81,2,79
2231,apple,fruit,hypernymy.2,81,60,21
235,athlete,boy,crossclassified,81,1,80
9,jacket,person,crossclassified,81,69,12
162,cow,steer,co-hyponymy,80,80,0
555,cake,woman,crossclassified,80,0,80
2816,bowl,pot,co-hyponymy,80,47,33
480,ram,sheep,hypernymy.2,80,4,76
787,girl,skier,crossclassified,79,35,44
1175,donut,pastry,crossclassified,79,79,0
3318,carpet,sofa,crossclassified,79,79,0
1324,ball,woman,crossclassified,79,0,79
750,bed,comforter,crossclassified,78,78,0
854,burger,food,hypernymy.2,78,28,50
836,bench,man,crossclassified,78,36,42
777,boy,human,crossclassified,77,77,0
1120,boat,raft,crossclassified,77,55,22
661,furniture,table,hypernymy.1,77,1,76
673,building,window,crossclassified,77,69,8
2886,pickup,truck,hypernymy.2,77,0,77
811,chair,jacket,crossclassified,77,47,30
1669,lamp,light,co-hyponymy,76,63,13
411,cake,pizza,co-hyponymy,76,9,67
599,boy,tie,crossclassified,76,64,12
228,bird,sparrow,hypernymy.1,76,76,0
33,child,skateboarder,crossclassified,75,19,56
2790,girl,player,crossclassified,75,69,6
552,table,tablecloth,crossclassified,75,65,10
822,kid,skateboarder,crossclassified,74,0,74
2521,bottle,vase,crossclassified,74,17,57
1117,man,phone,crossclassified,74,74,0
627,bird,crane,hypernymy.1,73,73,0
344,clothing,woman,crossclassified,73,0,73
258,bridge,pier,co-hyponymy,73,60,13
856,cat,table,crossclassified,72,13,59
1159,bed,furniture,hypernymy.2,72,72,0
1259,pan,pot,co-hyponymy,72,50,22
2267,catcher,person,hypernymy.2,72,72,0
2071,food,pasta,hypernymy.1,72,24,48
571,hat,woman,crossclassified,72,8,64
1184,baby,girl,hypernymy.2,72,16,56
912,ball,boy,crossclassified,72,0,72
2411,blender,mixer,hypernymy.2,72,72,0
196,stand,table,hypernymy.2,71,3,68
265,donkey,horse,crossclassified,70,0,70
826,cabinet,desk,crossclassified,70,29,41
1924,pizza,shirt,crossclassified,70,1,69
1210,hair,woman,crossclassified,69,8,61
623,bird,swan,hypernymy.1,69,23,46
1780,horse,statue,crossclassified,69,68,1
500,man,skateboard,crossclassified,69,66,3
2819,bun,food,hypernymy.2,69,47,22
409,boy,teenager,crossclassified,69,69,0
2021,bat,dugout,crossclassified,69,0,69
2464,shirt,uniform,crossclassified,68,68,0
919,food,meal,hypernymy.1,68,68,0
1832,blazer,suit,crossclassified,68,0,68
549,bed,man,crossclassified,68,38,30
153,kid,man,crossclassified,68,0,68
3495,pan,pizza,crossclassified,68,29,39
1680,boy,skier,crossclassified,67,13,54
1691,gamer,man,crossclassified,67,0,67
1267,cabinet,door,crossclassified,67,44,23
1303,beanie,hat,crossclassified,67,0,67
638,bowl,pan,co-hyponymy,67,37,30
1183,girl,toddler,crossclassified,67,67,0
1922,bridge,dock,crossclassified,67,46,21
28,horse,zebra,co-hyponymy,67,5,62
1367,plate,salad,crossclassified,67,7,60
1860,skateboarder,t-shirt,crossclassified,67,67,0
2708,boat,ferry,hypernymy.1,67,67,0
547,child,man,co-hyponymy,67,8,59
1253,bird,hawk,hypernymy.1,66,66,0
644,cake,plate,crossclassified,66,65,1
1065,table,woman,crossclassified,66,5,61
430,building,store,crossclassified,66,60,6
863,cabinet,furniture,hypernymy.2,66,66,0
1961,car,motorcycle,co-hyponymy,66,10,56
1722,chair,recliner,hypernymy.1,66,66,0
1756,garage,house,crossclassified,66,33,33
1503,chair,highchair,hypernymy.1,65,34,31
75,dugout,fence,crossclassified,65,65,0
1928,bench,wooden,crossclassified,65,65,0
1504,chair,toy,crossclassified,65,65,0
1538,food,pan,crossclassified,65,8,57
4204,bird,pelican,hypernymy.1,65,65,0
117,helicopter,plane,co-hyponymy,64,20,44
1476,jug,vase,crossclassified,64,0,64
2829,chair,dress,crossclassified,63,29,34
2834,sandwich,toast,crossclassified,63,37,26
652,hat,man,crossclassified,63,19,44
2243,table,wood,crossclassified,63,63,0
554,pizza,woman,crossclassified,63,2,61
129,girl,jacket,crossclassified,63,44,19
685,boy,pitcher,crossclassified,63,45,18
829,glass,shirt,crossclassified,62,0,62
2670,desk,wire,crossclassified,62,62,0
1510,couple,man,crossclassified,62,32,30
86,bird,owl,hypernymy.1,62,29,33
376,bridge,walkway,crossclassified,62,62,0
85,bird,crow,hypernymy.1,62,62,0
933,bench,sofa,co-hyponymy,61,52,9
1282,desk,wood,crossclassified,61,61,0
683,pitcher,player,hypernymy.2,60,60,0
457,bottle,counter,crossclassified,60,0,60
1819,burger,hamburger,synonymy,60,52,8
1970,cake,man,crossclassified,60,0,60
393,child,jacket,crossclassified,60,39,21
715,people,woman,hypernymy.1,59,0,59
349,airplane,vehicles,hypernymy.2,59,59,0
1281,hamburger,sandwich,hypernymy.2,59,4,55
3118,animal,goat,hypernymy.1,59,4,55
1852,car,train,crossclassified,59,3,56
243,caboose,train,crossclassified,59,0,59
2302,chair,furniture,hypernymy.2,59,54,5
2566,cheese,food,hypernymy.2,58,19,39
647,phone,shirt,crossclassified,58,0,58
1383,bird,flamingo,hypernymy.1,58,5,53
1255,watch,woman,crossclassified,58,0,58
1597,pie,pizza,crossclassified,58,4,54
478,goat,ram,co-hyponymy,58,48,10
324,couch,man,crossclassified,57,46,11
1082,boat,dog,crossclassified,57,56,1
842,pizza,sandwich,crossclassified,57,15,42
1145,airliner,airplane,hypernymy.2,56,0,56
2717,boy,helmet,crossclassified,56,55,1
573,jacket,vest,crossclassified,56,25,31
1373,table,tray,crossclassified,56,44,12
1045,cat,rug,crossclassified,56,6,50
1308,glass,vase,crossclassified,56,12,44
1858,girl,skateboarder,crossclassified,56,42,14
742,boat,kayak,hypernymy.1,55,45,10
227,bird,pigeon,hypernymy.1,55,55,0
2003,bed,bench,crossclassified,55,30,25
754,dude,man,hypernymy.2,55,0,55
78,dugout,pit,crossclassified,55,55,0
2733,laptop,woman,crossclassified,55,0,55
427,building,tower,co-hyponymy,55,32,23
2592,man,table,crossclassified,55,43,12
4268,person,player,hypernymy.1,54,16,38
2043,beer,bottle,crossclassified,54,0,54
1773,plane,wheel,crossclassified,54,54,0
239,child,dress,crossclassified,54,50,4
848,dress,gown,hypernymy.1,54,53,1
210,bed,bedframe,crossclassified,54,54,0
1022,chair,t-shirt,crossclassified,54,54,0
2688,counter,cupboard,crossclassified,54,54,0
3075,teenager,woman,crossclassified,54,0,54
1721,man,teen,crossclassified,54,54,0
272,lettuce,salad,crossclassified,54,15,39
748,fruit,table,crossclassified,53,12,41
428,building,clock,crossclassified,53,41,12
1463,suit,tuxedo,crossclassified,53,53,0
1429,bread,burger,crossclassified,53,50,3
4561,house,hut,crossclassified,53,32,21
895,horse,t-shirt,crossclassified,53,53,0
2489,pot,table,crossclassified,53,0,53
448,batter,person,hypernymy.2,53,47,6
1902,curtain,man,crossclassified,53,52,1
4166,cereal,food,hypernymy.2,53,44,9
1258,jacket,uniform,crossclassified,53,53,0
1853,carpet,dog,crossclassified,52,48,4
3357,bench,dress,crossclassified,52,37,15
161,cow,oxen,hypernymy.2,52,52,0
1867,couch,pant,crossclassified,52,52,0
179,clothing,man,crossclassified,52,0,52
264,cap,child,crossclassified,52,0,52
6514,book,bookshelf,crossclassified,52,0,52
2902,bed,rug,crossclassified,52,11,41
7098,rug,sofa,crossclassified,52,52,0
317,skateboard,skater,crossclassified,52,4,48
1042,cup,vase,crossclassified,52,9,43
7431,carpet,laptop,crossclassified,51,42,9
722,train,vehicles,crossclassified,51,51,0
1154,food,pie,hypernymy.1,51,30,21
1273,cat,laptop,crossclassified,51,48,3
556,food,woman,crossclassified,51,0,51
6036,banana,bowl,crossclassified,51,0,51
3343,flower,flowers,synonymy,51,29,22
4062,bowl,broccoli,crossclassified,51,36,15
1211,grill,woman,crossclassified,51,0,51
2598,robe,shirt,co-hyponymy,50,18,32
1638,desk,furniture,hypernymy.2,50,50,0
761,jersey,man,crossclassified,50,4,46
4000,track,train,crossclassified,50,0,50
1288,cap,dugout,crossclassified,50,0,50
104,boy,chair,crossclassified,50,17,33
122,car,house,crossclassified,50,2,48
5760,book,table,crossclassified,50,5,45
3055,curtain,drapes,synonymy,50,50,0
1261,pan,skillet,hypernymy.1,49,49,0
63,salad,vegetables,crossclassified,49,42,7
1705,court,jacket,crossclassified,49,0,49
978,automobile,truck,co-hyponymy,49,0,49
3523,bottle,woman,crossclassified,49,0,49
764,knife,table,crossclassified,49,10,39
1038,face,woman,crossclassified,49,11,38
1202,bed,bunked,crossclassified,49,37,12
809,bench,jacket,crossclassified,49,28,21
2355,bride,woman,crossclassified,48,9,39
2959,cup,desk,crossclassified,48,11,37
182,man,people,co-hyponymy,48,48,0
735,desk,paper,crossclassified,48,48,0
296,broccoli,salad,crossclassified,48,24,24
2647,door,house,crossclassified,48,8,40
558,food,shirt,crossclassified,48,0,48
714,mother,woman,hypernymy.2,48,0,48
4636,bridge,street,crossclassified,48,29,19
797,coat,dress,crossclassified,47,18,29
1299,bread,pizza,crossclassified,47,11,36
49,ambulance,truck,crossclassified,47,9,38
847,gamer,woman,crossclassified,47,0,47
1217,boy,children,hypernymy.2,47,47,0
2120,man,umpire,crossclassified,47,6,41
50,pizza,sauce,crossclassified,47,46,1
3274,house,pole,crossclassified,47,47,0
3282,pan,tray,crossclassified,47,39,8
2050,cabinet,hutch,crossclassified,47,47,0
1309,jar,vase,hypernymy.1,47,1,46
1249,couch,futon,crossclassified,47,38,9
1653,fork,plate,crossclassified,47,44,3
1586,dog,toy,hypernymy.1,47,33,14
5042,flower,rose,crossclassified,47,22,25
1727,road,street,hypernymy.1,47,16,31
1732,flower,vase,crossclassified,47,18,29
1757,building,garage,hypernymy.1,47,29,18
363,helmet,skier,crossclassified,47,1,46
3870,desk,monitor,crossclassified,46,46,0
4920,dog,truck,crossclassified,46,9,37
2127,chicken,food,hypernymy.2,46,7,39
1962,dessert,food,hypernymy.2,46,16,30
1262,lorry,truck,hypernymy.2,46,0,46
451,banana,woman,crossclassified,46,0,46
650,child,shoe,crossclassified,46,46,0
4213,camera,woman,crossclassified,46,0,46
3464,bed,curtain,crossclassified,46,14,32
1686,airplane,propeller,crossclassified,46,32,14
322,sink,toilet,co-hyponymy,46,19,27
4650,carpet,shoe,crossclassified,46,46,0
3577,banana,shirt,crossclassified,45,22,23
1275,bowl,container,hypernymy.2,45,42,3
