	vg_img_id	vg_object_id	vg_obj_name	vg_domain	top_resonse_domain	url	#bbox	#other	#other_reasons	#occl
8789	2317029	3424555	hood	clothing	$dashboard	http://object-naming-amore.upf.edu//2317029_3424555_singleton_obj.png	4	0	[]	4
5348	2345595	3623535	shed	buildings	buildings	http://object-naming-amore.upf.edu//2345595_3623535_singleton_obj.png	4	0	[]	4
11779	2354210	840329	pig	animals_plants	$finger	http://object-naming-amore.upf.edu//2354210_840329_supercat_unique.png	3	1	['#other_animal$1']	4
23518	2393935	1215564	desk	home	$pants	http://object-naming-amore.upf.edu//2393935_1215564_supercat_unique.png	3	0	[]	4
8025	2394922	459631	bathtub	home	home	http://object-naming-amore.upf.edu//2394922_459631_singleton_obj.png	3	0	[]	4
2294	2340182	948633	coat	clothing	people	http://object-naming-amore.upf.edu//2340182_948633_supercat_unique.png	3	0	[]	4
5198	2363962	2693157	bridge	buildings	$ceiling	http://object-naming-amore.upf.edu//2363962_2693157_singleton_obj.png	3	0	[]	4
1189	2411201	315248	scooter	vehicles	vehicles	http://object-naming-amore.upf.edu//2411201_315248_supercat_ambiguous.png	2	0	[]	4
23603	2370423	3324718	dish	home	$container	http://object-naming-amore.upf.edu//2370423_3324718_supercat_unique.png	2	0	[]	4
7866	2396694	3821946	furniture	home	$mat	http://object-naming-amore.upf.edu//2396694_3821946_seed_ambiguous.png	2	0	[]	4
23612	2384149	3847243	counter	home	food	http://object-naming-amore.upf.edu//2384149_3847243_seed_ambiguous.png	2	0	[]	4
275	2357865	1847254	bench	home	home	http://object-naming-amore.upf.edu//2357865_1847254_singleton_obj.png	2	0	[]	4
686	2358350	3545967	chair	home	home	http://object-naming-amore.upf.edu//2358350_3545967_supercat_unique.png	2	0	[]	4
1537	2347344	3611871	carpet	home	home	http://object-naming-amore.upf.edu//2347344_3611871_seed_ambiguous.png	2	0	[]	4
2281	2318877	1006447	bowl	home	home	http://object-naming-amore.upf.edu//2318877_1006447_singleton_obj.png	2	0	[]	4
919	2379316	553793	chair	home	home	http://object-naming-amore.upf.edu//2379316_553793_singleton_obj.png	1	1	['#other_animal$1']	4
22725	2394323	1212487	pan	home	food	http://object-naming-amore.upf.edu//2394323_1212487_supercat_ambiguous.png	1	0	[]	4
1455	2398146	1182296	table	home	home	http://object-naming-amore.upf.edu//2398146_1182296_supercat_unique.png	1	0	[]	4
3911	2317122	1023453	bench	home	home	http://object-naming-amore.upf.edu//2317122_1023453_supercat_unique.png	1	0	[]	4
4992	2385262	1299061	curtain	home	home	http://object-naming-amore.upf.edu//2385262_1299061_singleton_obj.png	1	0	[]	4
8457	2350163	2196316	bed	home	home	http://object-naming-amore.upf.edu//2350163_2196316_singleton_obj.png	1	0	[]	4
19891	2358740	3767943	desk	home	home	http://object-naming-amore.upf.edu//2358740_3767943_seed_ambiguous.png	1	0	[]	4
24363	2385008	523047	curtain	home	home	http://object-naming-amore.upf.edu//2385008_523047_supercat_unique.png	1	0	[]	4
6063	2409103	249004	shawl	clothing	$book	http://object-naming-amore.upf.edu//2409103_249004_supercat_unique.png	1	0	[]	4
6695	2390966	1245414	shirt	clothing	clothing	http://object-naming-amore.upf.edu//2390966_1245414_supercat_unique.png	1	0	[]	4
30613	2361049	2055165	car	vehicles	food	http://object-naming-amore.upf.edu//2361049_2055165_singleton_obj.png	0	3	['#other_animal$2', '#other_food$1']	4
22591	2370738	3856985	horse	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2370738_3856985_singleton_obj.png	0	2	['#other_very dark photo$1', '#other_too dark, might be a horse?$1']	4
175	2345614	2472208	cheese	food	food	http://object-naming-amore.upf.edu//2345614_2472208_singleton_obj.png	0	1	"[""#other_i don't know what that is... cottage cheese?$1""]"	4
27521	2329786	3150413	shirt	clothing	$fabric	http://object-naming-amore.upf.edu//2329786_3150413_seed_ambiguous.png	0	1	['#other_animal$1']	4
22101	2395290	456135	boat	vehicles	vehicles	http://object-naming-amore.upf.edu//2395290_456135_singleton_obj.png	0	0	[]	4
14697	2374730	3848753	aquarium	home	$ball	http://object-naming-amore.upf.edu//2374730_3848753_singleton_obj.png	0	0	[]	4
27774	2319189	3449270	bowl	home	$ground	http://object-naming-amore.upf.edu//2319189_3449270_singleton_obj.png	0	0	[]	4
967	2368640	2991635	cabinet	home	$wall	http://object-naming-amore.upf.edu//2368640_2991635_singleton_obj.png	0	0	[]	4
8523	2351190	3590235	cabinet	home	$window	http://object-naming-amore.upf.edu//2351190_3590235_singleton_obj.png	0	0	[]	4
29330	2405298	1109112	carpet	home	clothing	http://object-naming-amore.upf.edu//2405298_1109112_supercat_unique.png	0	0	[]	4
363	2374964	2210312	chair	home	home	http://object-naming-amore.upf.edu//2374964_2210312_singleton_obj.png	0	0	[]	4
11288	2322854	3527673	desk	home	home	http://object-naming-amore.upf.edu//2322854_3527673_seed_ambiguous.png	0	0	[]	4
20519	2398420	1180023	chair	home	home	http://object-naming-amore.upf.edu//2398420_1180023_supercat_unique.png	0	0	[]	4
28566	2374051	2579981	tool	home	home	http://object-naming-amore.upf.edu//2374051_2579981_seed_ambiguous.png	0	0	[]	4
24715	2344883	2600217	hood	clothing	$ventilator	http://object-naming-amore.upf.edu//2344883_2600217_supercat_unique.png	0	0	[]	4
356	2385674	686436	coat	clothing	clothing	http://object-naming-amore.upf.edu//2385674_686436_supercat_unique.png	0	0	[]	4
653	2416700	3075008	mouse	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2416700_3075008_singleton_obj.png	0	0	[]	4
4966	2391957	1235700	gazelle	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2391957_1235700_seed_ambiguous.png	0	0	[]	4
8289	2379445	552755	buffalo	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2379445_552755_seed_ambiguous.png	0	0	[]	4
9112	2402325	1137581	cat	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2402325_1137581_supercat_unique.png	0	0	[]	4
5837	2362606	2619489	truck	vehicles	animals_plants	http://object-naming-amore.upf.edu//2362606_2619489_supercat_unique.png	5	0	[]	3
1198	2340367	3547625	chair	home	$pants	http://object-naming-amore.upf.edu//2340367_3547625_supercat_unique.png	5	0	[]	3
7152	2399146	1171903	bench	home	buildings	http://object-naming-amore.upf.edu//2399146_1171903_singleton_obj.png	5	0	[]	3
1300	2346777	896602	coat	clothing	$fabric	http://object-naming-amore.upf.edu//2346777_896602_supercat_unique.png	5	0	[]	3
8189	2404364	1116226	car	vehicles	vehicles	http://object-naming-amore.upf.edu//2404364_1116226_supercat_unique.png	4	0	[]	3
1137	2371565	596925	skier	people	people	http://object-naming-amore.upf.edu//2371565_596925_singleton_obj.png	4	0	[]	3
2665	2386315	1287383	dresser	home	clothing	http://object-naming-amore.upf.edu//2386315_1287383_singleton_obj.png	4	0	[]	3
23964	2346332	1731782	furniture	home	people	http://object-naming-amore.upf.edu//2346332_1731782_seed_ambiguous.png	4	0	[]	3
6524	2363132	767953	airplane	vehicles	buildings	http://object-naming-amore.upf.edu//2363132_767953_singleton_obj.png	3	0	[]	3
94	2394644	1211037	curtain	home	clothing	http://object-naming-amore.upf.edu//2394644_1211037_seed_ambiguous.png	3	0	[]	3
1382	2335550	2568264	couch	home	home	http://object-naming-amore.upf.edu//2335550_2568264_supercat_unique.png	3	0	[]	3
2299	2320703	2937906	curtain	home	home	http://object-naming-amore.upf.edu//2320703_2937906_supercat_unique.png	3	0	[]	3
9196	2365550	2276782	jacket	clothing	clothing	http://object-naming-amore.upf.edu//2365550_2276782_supercat_unique.png	3	0	[]	3
7246	2355384	2156153	bridge	buildings	$brigde	http://object-naming-amore.upf.edu//2355384_2156153_singleton_obj.png	3	0	[]	3
3940	2403959	379272	tent	buildings	$food stand	http://object-naming-amore.upf.edu//2403959_379272_singleton_obj.png	3	0	[]	3
6253	2353704	2694916	house	buildings	animals_plants	http://object-naming-amore.upf.edu//2353704_2694916_singleton_obj.png	3	0	[]	3
583	2356811	2286706	tent	buildings	buildings	http://object-naming-amore.upf.edu//2356811_2286706_supercat_unique.png	3	0	[]	3
6126	2403147	383256	tent	buildings	buildings	http://object-naming-amore.upf.edu//2403147_383256_supercat_unique.png	3	0	[]	3
6601	2409811	233012	restaurant	buildings	home	http://object-naming-amore.upf.edu//2409811_233012_singleton_obj.png	3	0	[]	3
8925	2316234	3030931	jar	home	home	http://object-naming-amore.upf.edu//2316234_3030931_supercat_ambiguous.png	2	3	"['#other_i am unsure what kind of tool that is or if it is a tool at all$1', ""#other_i don't know what this is$1"", '#other_not sure what this is$1']"	3
6985	2401377	399983	furniture	home	home	http://object-naming-amore.upf.edu//2401377_399983_seed_ambiguous.png	2	2	['#other_animal$2']	3
2182	2400035	411992	table	home	home	http://object-naming-amore.upf.edu//2400035_411992_seed_ambiguous.png	2	1	['#other_animal$1']	3
2022	2360308	1795416	motorcycle	vehicles	vehicles	http://object-naming-amore.upf.edu//2360308_1795416_singleton_obj.png	2	0	[]	3
6459	2384239	692283	plane	vehicles	vehicles	http://object-naming-amore.upf.edu//2384239_692283_singleton_obj.png	2	0	[]	3
8165	2344339	3209330	car	vehicles	vehicles	http://object-naming-amore.upf.edu//2344339_3209330_supercat_unique.png	2	0	[]	3
14571	2361341	2296775	train	vehicles	vehicles	http://object-naming-amore.upf.edu//2361341_2296775_seed_ambiguous.png	2	0	[]	3
14888	2366743	2544145	woman	people	people	http://object-naming-amore.upf.edu//2366743_2544145_seed_ambiguous.png	2	0	[]	3
10243	2361734	1759894	dresser	home	$toys	http://object-naming-amore.upf.edu//2361734_1759894_singleton_obj.png	2	0	[]	3
20524	2359350	1664801	carpet	home	$wood	http://object-naming-amore.upf.edu//2359350_1664801_singleton_obj.png	2	0	[]	3
9228	2382752	1326432	dish	home	food	http://object-naming-amore.upf.edu//2382752_1326432_singleton_obj.png	2	0	[]	3
449	2411496	311078	carpet	home	home	http://object-naming-amore.upf.edu//2411496_311078_seed_ambiguous.png	2	0	[]	3
803	2346352	2556308	carpet	home	home	http://object-naming-amore.upf.edu//2346352_2556308_seed_ambiguous.png	2	0	[]	3
868	2347954	885998	cup	home	home	http://object-naming-amore.upf.edu//2347954_885998_singleton_obj.png	2	0	[]	3
6073	2401347	1148788	desk	home	home	http://object-naming-amore.upf.edu//2401347_1148788_singleton_obj.png	2	0	[]	3
6875	2372868	735095	carpet	home	home	http://object-naming-amore.upf.edu//2372868_735095_seed_ambiguous.png	2	0	[]	3
7408	2374033	729266	curtain	home	home	http://object-naming-amore.upf.edu//2374033_729266_singleton_obj.png	2	0	[]	3
19916	2412766	1618044	furniture	home	home	http://object-naming-amore.upf.edu//2412766_1618044_seed_ambiguous.png	2	0	[]	3
24066	2379571	3834858	rug	home	home	http://object-naming-amore.upf.edu//2379571_3834858_singleton_obj.png	2	0	[]	3
14699	2354430	2188034	vegetable	food	food	http://object-naming-amore.upf.edu//2354430_2188034_seed_ambiguous.png	2	0	[]	3
15573	2344270	2435983	shirt	clothing	clothing	http://object-naming-amore.upf.edu//2344270_2435983_singleton_obj.png	2	0	[]	3
23513	2401312	400695	bridge	buildings	buildings	http://object-naming-amore.upf.edu//2401312_400695_singleton_obj.png	2	0	[]	3
24103	2345837	904470	bridge	buildings	buildings	http://object-naming-amore.upf.edu//2345837_904470_singleton_obj.png	2	0	[]	3
18947	2379867	3252794	dog	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2379867_3252794_seed_ambiguous.png	1	3	['#other_animal$2', '#other_animals$1']	3
2231	2341202	2032306	bed	home	home	http://object-naming-amore.upf.edu//2341202_2032306_singleton_obj.png	1	1	"[""#other_i don't know what that is the knife cut into$1""]"	3
1016	2358829	798813	airplane	vehicles	$tarmac	http://object-naming-amore.upf.edu//2358829_798813_singleton_obj.png	1	0	[]	3
1096	2364195	3740481	girl	people	people	http://object-naming-amore.upf.edu//2364195_3740481_singleton_obj.png	1	0	[]	3
2884	2355074	1850334	counter	home	$display	http://object-naming-amore.upf.edu//2355074_1850334_singleton_obj.png	1	0	[]	3
30766	2406289	369709	bath	home	$laptop	http://object-naming-amore.upf.edu//2406289_369709_singleton_obj.png	1	0	[]	3
14650	2326765	981619	couch	home	$pillow	http://object-naming-amore.upf.edu//2326765_981619_supercat_unique.png	1	0	[]	3
3647	2347273	2936052	tool	home	$shaver	http://object-naming-amore.upf.edu//2347273_2936052_singleton_obj.png	1	0	[]	3
12621	2395269	1206570	armoire	home	clothing	http://object-naming-amore.upf.edu//2395269_1206570_supercat_unique.png	1	0	[]	3
2735	2321508	3038103	bench	home	food	http://object-naming-amore.upf.edu//2321508_3038103_singleton_obj.png	1	0	[]	3
322	2375317	2672141	tub	home	home	http://object-naming-amore.upf.edu//2375317_2672141_singleton_obj.png	1	0	[]	3
1045	2373317	588930	bed	home	home	http://object-naming-amore.upf.edu//2373317_588930_singleton_obj.png	1	0	[]	3
1768	2405417	332277	chair	home	home	http://object-naming-amore.upf.edu//2405417_332277_supercat_unique.png	1	0	[]	3
6847	2342540	932984	carpet	home	home	http://object-naming-amore.upf.edu//2342540_932984_supercat_unique.png	1	0	[]	3
8241	2411250	1081421	bench	home	home	http://object-naming-amore.upf.edu//2411250_1081421_singleton_obj.png	1	0	[]	3
8449	2401138	1151269	counter	home	home	http://object-naming-amore.upf.edu//2401138_1151269_singleton_obj.png	1	0	[]	3
8656	2405492	654294	cabinet	home	home	http://object-naming-amore.upf.edu//2405492_654294_singleton_obj.png	1	0	[]	3
10098	2347662	1687059	desk	home	home	http://object-naming-amore.upf.edu//2347662_1687059_singleton_obj.png	1	0	[]	3
14688	2389181	506488	bed	home	home	http://object-naming-amore.upf.edu//2389181_506488_singleton_obj.png	1	0	[]	3
15145	285780	1569561	bench	home	home	http://object-naming-amore.upf.edu//285780_1569561_singleton_obj.png	1	0	[]	3
20111	2340627	3490422	chair	home	home	http://object-naming-amore.upf.edu//2340627_3490422_singleton_obj.png	1	0	[]	3
21684	2394151	466765	counter	home	home	http://object-naming-amore.upf.edu//2394151_466765_singleton_obj.png	1	0	[]	3
22656	2374013	729356	cabinet	home	home	http://object-naming-amore.upf.edu//2374013_729356_supercat_unique.png	1	0	[]	3
23168	2417210	3480473	counter	home	home	http://object-naming-amore.upf.edu//2417210_3480473_seed_ambiguous.png	1	0	[]	3
1388	2317654	1018781	bread	food	food	http://object-naming-amore.upf.edu//2317654_1018781_supercat_unique.png	1	0	[]	3
12094	2352184	1906582	vegetable	food	food	http://object-naming-amore.upf.edu//2352184_1906582_supercat_ambiguous.png	1	0	[]	3
2979	2393027	475463	jacket	clothing	clothing	http://object-naming-amore.upf.edu//2393027_475463_supercat_unique.png	1	0	[]	3
23962	2384692	525027	hood	clothing	clothing	http://object-naming-amore.upf.edu//2384692_525027_singleton_obj.png	1	0	[]	3
27389	989	1065909	helmet	clothing	clothing	http://object-naming-amore.upf.edu//989_1065909_singleton_obj.png	1	0	[]	3
3042	2368880	3866507	shirt	clothing	food	http://object-naming-amore.upf.edu//2368880_3866507_supercat_unique.png	1	0	[]	3
8125	2392042	483793	housing	buildings	$closet	http://object-naming-amore.upf.edu//2392042_483793_supercat_unique.png	1	0	[]	3
6751	2350662	2484422	tent	buildings	$umbrella	http://object-naming-amore.upf.edu//2350662_2484422_singleton_obj.png	1	0	[]	3
22911	2395809	2487569	restaurant	buildings	animals_plants	http://object-naming-amore.upf.edu//2395809_2487569_supercat_unique.png	1	0	[]	3
3737	2410284	221454	overpass	buildings	buildings	http://object-naming-amore.upf.edu//2410284_221454_singleton_obj.png	1	0	[]	3
22353	2350316	1712860	bridge	buildings	buildings	http://object-naming-amore.upf.edu//2350316_1712860_singleton_obj.png	1	0	[]	3
8434	2384615	2393007	grill	buildings	home	http://object-naming-amore.upf.edu//2384615_2393007_supercat_unique.png	1	0	[]	3
12080	2392871	476671	vase	home	home	http://object-naming-amore.upf.edu//2392871_476671_singleton_obj.png	0	2	"['#other_no idea what this is$1', ""#other_i can't accurately name the object because i have no idea what it is :($1""]"	3
30760	2365282	2276133	cat	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2365282_2276133_seed_ambiguous.png	0	2	['#other_animal$2']	3
30142	2368744	2497121	boat	vehicles	food	http://object-naming-amore.upf.edu//2368744_2497121_supercat_unique.png	0	1	['#other_foods$1']	3
21785	2377088	1813215	cabinet	home	home	http://object-naming-amore.upf.edu//2377088_1813215_seed_ambiguous.png	0	1	['#other_animal$1']	3
20388	2399863	661327	bridge	buildings	$wood	http://object-naming-amore.upf.edu//2399863_661327_singleton_obj.png	0	1	['#other_animal$1']	3
26202	2397506	1189334	tent	buildings	buildings	http://object-naming-amore.upf.edu//2397506_1189334_singleton_obj.png	0	1	['#other_animal$1']	3
4530	2400441	1158982	van	vehicles	vehicles	http://object-naming-amore.upf.edu//2400441_1158982_singleton_obj.png	0	0	[]	3
3558	2397321	435146	child	people	people	http://object-naming-amore.upf.edu//2397321_435146_supercat_unique.png	0	0	[]	3
14122	2403860	379755	woman	people	people	http://object-naming-amore.upf.edu//2403860_379755_singleton_obj.png	0	0	[]	3
20265	2388457	508847	curtain	home	$cloth	http://object-naming-amore.upf.edu//2388457_508847_seed_ambiguous.png	0	0	[]	3
28037	4081	1556644	aquarium	home	$mirror	http://object-naming-amore.upf.edu//4081_1556644_singleton_obj.png	0	0	[]	3
28452	2361069	784301	handsaw	home	$saw	http://object-naming-amore.upf.edu//2361069_784301_seed_ambiguous.png	0	0	[]	3
24696	2413149	179282	shovel	home	$snowboard	http://object-naming-amore.upf.edu//2413149_179282_supercat_unique.png	0	0	[]	3
16720	2406977	1099623	wardrobe	home	$towel	http://object-naming-amore.upf.edu//2406977_1099623_seed_ambiguous.png	0	0	[]	3
3778	2378476	1691955	curtain	home	$window	http://object-naming-amore.upf.edu//2378476_1691955_supercat_unique.png	0	0	[]	3
20274	2400795	405411	carpet	home	clothing	http://object-naming-amore.upf.edu//2400795_405411_supercat_unique.png	0	0	[]	3
809	2377701	3381536	lamp	home	home	http://object-naming-amore.upf.edu//2377701_3381536_supercat_unique.png	0	0	[]	3
869	2411099	1082743	table	home	home	http://object-naming-amore.upf.edu//2411099_1082743_singleton_obj.png	0	0	[]	3
5358	2322750	990771	knife	home	home	http://object-naming-amore.upf.edu//2322750_990771_supercat_unique.png	0	0	[]	3
14913	2364092	1681319	bowl	home	home	http://object-naming-amore.upf.edu//2364092_1681319_singleton_obj.png	0	0	[]	3
20034	2377776	2711885	counter	home	home	http://object-naming-amore.upf.edu//2377776_2711885_singleton_obj.png	0	0	[]	3
20098	2411494	2968591	carpet	home	home	http://object-naming-amore.upf.edu//2411494_2968591_supercat_unique.png	0	0	[]	3
20205	2411220	314940	bench	home	home	http://object-naming-amore.upf.edu//2411220_314940_supercat_unique.png	0	0	[]	3
21818	2400816	1154712	table	home	home	http://object-naming-amore.upf.edu//2400816_1154712_singleton_obj.png	0	0	[]	3
23084	2351423	2456713	table	home	home	http://object-naming-amore.upf.edu//2351423_2456713_singleton_obj.png	0	0	[]	3
23821	2382278	1329769	vase	home	home	http://object-naming-amore.upf.edu//2382278_1329769_supercat_ambiguous.png	0	0	[]	3
24997	2318064	3400075	carpet	home	home	http://object-naming-amore.upf.edu//2318064_3400075_supercat_unique.png	0	0	[]	3
30325	2348194	884152	table	home	home	http://object-naming-amore.upf.edu//2348194_884152_singleton_obj.png	0	0	[]	3
736	2363873	761343	porridge	food	food	http://object-naming-amore.upf.edu//2363873_761343_supercat_unique.png	0	0	[]	3
14324	2342565	3303959	cheese	food	food	http://object-naming-amore.upf.edu//2342565_3303959_supercat_ambiguous.png	0	0	[]	3
1953	2401331	659760	jacket	clothing	$basket	http://object-naming-amore.upf.edu//2401331_659760_singleton_obj.png	0	0	[]	3
10580	2354581	1997229	shirt	clothing	clothing	http://object-naming-amore.upf.edu//2354581_1997229_singleton_obj.png	0	0	[]	3
10641	2348689	2803589	tie	clothing	clothing	http://object-naming-amore.upf.edu//2348689_2803589_supercat_ambiguous.png	0	0	[]	3
22444	2411384	312703	shirt	clothing	clothing	http://object-naming-amore.upf.edu//2411384_312703_supercat_unique.png	0	0	[]	3
29429	2387674	1273828	house	buildings	$board	http://object-naming-amore.upf.edu//2387674_1273828_singleton_obj.png	0	0	[]	3
27383	2371638	3188015	dugout	buildings	$dug out	http://object-naming-amore.upf.edu//2371638_3188015_singleton_obj.png	0	0	[]	3
8075	2406848	3811263	bridge	buildings	$pier	http://object-naming-amore.upf.edu//2406848_3811263_singleton_obj.png	0	0	[]	3
7291	2362952	3526856	garage	buildings	buildings	http://object-naming-amore.upf.edu//2362952_3526856_singleton_obj.png	0	0	[]	3
12299	2326146	3092691	bridge	buildings	buildings	http://object-naming-amore.upf.edu//2326146_3092691_singleton_obj.png	0	0	[]	3
24156	2352687	2522689	bridge	buildings	buildings	http://object-naming-amore.upf.edu//2352687_2522689_singleton_obj.png	0	0	[]	3
12823	2414693	153771	dugout	buildings	clothing	http://object-naming-amore.upf.edu//2414693_153771_singleton_obj.png	0	0	[]	3
703	2327574	3261224	goat	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2327574_3261224_seed_ambiguous.png	0	0	[]	3
839	2316716	1052231	fish	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2316716_1052231_singleton_obj.png	0	0	[]	3
4021	2369524	2419596	dog	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2369524_2419596_singleton_obj.png	0	0	[]	3
4056	2398449	3572650	dog	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2398449_3572650_seed_ambiguous.png	0	0	[]	3
15745	2354639	836897	sheep	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2354639_836897_supercat_unique.png	0	0	[]	3
6769	2341428	2443646	woman	people	$elephant	http://object-naming-amore.upf.edu//2341428_2443646_singleton_obj.png	5	0	[]	2
650	2360665	2429496	man	people	people	http://object-naming-amore.upf.edu//2360665_2429496_supercat_unique.png	5	0	[]	2
23053	2360765	786098	carpet	home	home	http://object-naming-amore.upf.edu//2360765_786098_seed_ambiguous.png	5	0	[]	2
14887	2317718	3133733	curtain	home	people	http://object-naming-amore.upf.edu//2317718_3133733_singleton_obj.png	5	0	[]	2
23086	2361619	2352057	carpet	home	vehicles	http://object-naming-amore.upf.edu//2361619_2352057_singleton_obj.png	5	0	[]	2
1260	2415697	2800286	juice	food	food	http://object-naming-amore.upf.edu//2415697_2800286_seed_ambiguous.png	5	0	[]	2
26646	2375469	582201	shirt	clothing	$arm	http://object-naming-amore.upf.edu//2375469_582201_supercat_unique.png	5	0	[]	2
1793	2405353	373540	resort	buildings	buildings	http://object-naming-amore.upf.edu//2405353_373540_singleton_obj.png	5	0	[]	2
14113	2363721	762729	tent	buildings	buildings	http://object-naming-amore.upf.edu//2363721_762729_supercat_unique.png	5	0	[]	2
61	2374889	2516928	van	vehicles	animals_plants	http://object-naming-amore.upf.edu//2374889_2516928_supercat_ambiguous.png	4	0	[]	2
4791	2381335	542034	man	people	people	http://object-naming-amore.upf.edu//2381335_542034_supercat_unique.png	4	0	[]	2
1488	2410263	222038	couch	home	$arm	http://object-naming-amore.upf.edu//2410263_222038_supercat_unique.png	4	0	[]	2
8838	2366281	3879967	couch	home	$hair	http://object-naming-amore.upf.edu//2366281_3879967_supercat_unique.png	4	0	[]	2
6966	2409795	233380	table	home	$paper	http://object-naming-amore.upf.edu//2409795_233380_seed_ambiguous.png	4	0	[]	2
22727	2390219	3828160	desk	home	animals_plants	http://object-naming-amore.upf.edu//2390219_3828160_supercat_unique.png	4	0	[]	2
24461	2371101	2245956	carpet	home	animals_plants	http://object-naming-amore.upf.edu//2371101_2245956_seed_ambiguous.png	4	0	[]	2
502	2346468	2028566	carpet	home	home	http://object-naming-amore.upf.edu//2346468_2028566_supercat_unique.png	4	0	[]	2
7877	2361260	3891247	bed	home	home	http://object-naming-amore.upf.edu//2361260_3891247_singleton_obj.png	4	0	[]	2
21396	2340478	947439	cabinet	home	home	http://object-naming-amore.upf.edu//2340478_947439_supercat_unique.png	4	0	[]	2
24517	2395692	451823	bed	home	home	http://object-naming-amore.upf.edu//2395692_451823_singleton_obj.png	4	0	[]	2
24576	2399829	413426	chair	home	home	http://object-naming-amore.upf.edu//2399829_413426_singleton_obj.png	4	0	[]	2
4197	2395767	451153	beer	food	$centerpiece	http://object-naming-amore.upf.edu//2395767_451153_supercat_unique.png	4	0	[]	2
16276	2386050	684158	overpass	buildings	buildings	http://object-naming-amore.upf.edu//2386050_684158_singleton_obj.png	4	0	[]	2
12544	2348851	1859722	flower	animals_plants	$carrot	http://object-naming-amore.upf.edu//2348851_1859722_singleton_obj.png	4	0	[]	2
