	max_domain	people	clothing	animals_plants	home	food	vehicles	buildings	SUM
$vanity	home	0.00	0.00	0.00	14.23	0.00	0.00	0.00	14.23
$shirts	people	9.83	0.68	0.00	2.47	0.00	0.50	0.68	14.15
$flight	vehicles	0.11	0.00	0.00	0.00	0.00	13.74	0.00	13.85
$cloth	clothing	2.36	5.25	0.52	4.62	0.00	0.11	0.76	13.62
$desktop	home	0.00	0.00	0.00	13.38	0.00	0.00	0.00	13.38
$snakes	food	0.46	0.49	0.60	4.39	7.31	0.00	0.12	13.38
$clock	home	0.00	0.00	0.62	5.66	1.22	0.25	5.51	13.27
$cupboard	home	0.22	0.00	0.53	11.70	0.00	0.00	0.11	12.56
$sky board	people	10.01	0.11	0.72	0.87	0.00	0.33	0.52	12.56
$screen	home	0.40	0.14	0.35	10.77	0.00	0.33	0.54	12.53
$hair	people	9.17	1.51	0.11	1.00	0.00	0.00	0.31	12.10
$kite	vehicles	2.58	0.42	2.07	1.67	0.00	3.25	2.03	12.02
$doll	home	2.18	2.23	1.76	4.85	0.51	0.22	0.14	11.90
$class	people	5.54	1.37	0.14	3.90	0.11	0.69	0.11	11.87
$mug	home	0.20	0.00	0.00	9.64	1.89	0.00	0.00	11.73
$children	people	10.84	0.12	0.11	0.46	0.00	0.11	0.00	11.64
$wing	vehicles	0.00	0.00	0.17	0.11	0.00	11.32	0.00	11.60
$orange	home	0.92	0.58	0.38	6.65	3.02	0.00	0.00	11.54
$soccer player	people	11.12	0.00	0.00	0.22	0.00	0.00	0.20	11.54
$container	home	0.11	0.12	0.00	8.93	1.40	0.46	0.00	11.02
$dessert	food	0.11	0.24	0.12	1.39	8.89	0.00	0.25	11.00
$carrot	home	0.49	0.48	0.90	4.02	3.35	0.68	0.71	10.62
$plat	home	0.60	0.22	0.47	6.40	2.53	0.00	0.33	10.55
$chicken	animals_plants	0.00	0.00	6.18	0.33	3.80	0.20	0.00	10.52
$sea	people	3.51	0.11	2.40	0.31	0.00	3.27	0.88	10.49
$areplane	vehicles	0.00	0.12	0.00	0.00	0.00	10.29	0.00	10.41
$motor bike	vehicles	0.00	0.00	0.00	0.33	0.00	9.45	0.60	10.38
$canopy	buildings	0.00	0.38	0.00	1.21	0.00	0.46	8.29	10.32
$key board	home	0.24	0.11	0.77	9.20	0.00	0.00	0.00	10.32
$umberlla	people	4.26	1.11	0.73	0.95	0.00	0.56	2.72	10.31
$track	vehicles	0.00	0.29	0.00	0.80	0.00	6.87	2.27	10.22
$legs	people	4.86	0.25	0.42	4.38	0.00	0.14	0.00	10.05
$curtains	home	0.00	0.00	0.00	9.80	0.00	0.00	0.25	10.05
$road	buildings	0.14	0.00	0.29	0.45	0.00	2.80	6.34	10.02
$trian	vehicles	0.00	0.00	0.00	0.11	0.00	8.89	0.89	9.89
$sign	buildings	1.52	0.33	0.00	0.27	1.67	0.92	5.12	9.83
$shower curtain	home	0.00	0.00	0.11	9.60	0.00	0.00	0.00	9.71
$hand	home	2.15	3.27	0.00	4.04	0.00	0.12	0.00	9.58
$t shart	people	6.23	1.62	0.14	1.07	0.00	0.24	0.22	9.53
$peak	animals_plants	0.12	0.11	8.31	0.59	0.00	0.17	0.17	9.47
$billow	home	0.47	0.11	0.81	7.92	0.00	0.00	0.11	9.42
$suitcase	home	0.22	0.40	1.03	6.67	0.00	0.49	0.47	9.28
$bad	home	0.24	0.47	1.67	6.84	0.00	0.00	0.00	9.21
$toppings	food	0.00	0.00	0.00	0.25	8.95	0.00	0.00	9.20
$vest	clothing	0.33	8.46	0.00	0.11	0.00	0.00	0.24	9.14
$tyre	vehicles	0.00	0.00	0.00	0.22	0.00	8.63	0.27	9.12
$suit jacket	clothing	0.00	8.96	0.00	0.00	0.00	0.11	0.00	9.07
$lamb	animals_plants	0.00	0.14	7.96	0.71	0.00	0.00	0.12	8.94
$stove	home	0.35	0.00	0.00	7.49	0.00	0.00	1.05	8.90
$leaf	animals_plants	0.14	0.20	3.87	1.18	2.17	0.14	1.12	8.83
$flowerpot	home	0.12	0.00	0.17	8.37	0.00	0.00	0.00	8.67
$camera	people	4.14	1.83	0.45	2.01	0.00	0.00	0.22	8.66
$home	buildings	0.00	0.00	0.00	0.22	0.00	0.25	8.18	8.65
$books	home	0.49	0.11	0.49	7.56	0.00	0.00	0.00	8.65
$fruits	home	1.92	0.22	0.12	5.18	0.60	0.00	0.57	8.61
$rack	home	0.22	0.00	0.00	6.59	0.12	0.12	1.50	8.56
$human	people	8.23	0.12	0.00	0.00	0.00	0.00	0.11	8.47
$electronics	home	0.90	0.00	0.20	6.81	0.25	0.12	0.12	8.41
$brush	home	3.02	1.66	0.59	3.15	0.00	0.00	0.00	8.41
$water	home	0.57	0.56	0.85	3.81	0.00	1.15	1.41	8.36
$mixer	home	0.95	0.00	0.00	7.39	0.00	0.00	0.00	8.34
$sleeveless	people	5.26	1.86	0.00	0.99	0.00	0.00	0.00	8.11
$uniform	clothing	3.10	4.57	0.00	0.17	0.00	0.00	0.25	8.09
$people	people	5.39	0.29	0.00	1.81	0.00	0.11	0.38	7.98
$woodenleg	home	0.11	0.00	0.00	7.34	0.00	0.45	0.00	7.89
$elephant	home	1.29	1.17	0.00	2.25	0.00	1.11	2.08	7.89
$eyeglass	people	6.02	0.47	0.25	0.68	0.00	0.22	0.24	7.89
$steel	home	0.44	0.11	0.71	3.76	0.00	1.62	1.01	7.66
$arm	clothing	1.85	3.39	0.00	2.19	0.00	0.11	0.00	7.55
$jersey	clothing	1.61	5.44	0.00	0.22	0.00	0.00	0.22	7.49
$net	people	3.11	0.11	2.52	0.25	0.12	0.12	1.22	7.47
$dining table	home	0.12	0.00	0.00	7.12	0.00	0.00	0.20	7.45
$sandwhich	food	0.00	0.11	0.12	0.00	7.08	0.11	0.00	7.43
$trin	vehicles	0.00	0.00	0.14	0.22	0.00	6.36	0.67	7.39
$airoplan	vehicles	0.00	0.00	0.00	0.00	0.00	7.23	0.11	7.34
$cover	home	0.84	0.66	0.27	4.09	0.22	0.33	0.90	7.32
$cycle	vehicles	1.90	0.00	0.14	1.36	0.00	1.96	1.86	7.22
$skate	people	5.97	0.00	0.12	0.61	0.00	0.11	0.35	7.16
$sailboat	vehicles	0.00	0.00	0.00	0.00	0.00	7.13	0.00	7.13
$gloves	people	4.60	1.28	0.12	0.54	0.11	0.12	0.35	7.13
$lettuce	food	0.00	0.17	0.14	0.42	6.35	0.00	0.00	7.08
$oven	home	0.00	0.00	0.00	6.22	0.00	0.00	0.75	6.98
$t- shirt	people	3.18	1.91	0.34	0.60	0.00	0.43	0.45	6.92
$gamer	people	6.51	0.00	0.11	0.22	0.00	0.00	0.00	6.84
$roof	buildings	0.11	0.00	0.00	0.46	0.00	0.46	5.78	6.80
$chir	home	0.33	0.00	0.00	6.19	0.12	0.00	0.11	6.76
$foot	home	1.25	0.24	0.42	3.14	1.45	0.12	0.12	6.74
$counter top	home	0.00	0.00	0.00	6.73	0.00	0.00	0.00	6.73
$betl	animals_plants	0.00	0.00	3.05	0.12	0.00	0.81	2.64	6.62
$bathroom sink	home	0.00	0.00	0.00	6.59	0.00	0.00	0.00	6.59
$scatting board	people	5.38	0.12	0.00	0.67	0.00	0.00	0.33	6.51
$t shait	people	3.82	1.27	0.47	0.36	0.00	0.33	0.24	6.49
$eye class	people	4.07	0.44	0.00	1.27	0.12	0.11	0.44	6.46
$tabletop	home	0.00	0.00	0.00	6.19	0.11	0.00	0.12	6.43
$plant	animals_plants	0.11	0.11	4.04	1.04	0.77	0.25	0.11	6.42
$toys	home	1.27	0.59	0.92	3.22	0.00	0.11	0.29	6.39
$frisbee	people	3.07	0.79	1.71	0.43	0.00	0.11	0.29	6.39
$sweatshirt	clothing	0.82	5.55	0.00	0.00	0.00	0.00	0.00	6.37
$giraffes	animals_plants	0.00	0.00	6.31	0.00	0.00	0.00	0.00	6.31
$drink	home	0.22	0.14	0.17	4.48	1.29	0.00	0.00	6.31
$scissor	home	1.40	0.22	0.20	4.31	0.00	0.00	0.12	6.26
$couple	people	5.85	0.38	0.00	0.00	0.00	0.00	0.00	6.22
$cushion	home	0.00	0.35	0.00	5.87	0.00	0.00	0.00	6.22
$bellow	home	0.22	0.00	0.39	5.58	0.00	0.00	0.00	6.19
$grass	animals_plants	0.17	0.00	2.90	1.67	0.00	0.56	0.85	6.14
$knief	home	0.36	0.25	0.00	4.26	1.01	0.20	0.00	6.09
$dock	buildings	0.00	0.00	0.00	0.11	0.00	0.99	4.96	6.06
$sing	home	0.00	0.00	0.00	5.92	0.00	0.11	0.00	6.03
$tye	clothing	1.42	4.23	0.12	0.12	0.00	0.11	0.00	6.01
$sitting bench	home	0.00	0.00	0.12	5.74	0.00	0.12	0.00	5.99
$eye glass	people	4.13	0.82	0.00	0.64	0.00	0.11	0.14	5.85
$awning	buildings	0.00	0.38	0.00	0.00	0.00	0.00	5.42	5.79
$shoes	people	2.15	0.75	0.64	2.11	0.00	0.11	0.00	5.76
$television	home	0.00	0.00	1.06	3.97	0.00	0.00	0.72	5.75
$bath tub	home	0.00	0.00	0.00	5.74	0.00	0.00	0.00	5.74
$hoodie	clothing	0.46	5.27	0.00	0.00	0.00	0.00	0.00	5.72
$wash basin	home	0.00	0.00	0.29	5.41	0.00	0.00	0.00	5.69
$basket	home	0.12	1.31	0.50	2.53	0.95	0.28	0.00	5.69
$display	home	0.11	0.00	0.00	5.31	0.22	0.00	0.00	5.64
$poel	buildings	0.11	0.11	0.45	0.42	0.00	1.71	2.75	5.55
$snow	people	1.86	0.74	1.34	0.00	0.00	0.22	1.37	5.53
$monitor	home	0.22	0.00	0.00	5.08	0.00	0.22	0.00	5.52
$kitchen counter	home	0.00	0.00	0.00	5.43	0.00	0.00	0.00	5.43
$donuts	food	0.00	0.00	0.00	2.48	2.95	0.00	0.00	5.43
$train car	vehicles	0.00	0.00	0.00	0.00	0.00	5.29	0.00	5.29
$gate	animals_plants	0.11	0.00	2.96	0.49	0.00	0.35	1.33	5.24
$stone	animals_plants	0.00	0.00	2.95	1.13	0.00	0.53	0.61	5.23
$scissors	home	1.13	0.24	0.00	3.77	0.00	0.00	0.00	5.13
$kye board	home	0.00	0.00	0.71	4.40	0.00	0.00	0.00	5.12
$kitten	animals_plants	0.00	0.00	5.09	0.00	0.00	0.00	0.00	5.09
$helmate	people	3.61	0.22	0.22	0.25	0.00	0.11	0.68	5.09
$fries	food	1.80	0.00	0.11	1.10	1.84	0.22	0.00	5.07
$air plane	vehicles	0.00	0.00	0.00	0.11	0.00	4.90	0.00	5.01
$chain	people	1.46	1.41	1.24	0.35	0.00	0.22	0.22	4.90
$pier	buildings	0.00	0.00	0.00	0.70	0.00	0.35	3.83	4.88
$shorts	people	3.44	0.00	0.11	0.69	0.00	0.11	0.50	4.86
$train engine	vehicles	0.00	0.11	0.00	0.12	0.00	4.60	0.00	4.84
$cattle	animals_plants	0.00	0.00	4.61	0.00	0.00	0.00	0.20	4.81
$mattress	home	0.00	0.00	0.00	4.81	0.00	0.00	0.00	4.81
$subway	vehicles	0.00	0.00	0.00	0.00	0.00	4.58	0.22	4.80
$tress	people	2.12	1.72	0.00	0.78	0.00	0.00	0.11	4.74
$sunglass	people	3.89	0.49	0.12	0.00	0.00	0.00	0.12	4.63
$store	buildings	0.00	0.00	0.00	0.25	0.20	0.28	3.89	4.61
$bananas	home	0.00	0.28	1.01	2.27	0.17	0.48	0.40	4.61
$onion	food	0.00	0.00	0.00	0.93	3.33	0.22	0.12	4.61
$towel	home	0.92	0.97	0.14	2.30	0.11	0.12	0.00	4.57
$trailer	vehicles	0.00	0.00	0.00	0.00	0.12	4.19	0.11	4.43
$pool	home	0.33	0.29	0.12	1.58	0.00	0.64	1.46	4.42
$apples	food	0.00	0.00	0.00	0.81	3.51	0.00	0.00	4.32
$show	people	3.31	0.00	0.12	0.86	0.00	0.00	0.00	4.30
$face	people	3.09	0.24	0.34	0.49	0.11	0.00	0.00	4.26
$ostrich	animals_plants	0.00	0.00	4.22	0.00	0.00	0.00	0.00	4.22
$chairs	home	0.00	0.00	0.00	3.82	0.00	0.24	0.17	4.22
$tower	buildings	0.00	0.00	0.33	0.47	0.00	0.58	2.80	4.19
$teenager	people	4.16	0.00	0.00	0.00	0.00	0.00	0.00	4.16
$ram	animals_plants	0.00	0.00	4.10	0.00	0.00	0.00	0.00	4.10
$horses	animals_plants	0.00	0.00	3.83	0.00	0.00	0.00	0.25	4.08
$scatting	people	3.10	0.11	0.20	0.51	0.00	0.00	0.14	4.07
$latin	home	0.00	0.14	0.20	3.70	0.00	0.00	0.00	4.04
$t sheart	people	2.37	0.78	0.00	0.67	0.00	0.00	0.22	4.04
$controller	home	1.37	0.44	0.14	2.05	0.00	0.00	0.00	4.02
$racket	people	3.78	0.22	0.00	0.00	0.00	0.00	0.00	4.01
$food truck	vehicles	0.00	0.22	0.00	0.00	0.00	3.62	0.17	4.01
$bathtube	home	0.00	0.12	0.56	3.28	0.00	0.00	0.00	3.97
$tram	vehicles	0.00	0.00	0.00	0.00	0.00	3.96	0.00	3.96
$sand	animals_plants	1.42	0.00	1.69	0.33	0.11	0.11	0.28	3.93
$buillow	home	0.12	0.00	0.00	3.69	0.00	0.11	0.00	3.92
$banch	home	0.22	0.00	0.12	3.44	0.00	0.00	0.12	3.91
$street	buildings	0.00	0.00	0.20	0.11	0.00	1.28	2.31	3.90
$trains	vehicles	0.00	0.00	0.00	0.00	0.00	3.77	0.12	3.90
$male	people	3.64	0.11	0.00	0.00	0.00	0.00	0.11	3.86
$ramp	home	0.00	0.17	0.62	2.53	0.00	0.00	0.52	3.84
$pizza slice	food	0.00	0.00	0.00	0.11	3.71	0.00	0.00	3.83
$fileds	animals_plants	0.11	0.34	3.25	0.00	0.00	0.11	0.00	3.82
$plain	vehicles	0.00	0.00	0.00	0.11	0.00	3.68	0.00	3.79
$flower vase	home	0.00	0.00	0.77	3.01	0.00	0.00	0.00	3.78
$shop	buildings	0.11	0.00	0.11	1.03	0.00	0.22	2.28	3.75
$moter bike	vehicles	0.11	0.00	0.00	0.22	0.00	3.41	0.00	3.74
$firetruck	vehicles	0.00	0.00	0.00	0.00	0.36	3.37	0.00	3.73
$bedcover	home	0.00	0.00	0.00	3.72	0.00	0.00	0.00	3.72
$steer	animals_plants	0.00	0.00	3.72	0.00	0.00	0.00	0.00	3.72
$donkey	animals_plants	0.00	0.00	3.46	0.00	0.00	0.00	0.25	3.71
$luggage	home	0.33	0.36	0.00	2.45	0.00	0.33	0.24	3.71
$meal	home	0.00	0.00	0.25	2.32	1.13	0.00	0.00	3.71
$bar	home	0.00	0.12	0.00	3.22	0.00	0.00	0.36	3.70
$tap	home	0.00	0.36	0.14	3.08	0.00	0.00	0.11	3.70
$curton	home	0.00	0.00	0.00	3.68	0.00	0.00	0.00	3.68
$tables	home	0.00	0.00	0.00	3.09	0.00	0.00	0.60	3.68
$umpire	people	3.56	0.00	0.00	0.00	0.00	0.00	0.11	3.67
$tissue paper	food	0.12	0.50	0.12	0.57	2.33	0.00	0.00	3.65
$pizza toppings	food	0.00	0.00	0.00	0.00	3.64	0.00	0.00	3.64
$sun glass	people	2.71	0.33	0.14	0.00	0.00	0.33	0.12	3.64
$ring	clothing	1.05	1.60	0.28	0.58	0.11	0.00	0.00	3.63
$birds	animals_plants	0.00	0.00	3.45	0.17	0.00	0.00	0.00	3.61
$tuxedo	clothing	0.00	3.60	0.00	0.00	0.00	0.00	0.00	3.60
$sweet	food	0.50	0.24	0.00	0.73	1.77	0.00	0.33	3.57
$cars	vehicles	0.00	0.12	0.00	0.00	0.00	3.32	0.11	3.56
$ground	buildings	0.24	0.00	0.56	1.09	0.00	0.51	1.12	3.52
$trine	vehicles	0.14	0.00	0.00	0.11	0.00	3.12	0.14	3.52
$meter	vehicles	0.46	0.40	0.12	0.14	0.00	2.16	0.22	3.50
$cellphone	people	1.55	0.22	0.00	1.32	0.12	0.00	0.25	3.48
$caboard	home	0.00	0.00	0.14	3.17	0.00	0.14	0.00	3.46
$fridge	home	0.67	0.00	0.00	2.67	0.11	0.00	0.00	3.45
$flower pot	animals_plants	0.12	0.00	1.70	1.36	0.00	0.11	0.12	3.42
$lap top	home	0.87	0.00	0.38	2.17	0.00	0.00	0.00	3.42
$motor	vehicles	0.00	0.00	0.00	0.14	0.00	2.89	0.38	3.41
$teddy bear	home	0.71	0.24	0.64	1.70	0.12	0.00	0.00	3.41
$hands	people	1.84	0.93	0.00	0.40	0.12	0.00	0.00	3.29
$jeans	people	2.15	0.00	0.00	1.12	0.00	0.00	0.00	3.27
$handle	home	0.00	0.00	0.00	3.04	0.00	0.22	0.00	3.27
$eyeglases	people	2.63	0.35	0.00	0.29	0.00	0.00	0.00	3.26
$bicycle	vehicles	0.56	0.00	0.00	0.44	0.00	1.65	0.59	3.24
$railing	buildings	0.00	0.00	0.00	0.55	0.00	0.53	2.13	3.21
$mirrer	vehicles	0.00	0.00	0.69	0.24	0.00	1.56	0.72	3.20
$cutting board	home	0.11	0.00	0.00	2.74	0.35	0.00	0.00	3.19
$locomotive	vehicles	0.00	0.11	0.00	0.11	0.00	2.97	0.00	3.19
$motarbike	vehicles	0.00	0.00	0.00	0.11	0.25	2.58	0.25	3.19
$calf	animals_plants	0.00	0.00	3.14	0.00	0.00	0.00	0.00	3.14
$raft	vehicles	0.00	0.00	0.00	0.11	0.00	3.03	0.00	3.14
$drapes	home	0.00	0.00	0.00	3.14	0.00	0.00	0.00	3.14
$frisbee player	people	3.14	0.00	0.00	0.00	0.00	0.00	0.00	3.14
$horn	animals_plants	0.00	0.00	3.02	0.00	0.00	0.11	0.00	3.13
$stuffed animal	animals_plants	0.24	0.44	1.62	0.69	0.12	0.00	0.00	3.12
$system	home	0.11	0.00	0.00	3.00	0.00	0.00	0.00	3.11
$living room	home	0.00	0.00	0.29	2.82	0.00	0.00	0.00	3.10
$wine glass	home	0.68	0.89	0.00	1.38	0.14	0.00	0.00	3.09
$toothbrush	people	1.42	0.84	0.00	0.82	0.00	0.00	0.00	3.08
$sidewalk	buildings	0.00	0.71	0.00	0.41	0.00	0.33	1.61	3.06
$hot bun	food	0.14	0.11	0.00	0.14	2.65	0.00	0.00	3.05
$skate boarder	people	2.78	0.00	0.00	0.00	0.00	0.00	0.25	3.03
$teddy	home	0.24	0.33	0.35	1.97	0.11	0.00	0.00	3.00
$dashboard	vehicles	0.00	1.00	0.00	0.38	0.00	1.62	0.00	3.00
$clothes	clothing	0.86	1.50	0.00	0.61	0.00	0.00	0.00	2.98
$birts	animals_plants	0.00	0.00	2.96	0.00	0.00	0.00	0.00	2.96
$labtop	home	0.40	0.00	0.29	2.26	0.00	0.00	0.00	2.96
$mobilephone	people	1.79	0.36	0.00	0.58	0.00	0.00	0.22	2.95
$spinach	food	0.00	0.00	0.14	0.79	2.02	0.00	0.00	2.95
$dinner	home	0.00	0.00	0.11	1.85	0.94	0.00	0.00	2.91
$short	people	1.92	0.00	0.00	0.47	0.00	0.12	0.38	2.90
$carrots	home	0.00	0.00	0.00	1.61	1.03	0.00	0.22	2.86
$skate board	people	2.63	0.00	0.00	0.12	0.00	0.11	0.00	2.86
$train track	vehicles	0.00	0.00	0.00	0.12	0.00	2.03	0.71	2.86
$planter	home	0.00	0.00	0.00	2.85	0.00	0.00	0.00	2.85
$egg	food	0.00	0.00	0.00	0.82	1.99	0.00	0.00	2.82
$dam	buildings	0.00	0.00	0.25	0.00	0.00	0.11	2.44	2.80
$church	buildings	0.00	0.00	0.00	0.25	0.00	0.00	2.54	2.79
$crust	food	0.00	0.00	0.00	0.46	2.33	0.00	0.00	2.79
$noodles	food	0.00	0.25	0.00	0.51	2.02	0.00	0.00	2.78
$leg	people	1.64	0.11	0.00	1.00	0.00	0.00	0.00	2.76
$clothing	clothing	0.35	1.80	0.00	0.61	0.00	0.00	0.00	2.76
$bet	home	0.11	0.00	0.00	2.53	0.00	0.00	0.11	2.75
$washbasin	home	0.00	0.00	0.00	2.74	0.00	0.00	0.00	2.74
$carriage	vehicles	0.00	0.00	0.70	0.62	0.00	1.40	0.00	2.73
$knob	home	0.00	0.00	0.00	2.61	0.00	0.00	0.11	2.73
$walkway	buildings	0.00	0.20	0.00	0.45	0.00	0.00	2.07	2.72
$sports dress	people	2.14	0.00	0.00	0.24	0.00	0.11	0.24	2.72
$sausage	food	0.33	0.00	0.33	0.00	1.90	0.00	0.12	2.69
$entertainment center	home	0.00	0.00	0.00	2.65	0.00	0.00	0.00	2.65
$juicer	home	0.22	0.00	0.00	2.42	0.00	0.00	0.00	2.64
$sun class	people	2.29	0.00	0.00	0.11	0.00	0.11	0.12	2.64
$pancakes	food	0.00	0.00	0.00	0.25	2.39	0.00	0.00	2.64
$snowboard	home	1.01	0.00	0.00	1.26	0.00	0.17	0.20	2.64
$oxen	animals_plants	0.00	0.00	2.61	0.00	0.00	0.00	0.00	2.61
$room	buildings	0.00	0.00	0.25	0.00	0.00	0.00	2.36	2.61
$scarf	clothing	0.22	2.37	0.00	0.00	0.00	0.00	0.00	2.60
$t-shirts	people	1.68	0.67	0.00	0.00	0.00	0.00	0.22	2.57
