,index,image,object,name,correct1,correct2,correct3,image_url,control_type,rating,type,same_color,reliable1,reliable2,control_type_trimmed
27,27,2316735,3170310,tea pot,,,,http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['pot', 'tea pot'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot'], ['pot', 'tea pot'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot']]",False,False,
28,28,2316735,3170310,toy,,,,http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png,,"[0, 2, 1, 1]","[nan, 'visual', 'visual', 'visual']","[['toy'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot'], ['toy'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot']]",False,False,
29,29,2317878,3397383,cake,,,1.0,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,,"[2, 2, 0, 2]","['bounding box', 'bounding box', nan, 'bounding box']","[['cake'], ['cake'], ['cake'], ['cake']]",False,False,
30,30,2317878,3397383,person,,,,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['woman', 'person'], ['woman', 'person'], ['t-shirt', 't-shhirt', 'shirt', 'woman', 'person'], ['woman', 'person']]",False,False,
31,31,2317878,3397383,shirt,,,,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,,"[1, 0, 0, 0]","['bounding box', nan, nan, nan]","[['t-shirt', 't-shhirt', 'shirt'], ['t-shirt', 'shirt'], ['t-shirt', 't-shhirt', 'shirt', 'woman', 'person'], ['t-shirt', 't-shhirt', 'shirt']]",False,False,
32,32,2317878,3397383,t-shhirt,1.0,0.75,,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,typo-t-shirt,"[2, 2, 2, 1]","['bounding box', 'linguistic', 'linguistic', 'linguistic']","[['t-shirt', 't-shhirt', 'shirt'], ['t-shhirt'], ['t-shirt', 't-shhirt', 'shirt', 'woman', 'person'], ['t-shirt', 't-shhirt', 'shirt']]",True,True,typo
33,33,2317878,3397383,t-shirt,,,,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,,"[1, 2, 0, 0]","['bounding box', 'visual', nan, nan]","[['t-shirt', 't-shhirt', 'shirt'], ['t-shirt', 'shirt'], ['t-shirt', 't-shhirt', 'shirt', 'woman', 'person'], ['t-shirt', 't-shhirt', 'shirt']]",False,False,
34,34,2317878,3397383,woman,,,,http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png,,"[0, 0, 2, 0]","[nan, nan, 'linguistic', nan]","[['woman', 'person'], ['woman', 'person'], ['t-shirt', 't-shhirt', 'shirt', 'woman', 'person'], ['woman', 'person']]",False,False,
35,35,2318524,1009820,airplane,0.75,1.0,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,syn-plane,"[1, 1, 1, 2]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['plane', 'airplane'], ['plane', 'airplane'], ['plane', 'airplane'], ['plane', 'airplane']]",True,True,syn
36,36,2318524,1009820,airport,,,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[1, 0, 1, 0]","['linguistic', nan, 'visual', nan]","[['airport'], ['airport'], ['airport'], ['ground', 'tarmac', 'airport', 'runway', 'road']]",False,False,
37,37,2318524,1009820,ground,,,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[1, 1, 0, 1]","['linguistic', 'bounding box', nan, 'bounding box']","[['ground', 'tarmac', 'runway', 'road'], ['ground', 'tarmac', 'runway', 'road'], ['ground'], ['ground', 'tarmac', 'airport', 'runway', 'road']]",False,False,
38,38,2318524,1009820,plane,,,1.0,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[1, 1, 1, 2]","['bounding box', 'bounding box', 'visual', 'bounding box']","[['plane', 'airplane'], ['plane', 'airplane'], ['plane', 'airplane'], ['plane', 'airplane']]",False,False,
39,39,2318524,1009820,plier,0.75,1.0,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,random,"[2, 2, 2, 2]","['other', 'other', 'bounding box', 'other']","[['plier'], ['plier'], ['plier'], ['plier']]",True,True,random
40,40,2318524,1009820,road,,,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[0, 1, 0, 0]","[nan, 'visual', nan, nan]","[['ground', 'tarmac', 'runway', 'road'], ['ground', 'tarmac', 'runway', 'road'], ['road'], ['ground', 'tarmac', 'airport', 'runway', 'road']]",False,False,
41,41,2318524,1009820,runway,,,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[0, 1, 0, 0]","[nan, 'visual', nan, nan]","[['ground', 'tarmac', 'runway', 'road'], ['ground', 'tarmac', 'runway', 'road'], ['tarmac', 'runway'], ['ground', 'tarmac', 'airport', 'runway', 'road']]",False,False,
42,42,2318524,1009820,tarmac,,,,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,,"[0, 1, 0, 0]","[nan, 'bounding box', nan, nan]","[['ground', 'tarmac', 'runway', 'road'], ['ground', 'tarmac', 'runway', 'road'], ['tarmac', 'runway'], ['ground', 'tarmac', 'airport', 'runway', 'road']]",False,False,
43,43,2319937,3324134,cake,,,1.0,http://object-naming-amore.upf.edu//2319937_3324134_supercat_unique.png,,"[0, 2, 1, 2]","[nan, 'bounding box', 'bounding box', 'visual']","[['cake', 'donut'], ['cake'], ['cake', 'donut'], ['cake']]",False,False,
44,44,2319937,3324134,donut,1.0,,,http://object-naming-amore.upf.edu//2319937_3324134_supercat_unique.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['cake', 'donut'], ['donut', 'dummy'], ['cake', 'donut'], ['donut']]",True,False,vg_majority
45,45,2319937,3324134,dummy,1.0,0.75,,http://object-naming-amore.upf.edu//2319937_3324134_supercat_unique.png,random,"[2, 2, 2, 2]","['other', 'other', 'other', 'other']","[['dummy'], ['donut', 'dummy'], ['dummy'], ['dummy']]",True,True,random
46,46,2320396,2886637,food,,,,http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png,,"[0, 1, 1, 1]","[nan, 'bounding box', 'bounding box', 'visual']","[['food', 'pickle'], ['food'], ['food', 'pickle'], ['half', 'food', 'pickle']]",False,False,
47,47,2320396,2886637,half,0.75,0.75,,http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png,alternative,"[2, 2, 2, 2]","['bounding box', 'visual', 'other', 'other']","[['half'], ['half'], ['half'], ['half', 'food', 'pickle']]",True,True,alternative
48,48,2320396,2886637,pickle,1.0,,,http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['food', 'pickle'], ['pickle'], ['food', 'pickle'], ['half', 'food', 'pickle']]",True,False,vg_majority
49,49,2320396,2886637,plate,,,1.0,http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png,,"[1, 1, 2, 2]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['plate'], ['plate'], ['plate'], ['plate']]",False,False,
50,50,2321774,2970221,cehese,1.0,1.0,,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,typo-cheese,"[1, 1, 1, 1]","['linguistic', 'linguistic', 'linguistic', 'linguistic']","[['cheese', 'cehese'], ['cheese', 'cehese'], ['cheese', 'food', 'cehese'], ['cheese', 'cehese']]",True,True,typo
51,51,2321774,2970221,cheese,1.0,,,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['cheese', 'cehese'], ['cheese', 'cehese'], ['cheese', 'food', 'cehese'], ['cheese', 'cehese']]",True,False,vg_majority
52,52,2321774,2970221,food,,,,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,,"[1, 0, 0, 0]","['bounding box', nan, nan, nan]","[['pizza', 'pie', 'food'], ['food'], ['cheese', 'food', 'cehese'], ['macaroni', 'food']]",False,False,
53,53,2321774,2970221,macaroni,,,0.0,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,,"[1, 0, 0, 2]","['bounding box', nan, nan, 'bounding box']","[['macaroni'], ['macaroni'], ['macaroni'], ['macaroni', 'food']]",False,False,
54,54,2321774,2970221,pie,,,1.0,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,,"[1, 1, 1, 2]","['bounding box', 'visual', 'visual', 'bounding box']","[['pizza', 'pie', 'food'], ['pie'], ['pizza', 'pie'], ['pizza', 'pie']]",False,False,
55,55,2321774,2970221,pizza,,,1.0,http://object-naming-amore.upf.edu//2321774_2970221_singleton_obj.png,,"[1, 1, 1, 2]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['pizza', 'pie', 'food'], ['pizza'], ['pizza', 'pie'], ['pizza', 'pie']]",False,False,
56,56,2322040,3572674,building,,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[1, 0, 0, 0]","['bounding box', nan, nan, nan]","[['building'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant']]",False,False,
57,57,2322040,3572674,cycle,,,1.0,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[1, 2, 2, 1]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['cycle'], ['wheel', 'cycle'], ['cycle'], ['cycle']]",False,False,
58,58,2322040,3572674,restaurant,,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant']]",False,False,
59,59,2322040,3572674,store,,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[1, 0, 0, 0]","['visual', nan, nan, nan]","[['store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant']]",False,False,
60,60,2322040,3572674,store front,,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[0, 1, 0, 0]","[nan, 'linguistic', nan, nan]","[['store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant']]",False,False,
61,61,2322040,3572674,storefront,,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant'], ['building', 'store', 'store front', 'storefront', 'restaurant']]",False,False,
62,62,2322040,3572674,wheel,1.0,0.25,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,syn-cycle,"[1, 2, 2, 1]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['wheel'], ['wheel', 'cycle'], ['wheel'], ['wheel']]",True,False,syn
63,63,2322040,3572674,window,0.75,,,http://object-naming-amore.upf.edu//2322040_3572674_singleton_obj.png,alternative,"[1, 2, 2, 0]","['bounding box', 'bounding box', 'bounding box', nan]","[['window'], ['window'], ['window'], ['window']]",True,False,alternative
64,64,2323738,2709711,axis,0.0,0.75,,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,random,"[2, 2, 2, 1]","['visual', 'visual', 'visual', 'bounding box']","[['axis'], ['axis'], ['wheel', 'axis'], ['axis']]",False,True,random
65,65,2323738,2709711,bike,,,,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike'], ['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike']]",False,False,
66,66,2323738,2709711,motorbike,1.0,1.0,,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,syn-motorcycle,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike'], ['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike']]",True,True,syn
67,67,2323738,2709711,motorcycle,,,,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike'], ['bike', 'motorcycle', 'motorbike'], ['bike', 'motorcycle', 'vehicles', 'motorbike']]",False,False,
68,68,2323738,2709711,vehicles,,,1.0,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,,"[0, 0, 2, 0]","[nan, nan, 'bounding box', nan]","[['vehicles'], ['bike', 'motorcycle', 'vehicles', 'motorbike'], ['vehicles'], ['bike', 'motorcycle', 'vehicles', 'motorbike']]",False,False,
69,69,2323738,2709711,wheel,,,1.0,http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png,,"[1, 1, 2, 1]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['wheel'], ['wheel'], ['wheel', 'axis'], ['wheel']]",False,False,
70,70,2331689,2749423,baseball,,,1.0,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,,"[1, 2, 2, 0]","['bounding box', 'bounding box', 'bounding box', nan]","[['baseball'], ['baseball'], ['baseball'], ['baseball']]",False,False,
71,71,2331689,2749423,batter,,,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player']]",False,False,
72,72,2331689,2749423,boy,1.0,,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['boy', 'kid', 'child']]",True,False,vg_majority
73,73,2331689,2749423,child,,,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['boy', 'kid', 'child']]",False,False,
74,74,2331689,2749423,inlet,0.5,1.0,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,random,"[2, 2, 2, 2]","['other', 'other', 'visual', 'visual']","[['inlet'], ['inlet'], ['inlet'], ['inlet']]",True,True,random
75,75,2331689,2749423,kid,1.0,1.0,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,syn-child,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['boy', 'kid', 'child']]",True,True,syn
76,76,2331689,2749423,player,,,,http://object-naming-amore.upf.edu//2331689_2749423_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player', 'boy', 'kid', 'child'], ['batter', 'player']]",False,False,
77,77,2331870,971185,cheese,,,1.0,http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png,,"[2, 2, 0, 2]","['visual', 'visual', nan, 'bounding box']","[['cheese'], ['cheese'], ['cheese', 'pizza', 'slice'], ['cheese']]",False,False,
78,78,2331870,971185,pizza,,,,http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['pizza', 'slice'], ['pizza', 'slice'], ['cheese', 'pizza', 'slice'], ['pizza', 'slice']]",False,False,
79,79,2331870,971185,slice,,,,http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['pizza', 'slice'], ['pizza', 'slice'], ['cheese', 'pizza', 'slice'], ['pizza', 'slice']]",False,False,
80,80,2331870,971185,wall,0.25,,,http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png,alternative,"[2, 2, 2, 2]","['visual', 'visual', 'linguistic', 'bounding box']","[['wall'], ['wall'], ['wall'], ['wall']]",False,False,alternative
81,81,2332361,3504470,dress shirt,,,,http://object-naming-amore.upf.edu//2332361_3504470_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['shirt', 'dress shirt'], ['shirt', 'dress shirt'], ['shirt', 'dress shirt'], ['shirt', 'dress shirt']]",False,False,
82,82,2332361,3504470,head,1.0,1.0,,http://object-naming-amore.upf.edu//2332361_3504470_singleton_obj.png,alternative,"[1, 1, 2, 2]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['head'], ['head'], ['head'], ['head']]",True,True,alternative
83,83,2332361,3504470,scarf,,,1.0,http://object-naming-amore.upf.edu//2332361_3504470_singleton_obj.png,,"[1, 1, 2, 1]","['bounding box', 'bounding box', 'bounding box', 'visual']","[['scarf', 'tie'], ['scarf', 'tie'], ['scarf', 'tie'], ['scarf', 'tie']]",False,False,
