assignmentid,rating_mean,color_mean,correct1_count,correct1_sum,correct2_count,correct2_sum,correct3_count,correct3_sum,correct3_<lambda>,control_score,control_score-filtered,n_controls,n_correct,hitid,requesterannotation,control_score_mturk,workerid,errors_mturk,n_controls_mturk,n_correct_mturk,decision1,decision2,executed1,executed2,explanation,mistakes,n_mistakes
3QEMNNSB2XZ5HOAEIAZNCQR0KUQD72,1.2702702702702702,1.3243243243243243,9,8.0,4,4.0,8,8.0,"[1.0, 1.0, nan, nan, 1.0, nan, 1.0, 1.0, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan]",0.9523809523809523,0.9523809523809523,21,20.0,33KGGVH24UH2IO20USEPH37RVXWX1K,../1_pre-pilot/verification_pilot_amt.csv_20,0.9523809523809523,worker23,['3-0-alt1'],21,20,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2343601_921827_singleton_obj.png - placemat - alternative: visual'],1
3VHHR074H3HOF0Y6VRXBV3Z5T2EL7A,0.8108108108108109,0.6756756756756757,9,9.0,4,4.0,6,6.0,"[nan, nan, nan, 1.0, nan, nan, 1.0, nan, 1.0, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan]",1.0,1.0,19,19.0,33KGGVH24UH2IO20USEPH37RVXWX1K,../1_pre-pilot/verification_pilot_amt.csv_20,1.0,worker6,[''],19,19,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
35L9RVQFCOIORFRCHEBOD3KIKXCHUD,0.7297297297297297,0.2972972972972973,9,9.0,5,4.0,2,2.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan]",0.9375,0.9375,16,15.0,39TX062QX1OYSRGFHWS85WMOTHAX3C,../1_pre-pilot/verification_pilot_amt.csv_27,0.9375,worker20,['1-3-alt2'],16,15,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png - half - alternative: ['half', 'food', 'pickle']""]",1
39ZSFO5CA8WKILM25EE9PG0XXO1UJE,1.0,0.13513513513513514,9,9.0,5,5.0,4,4.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, 1.0, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,18,18.0,39TX062QX1OYSRGFHWS85WMOTHAX3C,../1_pre-pilot/verification_pilot_amt.csv_27,1.0,worker16,[''],18,18,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3L4D84MILZSFDZGI5F7A61B73HNHJQ,0.5945945945945946,0.2702702702702703,8,8.0,5,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,13,13.0,39TX062QX1OYSRGFHWS85WMOTHAX3C,../1_pre-pilot/verification_pilot_amt.csv_27,1.0,worker2,[''],13,13,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3LJ7UR74RHDHKDJ856FJ5JJK7WM4NB,0.7567567567567568,0.43243243243243246,9,8.0,5,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9285714285714286,0.9285714285714286,14,13.0,39TX062QX1OYSRGFHWS85WMOTHAX3C,../1_pre-pilot/verification_pilot_amt.csv_27,0.9285714285714286,worker5,['1-3-alt1'],14,13,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2320396_2886637_supercat_ambiguous.png - half - alternative: visual'],1
31T4R4OBOSGVCW40IE4CSK9IZUE7CW,0.16216216216216217,0.3783783783783784,11,8.0,7,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8333333333333334,0.9333333333333333,18,15.0,3K8CQCU3KE1Q7V4ZPAG1CR6NPWVWNY,../1_pre-pilot/verification_pilot_amt.csv_17,0.8333333333333334,worker1,"['2-1-rand1', '3-6-alt0', '4-6-rand0']",18,15,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2356773_2359404_singleton_obj.png - wool - random: 0', 'http://object-naming-amore.upf.edu//2411688_3566937_supercat_unique.png - advertisement - alternative: 0', 'http://object-naming-amore.upf.edu//2380172_1349791_singleton_obj.png - ragtop - random: visual']",3
33PPUNGG385I28ZPJ6MQ8Z139MKZR8,0.7297297297297297,0.5405405405405406,11,7.0,7,7.0,7,7.0,"[1.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, nan, nan, 1.0, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan]",0.84,0.9545454545454546,25,21.0,3K8CQCU3KE1Q7V4ZPAG1CR6NPWVWNY,../1_pre-pilot/verification_pilot_amt.csv_17,0.84,worker15,"['0-2-typo-airplane0', '2-1-rand1', '4-6-rand1', '5-4-typo-skateboarder0']",25,21,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2356773_2359404_singleton_obj.png - wool - random: bounding box', 'http://object-naming-amore.upf.edu//2384461_1309085_supercat_ambiguous.png - skteboarder - typo-skateboarder: 0', 'http://object-naming-amore.upf.edu//2410999_3814271_singleton_obj.png - akrplane - typo-airplane: 0', 'http://object-naming-amore.upf.edu//2380172_1349791_singleton_obj.png - ragtop - random: bounding box']",4
3M23Y66PO27SFDFRWQPK1BD4QPLS6N,0.21621621621621623,1.2972972972972974,11,7.0,7,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.6666666666666666,0.8,18,12.0,3K8CQCU3KE1Q7V4ZPAG1CR6NPWVWNY,../1_pre-pilot/verification_pilot_amt.csv_17,0.6666666666666667,worker19,"['1-1-bold-couch1', '2-1-rand1', '3-6-alt0', '4-6-rand1', '4-6-1-rand2', '5-4-typo-skateboarder0']",18,12,approve,block,False,False,"good enough assignment, blocked because low average quality","['http://object-naming-amore.upf.edu//2356773_2359404_singleton_obj.png - wool - random: visual', 'http://object-naming-amore.upf.edu//2411688_3566937_supercat_unique.png - advertisement - alternative: 0', 'http://object-naming-amore.upf.edu//2384461_1309085_supercat_ambiguous.png - skteboarder - typo-skateboarder: 0', 'http://object-naming-amore.upf.edu//2380172_1349791_singleton_obj.png - ragtop - random: visual', ""http://object-naming-amore.upf.edu//2356773_2359404_singleton_obj.png - wool - random: ['wool', 'sheep']"", ""http://object-naming-amore.upf.edu//2397454_434022_supercat_unique.png - sofa - syn-couch: ['sofa']""]",6
3WS1NTTKEYCOXXOQOH94LBKYOU0F0H,0.8108108108108109,5.324324324324325,11,8.0,7,6.0,8,8.0,"[1.0, 1.0, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, 1.0, 1.0, nan, nan, nan, 1.0, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan]",0.8461538461538461,0.9130434782608695,26,22.0,3K8CQCU3KE1Q7V4ZPAG1CR6NPWVWNY,../1_pre-pilot/verification_pilot_amt.csv_17,0.8461538461538461,worker21,"['1-2-rand1', '1-2-0-rand2', '4-6-rand1', '5-4-typo-skateboarder0']",26,22,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2356773_2359404_singleton_obj.png - wool - random: linguistic', 'http://object-naming-amore.upf.edu//2384461_1309085_supercat_ambiguous.png - skteboarder - typo-skateboarder: 0', 'http://object-naming-amore.upf.edu//2397454_434022_supercat_unique.png - styrup - random: linguistic', ""http://object-naming-amore.upf.edu//2397454_434022_supercat_unique.png - styrup - random: ['styrup', 'laptop']""]",4
3CFJTT4SXTQMPZQ0AO0Y3N7DCY87I6,0.5135135135135135,0.40540540540540543,10,9.0,7,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8823529411764706,0.875,17,15.0,3M67TQBQQHO8BGX2NV14C1ECSPC9A4,../1_pre-pilot/verification_pilot_amt.csv_22,0.8823529411764706,worker13,"['1-1-0-rand2', '5-8-rand1']",17,15,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2348839_2323377_singleton_obj.png - plywood - random: visual', ""http://object-naming-amore.upf.edu//2390965_1245423_supercat_unique.png - biscuit - random: ['biscuit', 'plate']""]",2
3J88R45B2GY8L0JV5WUG6JLD05BPXO,0.9459459459459459,0.35135135135135137,10,9.0,7,6.0,4,4.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, 1.0, nan]",0.9047619047619048,0.95,21,19.0,3M67TQBQQHO8BGX2NV14C1ECSPC9A4,../1_pre-pilot/verification_pilot_amt.csv_22,0.9047619047619048,worker15,"['1-1-rand1', '5-8-0-rand2']",21,19,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2390965_1245423_supercat_unique.png - biscuit - random: bounding box', ""http://object-naming-amore.upf.edu//2348839_2323377_singleton_obj.png - plywood - random: ['cake', 'plywood', 'biscuit', 'bun', 'bread', 'sandwich', 'bagel dog', 'food', 'hotdog', 'pastry']""]",2
3XLBSAQ9Z4C8KPFAASOK3IA38BGZ71,0.7027027027027027,2.2972972972972974,10,7.0,7,6.0,1,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan]",0.7777777777777778,0.8235294117647058,18,14.0,3M67TQBQQHO8BGX2NV14C1ECSPC9A4,../1_pre-pilot/verification_pilot_amt.csv_22,0.7777777777777778,worker8,"['1-1-rand1', '2-0-alt1', '2-1-bold-motorcycle1', '3-4-alt1']",18,14,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2364342_2609948_seed_ambiguous.png - shirt - alternative: visual', 'http://object-naming-amore.upf.edu//2390965_1245423_supercat_unique.png - biscuit - random: bounding box', 'http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png - handlebar - alternative: visual', ""http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png - bike - syn-motorcycle: ['bike']""]",4
3YHH42UU5BFAXPYMASC2GOPILNAL0A,0.918918918918919,0.972972972972973,10,7.0,7,6.0,5,5.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, 1.0, nan, 1.0, nan]",0.8181818181818182,0.8571428571428571,22,18.0,3M67TQBQQHO8BGX2NV14C1ECSPC9A4,../1_pre-pilot/verification_pilot_amt.csv_22,0.8181818181818181,worker18,"['1-1-rand1', '2-1-bold-motorcycle0', '2-1-bold-motorcycle1', '5-8-rand1']",22,18,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2348839_2323377_singleton_obj.png - plywood - random: visual', 'http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png - bike - syn-motorcycle: bounding box', 'http://object-naming-amore.upf.edu//2390965_1245423_supercat_unique.png - biscuit - random: bounding box', ""http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png - bike - syn-motorcycle: ['bike']""]",4
3H7XDTSHKCRNJNL6S887ARTEQCBGWB,1.0294117647058822,1.2941176470588236,8,7.0,5,5.0,3,3.0,"[1.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan]",0.9375,0.9375,16,15.0,3NQUW096N68P7ZO6KMQULFUNM1B9LM,../1_pre-pilot/verification_pilot_amt.csv_30,0.9375,worker14,['3-1-bold-airplane0'],16,15,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2366670_2170602_singleton_obj.png - plane - syn-airplane: visual'],1
3JZQSN0I3QAL81ZB2JY7637EV8DFG2,0.6764705882352942,1.2058823529411764,8,7.0,5,5.0,3,3.0,"[nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan]",0.9375,0.9375,16,15.0,3NQUW096N68P7ZO6KMQULFUNM1B9LM,../1_pre-pilot/verification_pilot_amt.csv_30,0.9375,worker18,['2-2-rand1'],16,15,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2332753_968617_singleton_obj.png - kegs - random: visual'],1
3R3YRB5GRF39HSJYB81WWHXE71VAU2,0.38235294117647056,0.5294117647058824,8,8.0,5,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,13,13.0,3NQUW096N68P7ZO6KMQULFUNM1B9LM,../1_pre-pilot/verification_pilot_amt.csv_30,1.0,worker24,[''],13,13,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3Y4W8Q93LZK7SEBA0823I4736ALVDW,0.6176470588235294,1.911764705882353,8,8.0,5,4.0,1,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan]",0.9285714285714286,0.9285714285714286,14,13.0,3NQUW096N68P7ZO6KMQULFUNM1B9LM,../1_pre-pilot/verification_pilot_amt.csv_30,0.9285714285714286,worker8,['1-5-bold-man1'],14,13,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2335128_2087938_supercat_ambiguous.png - human - syn-man: ['human', 'person']""]",1
3D8YOU6S9EK8UQ7VLVKKGCVSBILU6C,0.5405405405405406,0.8918918918918919,9,8.0,5,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9285714285714286,1.0,14,13.0,3P458N04Q1H979KWDWE3MMHWN3AX21,../1_pre-pilot/verification_pilot_amt.csv_21,0.9285714285714286,worker24,['5-9-bold-board0'],14,13,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",['http://object-naming-amore.upf.edu//4220_1557332_singleton_obj.png - table - syn-board: visual'],1
3E337GFOL98XWTCS07HKE8GNXZZNGH,1.027027027027027,0.8918918918918919,8,7.0,5,5.0,9,9.0,"[nan, 1.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, 1.0, nan, nan, 1.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, 1.0, nan, nan, nan, 1.0]",0.9545454545454546,1.0,22,21.0,3P458N04Q1H979KWDWE3MMHWN3AX21,../1_pre-pilot/verification_pilot_amt.csv_21,0.9545454545454546,worker18,['5-9-bold-board0'],22,21,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",['http://object-naming-amore.upf.edu//4220_1557332_singleton_obj.png - table - syn-board: visual'],1
3FE2ERCCZX8LRR53457KN6UKO0QOP0,0.6756756756756757,0.8918918918918919,9,8.0,5,5.0,1,1.0,"[nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9333333333333333,1.0,15,14.0,3P458N04Q1H979KWDWE3MMHWN3AX21,../1_pre-pilot/verification_pilot_amt.csv_21,0.9333333333333333,worker7,['5-9-bold-board0'],15,14,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",['http://object-naming-amore.upf.edu//4220_1557332_singleton_obj.png - table - syn-board: visual'],1
3GM6G9ZBKNXVJGDY861R0C6CI5FTMI,0.6216216216216216,0.7837837837837838,9,8.0,5,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9285714285714286,1.0,14,13.0,3P458N04Q1H979KWDWE3MMHWN3AX21,../1_pre-pilot/verification_pilot_amt.csv_21,0.9285714285714286,worker2,['5-9-bold-board0'],14,13,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",['http://object-naming-amore.upf.edu//4220_1557332_singleton_obj.png - table - syn-board: visual'],1
