,index,image,object,name,correct1,correct2,correct3,image_url,control_type,rating,type,same_color,reliable1,reliable2,control_type_trimmed
60,60,2330997,3035829,sauce,0.0,,,http://object-naming-amore.upf.edu//2330997_3035829_supercat_ambiguous.png,alternative,"[2, 1, 0, 0]","['visual', 'visual', nan, nan]","[['sauce'], ['sauce', 'food', 'cheese', 'pizza'], ['sauce'], ['sauce', 'cheese']]",False,False,alternative
61,61,2333343,3140573,counter,,,,http://object-naming-amore.upf.edu//2333343_3140573_singleton_obj.png,,"[0, 1, 0, 0]","[nan, 'visual', nan, nan]","[['countertop', 'counter'], ['countertop', 'counter'], ['counter'], ['gas stove', 'countertop', 'stove top', 'stove', 'counter']]",False,False,
62,62,2333343,3140573,countertop,,,1.0,http://object-naming-amore.upf.edu//2333343_3140573_singleton_obj.png,,"[0, 1, 2, 0]","[nan, 'visual', 'bounding box', nan]","[['countertop', 'counter'], ['countertop', 'counter'], ['countertop', 'stove top'], ['gas stove', 'countertop', 'stove top', 'stove', 'counter']]",False,False,
63,63,2333343,3140573,gas stove,,,,http://object-naming-amore.upf.edu//2333343_3140573_singleton_obj.png,,"[1, 0, 0, 0]","['bounding box', nan, nan, nan]","[['gas stove', 'stove top', 'stove'], ['gas stove', 'stove top', 'stove'], ['gas stove', 'stove'], ['gas stove', 'countertop', 'stove top', 'stove', 'counter']]",False,False,
64,64,2333343,3140573,shaker,1.0,,,http://object-naming-amore.upf.edu//2333343_3140573_singleton_obj.png,alternative,"[2, 2, 2, 2]","['other', 'other', 'bounding box', 'bounding box']","[['shaker'], ['shaker'], ['shaker'], ['shaker']]",True,False,alternative
65,65,2333343,3140573,stove,,,,http://object-naming-amore.upf.edu//2333343_3140573_singleton_obj.png,,"[1, 0, 0, 0]","['bounding box', nan, nan, nan]","[['gas stove', 'stove top', 'stove'], ['gas stove', 'stove top', 'stove'], ['gas stove', 'stove'], ['gas stove', 'countertop', 'stove top', 'stove', 'counter']]",False,False,
66,66,2333343,3140573,stove top,,,1.0,http://object-naming-amore.upf.edu//2333343_3140573_singleton_obj.png,,"[1, 0, 2, 0]","['bounding box', nan, 'bounding box', nan]","[['gas stove', 'stove top', 'stove'], ['gas stove', 'stove top', 'stove'], ['countertop', 'stove top'], ['gas stove', 'countertop', 'stove top', 'stove', 'counter']]",False,False,
67,67,2334627,964696,bookcase,0.0,,,http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png,alternative,"[1, 0, 0, 0]","['visual', nan, nan, nan]","[['bookcase'], ['stand', 'cabinet', 'bookcase'], ['entertainment center', 'cabinet', 'bookcase'], ['entertainment center', 'cabinet', 'bookcase']]",False,False,alternative
68,68,2334627,964696,cabinet,,,,http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png,,"[1, 0, 0, 0]","['visual', nan, nan, nan]","[['cabinet'], ['stand', 'cabinet', 'bookcase'], ['entertainment center', 'cabinet', 'bookcase'], ['entertainment center', 'cabinet', 'bookcase']]",False,False,
69,69,2334627,964696,chair,,,1.0,http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png,,"[2, 2, 0, 0]","['bounding box', 'bounding box', nan, nan]","[['chair'], ['chair'], ['chair'], ['chair']]",False,False,
70,70,2334627,964696,entertainment center,,,,http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['entertainment center'], ['entertainment center'], ['entertainment center', 'cabinet', 'bookcase'], ['entertainment center', 'cabinet', 'bookcase']]",False,False,
71,71,2334627,964696,furniture,,,1.0,http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png,,"[0, 2, 0, 0]","[nan, 'bounding box', nan, nan]","[['furniture'], ['furniture'], ['furniture'], ['furniture']]",False,False,
72,72,2334627,964696,stand,,,0.0,http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png,,"[1, 2, 0, 0]","['visual', 'bounding box', nan, nan]","[['stand'], ['stand', 'cabinet', 'bookcase'], ['table', 'stand'], ['table', 'stand']]",False,False,
73,73,2334627,964696,table,,,,http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png,,"[1, 2, 0, 0]","['visual', 'visual', nan, nan]","[['table'], ['table'], ['table', 'stand'], ['table', 'stand']]",False,False,
74,74,2334627,964696,television,,,,http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['television'], ['television'], ['television'], ['television']]",False,False,
75,75,2339772,950056,bag,,,1.0,http://object-naming-amore.upf.edu//2339772_950056_singleton_obj.png,,"[2, 0, 0, 0]","['bounding box', nan, nan, nan]","[['bag'], ['bag'], ['lid', 'bag'], ['bag']]",False,False,
76,76,2339772,950056,bookcase,,,,http://object-naming-amore.upf.edu//2339772_950056_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['shelf', 'bookshelves', 'bookshelf', 'bookcase'], ['shelf', 'bookshelf', 'bookcase'], ['shelf', 'bookshelves', 'bookshelf', 'bookcase'], ['shelf', 'bookshelves', 'bookshelf', 'bookcase']]",False,False,
77,77,2339772,950056,bookshelf,,,,http://object-naming-amore.upf.edu//2339772_950056_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['shelf', 'bookshelves', 'bookshelf', 'bookcase'], ['shelf', 'bookshelf', 'bookcase'], ['shelf', 'bookshelves', 'bookshelf', 'bookcase'], ['shelf', 'bookshelves', 'bookshelf', 'bookcase']]",False,False,
78,78,2339772,950056,bookshelves,0.75,0.75,,http://object-naming-amore.upf.edu//2339772_950056_singleton_obj.png,syn-bookshelf,"[0, 1, 0, 0]","[nan, 'bounding box', nan, nan]","[['shelf', 'bookshelves', 'bookshelf', 'bookcase'], ['bookshelves'], ['shelf', 'bookshelves', 'bookshelf', 'bookcase'], ['shelf', 'bookshelves', 'bookshelf', 'bookcase']]",True,True,syn
79,79,2339772,950056,child,,,,http://object-naming-amore.upf.edu//2339772_950056_singleton_obj.png,,"[1, 0, 0, 0]","['bounding box', nan, nan, nan]","[['girl', 'child'], ['girl', 'child'], ['girl', 'child'], ['girl', 'child']]",False,False,
80,80,2339772,950056,girl,,,,http://object-naming-amore.upf.edu//2339772_950056_singleton_obj.png,,"[1, 0, 0, 0]","['bounding box', nan, nan, nan]","[['girl', 'child'], ['girl', 'child'], ['girl', 'child'], ['girl', 'child']]",False,False,
81,81,2339772,950056,lid,0.5,,,http://object-naming-amore.upf.edu//2339772_950056_singleton_obj.png,alternative,"[2, 2, 0, 2]","['other', 'visual', nan, 'other']","[['lid'], ['lid'], ['lid', 'bag'], ['lid']]",True,False,alternative
82,82,2339772,950056,shelf,,,,http://object-naming-amore.upf.edu//2339772_950056_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['shelf', 'bookshelves', 'bookshelf', 'bookcase'], ['shelf', 'bookshelf', 'bookcase'], ['shelf', 'bookshelves', 'bookshelf', 'bookcase'], ['shelf', 'bookshelves', 'bookshelf', 'bookcase']]",False,False,
83,83,2339950,2578854,chin,1.0,1.0,,http://object-naming-amore.upf.edu//2339950_2578854_supercat_unique.png,alternative,"[2, 2, 1, 2]","['bounding box', 'bounding box', 'bounding box', 'bounding box']","[['chin'], ['chin'], ['chin'], ['chin']]",True,True,alternative
84,84,2339950,2578854,dress shirt,,,,http://object-naming-amore.upf.edu//2339950_2578854_supercat_unique.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['shirt', 'dress shirt'], ['shirt', 'dress shirt'], ['shirt', 'dress shirt'], ['shirt', 'dress shirt']]",False,False,
