vg_img_id	vg_object_id	synset	url	plurals	low_similarity	optouts
2386183	519556	male_child.n.01	http://object-naming-amore.upf.edu//2386183_519556_singleton_obj.png	[]	['_notfound_person', '_notfound_boy', '_notfound_skater', '_notfound_kid', '_notfound_skateboarder']	{'#bbox': 1}
2413459	173174	motorcycle.n.01	http://object-naming-amore.upf.edu//2413459_173174_supercat_unique.png	[]	['_notfound_bicycle', '_notfound_buggy', '_notfound_motorcycle']	{'#bbox': 4}
2411972	205759	dish.n.02	http://object-naming-amore.upf.edu//2411972_205759_singleton_obj.png	[]	[]	{'#bbox': 1}
2347120	3076790	furnishing.n.02	http://object-naming-amore.upf.edu//2347120_3076790_singleton_obj.png	[]	['floor/0.19']	{'#other_looks like floor maybe?': 1, '#occlusion': 2}
2410161	224595	overgarment.n.01	http://object-naming-amore.upf.edu//2410161_224595_singleton_obj.png	[]	['_notfound_man', '_notfound_jacket', '_notfound_snowboarder', '_notfound_skier']	{'#bbox': 1}
2325483	2892456	furnishing.n.02	http://object-naming-amore.upf.edu//2325483_2892456_seed_ambiguous.png	[]	['desk/0.08']	{'#occlusion': 1, '#bbox': 2}
2417012	2823978	foodstuff.n.02	http://object-naming-amore.upf.edu//2417012_2823978_singleton_obj.png	[]	['_notfound_pizza', '_notfound_cheese']	{'#bbox': 2}
2385192	522119	furnishing.n.02	http://object-naming-amore.upf.edu//2385192_522119_singleton_obj.png	[]	['floor/0.19']	{'#bbox': 2, '#occlusion': 1}
2409146	247987	foodstuff.n.02	http://object-naming-amore.upf.edu//2409146_247987_supercat_ambiguous.png	[]	['_notfound_cake', '_notfound_pie', '_notfound_pizza']	{'#occlusion': 1, '#bbox': 1}
2396955	1193899	restaurant.n.01	http://object-naming-amore.upf.edu//2396955_1193899_supercat_unique.png	[]	['child/0.09']	{'#bbox': 4}
2353643	3577721	shelter.n.01	http://object-naming-amore.upf.edu//2353643_3577721_singleton_obj.png	['pants']	['pants/0.08', 'dugout/0.12', 'dug/0.12', 'team/0.04']	{'#bbox': 2}
2388727	671233	furnishing.n.02	http://object-naming-amore.upf.edu//2388727_671233_singleton_obj.png	[]	['toy/0.14', 'banana/-0.04', '_notfound_stuffed toy banana']	{'#occlusion': 2, '#other_sad banana? What?': 1}
2365993	631070	furnishing.n.02	http://object-naming-amore.upf.edu//2365993_631070_seed_ambiguous.png	['chairs']	['table/0.06', 'chairs/0.10', '_notfound_dining set']	{}
2409449	241577	dish.n.02	http://object-naming-amore.upf.edu//2409449_241577_singleton_obj.png	[]	['_notfound_burger']	{'#occlusion': 1}
2361820	3465976	boat.n.01	http://object-naming-amore.upf.edu//2361820_3465976_supercat_unique.png	[]	['fence/0.15', 'lock/0.06']	{'#occlusion': 1, "#other_That's not a boat? A dock? Not sure": 1, '#bbox': 1}
2339403	951497	furnishing.n.02	http://object-naming-amore.upf.edu//2339403_951497_singleton_obj.png	[]	['table/0.06']	{'#bbox': 6}
2401221	1150127	shelter.n.01	http://object-naming-amore.upf.edu//2401221_1150127_supercat_unique.png	['men']	['man/0.09', '_notfound_tarp', 'men/0.06']	{'#bbox': 2, '#occlusion': 2}
2381380	1337061	shirt.n.01	http://object-naming-amore.upf.edu//2381380_1337061_supercat_unique.png	[]	[]	{'#bbox': 1}
2351554	2124669	furnishing.n.02	http://object-naming-amore.upf.edu//2351554_2124669_singleton_obj.png	[]	[]	{'#bbox': 1}
2341446	3021655	foodstuff.n.02	http://object-naming-amore.upf.edu//2341446_3021655_supercat_unique.png	[]	['_notfound_sauce', '_notfound_food']	{'#bbox': 3, '#occlusion': 1, '#other_The sauce?': 1}
2407752	274140	house.n.01	http://object-naming-amore.upf.edu//2407752_274140_supercat_unique.png	[]	[]	{'#bbox': 3}
2327147	2881623	woman.n.01	http://object-naming-amore.upf.edu//2327147_2881623_seed_ambiguous.png	['friends', 'women']	['friends/0.17']	{}
2388444	1268792	furnishing.n.02	http://object-naming-amore.upf.edu//2388444_1268792_singleton_obj.png	[]	['desk/0.08', 'table/0.06']	{'#bbox': 5}
