	HITId	AssignmentId	WorkerId	WorkTimeInSeconds	url	vg_obj_name	mn_obj_name	comments	same_object	correct_name	ambiguous_bbox
39	3UUSLRKAUL39FLBFYSHHA6LH2MBD74	3VELCLL3GKJUP383QK00LFS5HYK1F8	A224CWDR7XXF53	30	http://object-naming-amore.upf.edu//2404756_338301_singleton_obj.png	rug	jeans		No	-2	no
40	34O39PNDK68QI7XATAOHKXOH0DTBRU	3QXNC7EIPIVLH4W8RFW8XENK98L90N	A224CWDR7XXF53	8	http://object-naming-amore.upf.edu//2359985_3421198_singleton_obj.png	motorbike	motorcycle		Yes	2	
41	373L46LKP76ADMIRRIS1H9LGDQ8KJV	374TNBHA8BVO6Y9FGPI3B17TVL9QYW	A224CWDR7XXF53	14	http://object-naming-amore.upf.edu//2404756_338301_singleton_obj.png	rug	saddle		Yes	0	
42	36FQTHX3Z3RYZ5C8IKNL2ZL1UZD3BI	32ZKVD547FN0MPA28MSNQIGH0KJB35	A224CWDR7XXF53	17	http://object-naming-amore.upf.edu//2359985_3421198_singleton_obj.png	motorbike	wheel	plural would be correct	Not sure	0	Yes
43	36FQTHX3Z3RYZ5C8IKNL2ZL1UZD3BI	3RUIQRXJBBOTF2M355LH0763C07LLZ	A91P6MTYV299S	13	http://object-naming-amore.upf.edu//2359985_3421198_singleton_obj.png	motorbike	wheel		No	-2	no
44	378G7J1SJLYTX6QG2V0D842JVPLEW0	3AUQQEL7U5TJEB9BUG14PWCH00F0V5	A224CWDR7XXF53	9	http://object-naming-amore.upf.edu//2404756_338301_singleton_obj.png	rug	pants		No	-3	no
45	38VTL6WC4ADXQSSN6VPYP7HMT4M5YP	30LB5CDZNCA0NVELVDQ7A2PDOBL0Z5	A224CWDR7XXF53	25	http://object-naming-amore.upf.edu//2359985_3421198_singleton_obj.png	motorbike	bikes	plural correct	Not sure	2	Yes
46	3HYV4299H0WI75UY4SK7UOZXDII8EF	3Q8GYXHFEP2MA9PC05CBGZKJW1ZC5S	A224CWDR7XXF53	6	http://object-naming-amore.upf.edu//2359985_3421198_singleton_obj.png	motorbike	motorcycles		Yes	2	
47	3TRB893CSJACR5L60IIPGROEFERG7H	386PBUZZXFXNKCY32K94KSTB8B9JL2	A224CWDR7XXF53	7	http://object-naming-amore.upf.edu//2404756_338301_singleton_obj.png	rug	blanket		Yes	2	
48	3KVQ0UJWPXLT1NXNRU7A4AW6IWM5WQ	3WT783CTPBHOZP6L1F3OJLKB6XJCBR	A224CWDR7XXF53	15	http://object-naming-amore.upf.edu//2359985_3421198_singleton_obj.png	motorbike	pavement		No	2	no
49	34OWYT6U3WHU1FFU53GCFZS0PH7I9N	3OVHNO1VE61UMFFF7PE2P99WI0JDZ0	A224CWDR7XXF53	10	http://object-naming-amore.upf.edu//2404756_338301_singleton_obj.png	rug	shoe		No	-3	no
50	3G5RUKN2EC3MFGQL2JT4K7OHBG1N98	3GDTJDAPVUBI6DK5BSDSVFZMS548M8	A224CWDR7XXF53	9	http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png	plane	ground		No	2	no
51	37M4O367VJIXWB39NS1NVCUFKU85MZ	3VBEN272MKZ0XN3SENL2Z1FQ8DTGS2	A91P6MTYV299S	11	http://object-naming-amore.upf.edu//2383412_1320944_supercat_ambiguous.png	pan	pizza board		Yes	2	
52	30U1YOGZGAWVYJV7MVFS5XHDP0ODSR	3TVSS0C0E10X9967ISUAV9X04K0WT9	A224CWDR7XXF53	58	http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png	plane	runway		No	2	no
53	3ZXNP4Z39RLSDXZ7B9F5TJTMBVDL7S	3MMN5BL1WZ4W5GEZZBIW4YRBCJCM3U	A224CWDR7XXF53	8	http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png	plane	road		No	2	no
54	382GHPVPHSREE6RZ35DYULFVK7W34C	37UQDCYH6XVXWM9VFFMD4BM48EFV7U	A224CWDR7XXF53	6	http://object-naming-amore.upf.edu//2383412_1320944_supercat_ambiguous.png	pan	paddle		Yes	2	
55	3E6L1VR4XWMN95B66O7FSSO6JO7F6I	3RSDURM96AMZ9VJA7YN3HKIFCIQYEX	A224CWDR7XXF53	17	http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png	plane	airplane	Both wrong	Yes	-2	no
56	30UZJB2POHCWAPVZHAW8ZDL9K3R35H	3X73LLYYQ1EHH66YQXMYL7HL0E2NH0	A224CWDR7XXF53	15	http://object-naming-amore.upf.edu//2383412_1320944_supercat_ambiguous.png	pan	pizza		No	-2	no
57	3W31J70BASWN58CLHQBFU58LN6ZCK9	3SUWZRL0MYDXQB941FSBYTYMD8NE63	A224CWDR7XXF53	8	http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png	plane	tarmac		No	2	no
58	35YHTYFL1G38OVQ77WFN4K450HYFV9	3WEV0KO0OMSXL3T1CXKUTGCTVLJDSV	A224CWDR7XXF53	16	http://object-naming-amore.upf.edu//2383412_1320944_supercat_ambiguous.png	pan	pizza pan		Yes	1	no
59	3KA7IJSNW6556UHVGIKSF2O2ZV5BP2	3IAEQB9FMEKQSKAAW2UVQ5FE1YFDWA	A224CWDR7XXF53	34	http://object-naming-amore.upf.edu//2383412_1320944_supercat_ambiguous.png	pan	peel		Yes	2	
60	3ZUE82NE0A1ADJUUZ34DC6KXPJX8FX	3180JW2OT4C9INVIAXTX33XEML8J5D	A224CWDR7XXF53	13	http://object-naming-amore.upf.edu//2417254_2930050_singleton_obj.png	scooter	motorcycle		Yes	1	
61	3D06DR5225JU2HFQIOS43NA1C89AMA	33LK57MYLT50O4YX4F9RK8VWJ3YSZE	A224CWDR7XXF53	11	http://object-naming-amore.upf.edu//2417254_2930050_singleton_obj.png	scooter	motorbike		Yes	1	
62	3D06DR5225JU2HFQIOS43NA1C89AMA	3XC1O3LBOSMHYFU8EEN8MYGK6DTLT2	A91P6MTYV299S	9	http://object-naming-amore.upf.edu//2417254_2930050_singleton_obj.png	scooter	motorbike		Yes	2	
63	362E9TQF2HQ9GP22J9MM7GENTU2IGE	3P4RDNWND56LUBQXHHCRSC1JR78JIH	A91P6MTYV299S	35	http://object-naming-amore.upf.edu//2383412_1320944_supercat_ambiguous.png	pan	pizza peel		Yes	2	
64	362E9TQF2HQ9GP22J9MM7GENTU2IGE	3YMU66OBIN8B7EPC3T93VN8OZ2JHGP	A224CWDR7XXF53	7	http://object-naming-amore.upf.edu//2383412_1320944_supercat_ambiguous.png	pan	pizza peel		Yes	2	
65	3NI0WFPPI9GWC1WG36OUPL12DMI605	30BUDKLTXDV1779QWWI66NKMHD6E5H	A91P6MTYV299S	9	http://object-naming-amore.upf.edu//2417254_2930050_singleton_obj.png	scooter	wheel		No	-3	no
66	3ZUE82NE0A1ADJUUZ34DC6KXPJXF84	3Z4AIRP3C6DBPPZOQE6MRMSCL3NX12	A224CWDR7XXF53	6	http://object-naming-amore.upf.edu//2417254_2930050_singleton_obj.png	scooter	moped		Yes	2	
67	3S1L4CQSFX5OW7N9W1OR8XQSF7XAF3	3MRNMEIQW56AHQYBSONTHUYY3R9DLF	A224CWDR7XXF53	26	http://object-naming-amore.upf.edu//2405561_330994_singleton_obj.png	desk	table		Yes	2	
68	3OKP4QVBP2XUA7J47LU9QIQ4GMXAG2	3E4GGUZ1T8RCUAIDAZRB6BUFH0IK2D	A224CWDR7XXF53	9	http://object-naming-amore.upf.edu//2405561_330994_singleton_obj.png	desk	laptop		No	-3	no
69	3OKP4QVBP2XUA7J47LU9QIQ4GMXAG2	3MTMREQS4VISUD7YCS3T0478GV8AWV	A91P6MTYV299S	20	http://object-naming-amore.upf.edu//2405561_330994_singleton_obj.png	desk	laptop		No	-3	no
70	34KYK9TV2R82JMXN8ZOMA7TDMFCBSI	3X31TUMD7XMGPVIZCV3YGSXPEU9L10	A224CWDR7XXF53	11	http://object-naming-amore.upf.edu//2369895_3861069_singleton_obj.png	truck	trailer		Yes	2	
71	3N7PQ0KLI5PW68OSSBPB37RMXWQE3T	3YDGXNSEOZU22NVZ5ODW9LIM6EH487	A224CWDR7XXF53	493	http://object-naming-amore.upf.edu//2397454_434022_supercat_unique.png	couch	sofa		Yes	2	
72	3VGZ74AYTGGI3MG2RZQ0WDGSGPIGCA	3EG49X351UC6WB0LWKI3MIJTTE3X60	A224CWDR7XXF53	16	http://object-naming-amore.upf.edu//2369895_3861069_singleton_obj.png	truck	wagon		Yes	2	
73	3EHIMLB7F7ZURFL0UTSDFRWA5YA8HV	3FK0YFF9PZGZ7CARXDPTAP27UWRVVR	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2369895_3861069_singleton_obj.png	truck	cart		Yes	2	
74	3DTJ4WT8BDFXR1VLDIKK78W1CRPEZQ	3CTOC39K37QO5R91YQ8U1NBADR3J7S	A224CWDR7XXF53	10	http://object-naming-amore.upf.edu//2397454_434022_supercat_unique.png	couch	laptop		No	-2	no
75	306W7JMRYYYK02IEU1IHTGTCAL58BF	3YGXWBAF70H4EQLCM0T1B7E5W524CD	A224CWDR7XXF53	10	http://object-naming-amore.upf.edu//2317921_3471988_seed_ambiguous.png	bench	seat		Yes	2	
76	3L1EFR8WWT5AROD44VARC2F89PFF9T	320DUZ38G7M7YKK2RTCO70O3CUMGJS	A224CWDR7XXF53	6	http://object-naming-amore.upf.edu//2369895_3861069_singleton_obj.png	truck	vehicle		Yes	2	
77	3V8JSVE8YYQXMBLGHWI1T1NZ6XLEYZ	3I33IC7ZWF26IX9RY8EMCXRJCOT2AL	A224CWDR7XXF53	8	http://object-naming-amore.upf.edu//2317921_3471988_seed_ambiguous.png	bench	t-shirt		No	-3	no
78	3V8JSVE8YYQXMBLGHWI1T1NZ6XLEYZ	3ND9UOO81K29QWY29JSJ9INJA7BLWS	A91P6MTYV299S	13	http://object-naming-amore.upf.edu//2317921_3471988_seed_ambiguous.png	bench	t-shirt		No	-3	no
79	3N5YJ55YXG30KZ0QUP74G2Z1HYJNAN	3KJYX6QCM9BQGHAXGOBA71RDZ97VJT	A224CWDR7XXF53	16	http://object-naming-amore.upf.edu//2369895_3861069_singleton_obj.png	truck	wheel		No	-2	no
80	3K3G488TR28OHQ11FL84CLEKUV55QM	3NLZY2D53PP46Z2GXATDHT5XM60LQU	A224CWDR7XXF53	13	http://object-naming-amore.upf.edu//2317212_1022693_singleton_obj.png	counter	chair		No	-3	no
81	3Y3CZJSZ9KTOTRG1S0X4HBOPQH75RN	3TE22NPXPBC1JM8XTLNJS92H4SL440	A224CWDR7XXF53	11	http://object-naming-amore.upf.edu//2317212_1022693_singleton_obj.png	counter	bar		Yes	2	
82	3KWGG5KP6J2IVWCO22OV9I0PCBUCME	3WZ36BJEV3G5L68WN1YE8VKFUJLBTB	A224CWDR7XXF53	12	http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png	helicopter	bike		No	-3	Not_sure
83	3BFNCI9LYKQBXT9I53B5XXZ5B9M37W	338JKRMM26ZAXNC9HTHTZ1XL176HAD	A224CWDR7XXF53	13	http://object-naming-amore.upf.edu//2365794_2346707_singleton_obj.png	bed	bed sheet		No	-3	no
84	38O9DZ0A62N38BZUITS889UHAK262P	3JPSL1DZ5SZ27JYKKRC64LUHNJ8NAL	A91P6MTYV299S	22	http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png	helicopter	plane		Yes	0	
85	38O9DZ0A62N38BZUITS889UHAK262P	3R0T90IZ1SCKQ6EWH1V2KWB8MADGCE	A224CWDR7XXF53	44	http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png	helicopter	plane		Yes	-1	
86	37VHPF5VYC33A7AK81EC40ZUS658CM	32UTUBMZ7GWKYYCLSWYT9D80R4BVBL	A224CWDR7XXF53	9	http://object-naming-amore.upf.edu//2365794_2346707_singleton_obj.png	bed	bed cover		No	-3	no
87	3YZ7A3YHR5T0U6GE7PX97LTLCJQ5SB	3K5TEWLKGVBUL6QRY6QAV0CDMUIVIH	A224CWDR7XXF53	24	http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png	couch	sofa		Yes	0	Yes
88	3APP19WN71ETN571H8DXADOIK37G6I	3KKG4CDWKIY2GSE9AGJA9HDXQK1943	A224CWDR7XXF53	13	http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png	helicopter	boat		Yes	-2	
89	391JB9X4ZY80EUOCUF5TX1DXHK3KMZ	3XXU1SWE8MVZMN6DJLA8T9Y4FQE0A4	A224CWDR7XXF53	27	http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png	couch	chair		Yes	-1	
90	3IHWR4LC7DDUNAWK0BAYF3XP5BPI8Y	35H6S234SA0XUSGBQEZ8UZS90FU56Z	A224CWDR7XXF53	13	http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png	helicopter	wheel		No	-3	Not_sure
91	36MUZ9VAE62UO0QPL0VNGGDYO9FDEQ	3ZQIG0FLQEGCM1AWNNUPWRLL15BWVK	A224CWDR7XXF53	29	http://object-naming-amore.upf.edu//2388024_675908_singleton_obj.png	bridge	building		No	0	no
92	3H5TOKO3D9JDBPEHM7BW1ORFUYY64L	3F6KKYWMNB105Q1W4138UM2N8M9DNH	A224CWDR7XXF53	56	http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png	helicopter	airplane		Yes	-1	
93	3EKZL9T8Y8MW3IBDB58IHDSTVPVCH5	3W2LOLRXLBFTYUZYPP6C7J2NTS7RK8	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2342774_2563941_singleton_obj.png	house	building		Yes	2	
94	3P4ZBJFX2V3L3KQCX6KJQMNJ7Q0FWJ	3Z7ISHFUH0VI5KJOQH3M3HVV79X8Z0	A224CWDR7XXF53	6	http://object-naming-amore.upf.edu//2385974_684689_singleton_obj.png	garage	building		Yes	2	
95	3UUIU9GZC55196TTWP2ZHQP7E245T0	3STRJBFXOWR6E9CQTEB77Y35HDSKT2	A224CWDR7XXF53	21	http://object-naming-amore.upf.edu//2411186_315568_singleton_obj.png	dugout	pants		No	-2	Yes
96	3UXQ63NLAAMFF92XOQRLYLFIUL4BL4	3TVSS0C0E10X9967ISUAV9X04K8WTH	A224CWDR7XXF53	56	http://object-naming-amore.upf.edu//2366670_2170602_singleton_obj.png	aircraft	paraglider		Yes	-1	
97	39XCQ6V3KY4V78IH0CU66GXTUUT65Q	3GFK2QRXX9HVO7VHHWCCSTRMOHRW5V	A224CWDR7XXF53	13	http://object-naming-amore.upf.edu//2366670_2170602_singleton_obj.png	aircraft	plane		Yes	1	
98	3RZS0FBRWKAOGZ91UIGNQMUKHG5CPA	3VNL7UK1XFJVYNKCS3KARLB09HITFG	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2366670_2170602_singleton_obj.png	aircraft	airplane		Yes	2	
99	3S1L4CQSFX5OW7N9W1OR8XQSF7XFA8	3U8YCDAGXPGR93DU8H7UJ9D9J8MQ0N	A224CWDR7XXF53	13	http://object-naming-amore.upf.edu//2366670_2170602_singleton_obj.png	aircraft	glider		Yes	2	
100	3XDSWAMB22S9GBAGUVVCQRKUMCRCQ1	3X65QVEQI0N0CYSXSSSIXOGGIR0LCQ	A224CWDR7XXF53	7	http://object-naming-amore.upf.edu//2366670_2170602_singleton_obj.png	aircraft	sky		No	-3	no
101	37OPIVELUU38A3EFRRCRBI25VMAAH1	3RJSC4XJ10U2GHUWOPJRLYIINC850Y	A224CWDR7XXF53	20	http://object-naming-amore.upf.edu//2411186_315568_singleton_obj.png	dugout	shoe		No	-3	no
102	3IV1AEQ4DRDQILGQITVYR4CPIQE8J0	3DYGAII7PL8UXKHEP2MKYAEHRG6QP2	A224CWDR7XXF53	17	http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png	car	bike	VG wrong as well	No	-2	no
103	3W0KKJIARR9LT5M80EVASJC2XFE8KZ	35L9RVQFCOIUCWQ7NYYKZ29F8AYHUP	A224CWDR7XXF53	43	http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png	car	bridge		No	0	Not_sure
104	3D1UCPY6GG9FX7E1F83BBXV0MTS38J	30OG32W0SUB5XWFW0WES04K88YDENE	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2393419_1220121_supercat_unique.png	house	building		Yes	2	
105	3WPCIUYH1A8WDJ8MBVKIF2DZRJ2DTG	3OXV7EAXLEQUGDT7CVBFF2UPMJ836C	A224CWDR7XXF53	16	http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png	car	window	VG name wrong	No	-2	no
106	3NCN4N1H1GH5395I0370BDJ7ZG4NBI	3180JW2OT4C9INVIAXTX33XEMLJ5JA	A224CWDR7XXF53	17	http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png	car	gas station	VG name wrong	No	-3	no
107	3NCN4N1H1GH5395I0370BDJ7ZG4NBI	3E337GFOL983HABN6R4G075KLELGNQ	A91P6MTYV299S	12	http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png	car	gas station		No	-3	Yes
108	3ZURAPD288NS2JA90IVYXWXPBDRF1K	35K3O9HUABDT942F28VFSZBZ67KEF0	A91P6MTYV299S	11	http://object-naming-amore.upf.edu//2393419_1220121_supercat_unique.png	house	porch		No	-3	Yes
109	3ZURAPD288NS2JA90IVYXWXPBDRF1K	3Y4W8Q93LZKDDVA56SPZ43W0UPBDVY	A224CWDR7XXF53	18	http://object-naming-amore.upf.edu//2393419_1220121_supercat_unique.png	house	porch		No	-2	no
110	32XN26MTXZJEVMZNQAUWE4JZ3H7L0S	36H9ULYP62U1KKO7G966PFORBFKFJQ	A224CWDR7XXF53	19	http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png	car	motorcycle		No	-2	Yes
111	3Z8UJEJOCZDFBCXBK09PBTQB6ZA398	3J4Q2Z4UTY3KHTEF1O0FQ4MDKDEQW2	A224CWDR7XXF53	22	http://object-naming-amore.upf.edu//2354552_2038175_supercat_ambiguous.png	palace	bridge	VG name wrong?	No	2	Not_sure
