items,quality_control,source,assignments
"[['http://object-naming-amore.upf.edu//2337149_3931734_singleton_obj.png', ['airplane', 'd', 'plane', 'jet']], ['http://object-naming-amore.upf.edu//2379719_1354937_singleton_obj.png', ['horse', 'cow', 'animal', 'animla']], ['http://object-naming-amore.upf.edu//2330152_2947362_singleton_obj.png', ['htodog', 'food', 'hotdog', 'bun']], ['http://object-naming-amore.upf.edu//2405390_373423_singleton_obj.png', ['ledge', 'table', 'pot', 'handle', 'counter', 'shelf']], ['http://object-naming-amore.upf.edu//2339908_3412018_singleton_obj.png', ['guy', 'snowboarder', 'person', 'skier', 'man', 'hair']], ['http://object-naming-amore.upf.edu//2352108_855968_singleton_obj.png', ['baseball player', 'player', 'boy', 'child', 'athlete', 'cap', 'bridel', 'batter']]]","['7b2264223a2022636f7572696572222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b22616e696d6c61223a202273616e732d616e696d616c227d', '7b2268746f646f67223a202273616e732d686f74646f67227d', '7b2268616e646c65223a20227365726966222c20227368656c66223a2022626f6c642d6c65646765227d', '7b2268616972223a20227365726966227d', '7b2262726964656c223a2022636f7572696572227d']",../1_crowdsourced/to_be_redone_amt.csv_109___../1_pre-pilot/verification_round0_amt.csv_33,2
"[['http://object-naming-amore.upf.edu//2356714_2600903_singleton_obj.png', ['sink', 'lotion', 'vanity', 'counter']], ['http://object-naming-amore.upf.edu//2401646_3817057_singleton_obj.png', ['t-shirt', 'building', 'house', 'curtain']], ['http://object-naming-amore.upf.edu//2349103_877423_supercat_unique.png', ['logo', 'building', 'barn', 'house']], ['http://object-naming-amore.upf.edu//2361547_3754368_singleton_obj.png', ['glass', 'beer', 'cup', 'phone', 'cellphone', 'cellphne']], ['http://object-naming-amore.upf.edu//2359220_1746842_singleton_obj.png', ['wheels', 'skateboarder', 'skater', 'girl', 't-shirt', 'woman']], ['http://object-naming-amore.upf.edu//2341848_3316206_singleton_obj.png', ['kid', 'child', 'table', 'laptop', 'person', 'box', 'grl', 'girl']]]","['7b226c6f74696f6e223a20227365726966227d', '7b226375727461696e223a20227365726966227d', '7b226c6f676f223a20227365726966227d', '7b2263656c6c70686e65223a202273616e732d63656c6c70686f6e65227d', '7b22776865656c73223a20227365726966227d', '7b2267726c223a202273616e732d6769726c222c20226368696c64223a2022626f6c642d6b6964227d']",../1_crowdsourced/to_be_redone_amt.csv_10___../1_pre-pilot/verification_round0_amt.csv_112,2
"[['http://object-naming-amore.upf.edu//2413838_165221_singleton_obj.png', ['airplane', 'plane', 'airlpane']], ['http://object-naming-amore.upf.edu//1593088_1615366_singleton_obj.png', ['man', 'udder', 'guy', 'person']], ['http://object-naming-amore.upf.edu//2407374_280674_seed_ambiguous.png', ['boy', 'cihld', 'skier', 'kid', 'child']], ['http://object-naming-amore.upf.edu//2371337_2115538_singleton_obj.png', ['glass', 'table', 'counter', 'countertop', 'folder']], ['http://object-naming-amore.upf.edu//2346754_2017062_supercat_unique.png', ['sandwich', 'sandwiches', 'cutlery', 'food', 'cake', 'club sandwich']], ['http://object-naming-amore.upf.edu//2386175_683453_singleton_obj.png', ['games', 'skateboard', 'boy', 'man', 'pant', 'skater', 'skateboarder', 't-shirt']]]","['7b226169726c70616e65223a202273616e732d616972706c616e65222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b227564646572223a2022636f7572696572227d', '7b226369686c64223a202273616e732d6368696c64222c20226368696c64223a2022626f6c642d6b6964227d', '7b22666f6c646572223a20227365726966227d', '7b226375746c657279223a20227365726966222c202273616e64776963686573223a2022626f6c642d73616e6477696368227d', '7b2267616d6573223a2022636f7572696572227d']",../1_crowdsourced/to_be_redone_amt.csv_110___../1_pre-pilot/verification_round0_amt.csv_330,2
"[['http://object-naming-amore.upf.edu//2317359_1021569_singleton_obj.png', ['engine', 'airplane', 'plane']], ['http://object-naming-amore.upf.edu//2373838_1915974_singleton_obj.png', ['train car', 'cars', 'train', 'car']], ['http://object-naming-amore.upf.edu//2399589_1168367_singleton_obj.png', ['washermen', 'bathtub', 'sink', 'soap', 'tub']], ['http://object-naming-amore.upf.edu//2325445_3321858_singleton_obj.png', ['bufger', 'person', 'girl', 'woman', 'burger']], ['http://object-naming-amore.upf.edu//2367807_2483772_singleton_obj.png', ['glass', 'woman', 'lady', 'lips', 'hair', 'person']], ['http://object-naming-amore.upf.edu//2383809_530166_singleton_obj.png', ['tennis player', 'man', 'guy', 'plaeyr', 'player', 'person', 'athlete', 'woman']]]","['7b22656e67696e65223a20227365726966222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b2263617273223a20227365726966227d', '7b22736f6170223a20227365726966222c2022747562223a2022626f6c642d62617468747562227d', '7b22627566676572223a202273616e732d627572676572227d', '7b226c697073223a20227365726966227d', '7b22706c61657972223a202273616e732d706c61796572227d']",../1_crowdsourced/to_be_redone_amt.csv_111___../1_pre-pilot/verification_round0_amt.csv_334,2
"[['http://object-naming-amore.upf.edu//2345915_2576538_singleton_obj.png', ['tarin', 'car', 'train']], ['http://object-naming-amore.upf.edu//2332158_2705456_supercat_unique.png', ['sandwich', 'food', 'polar', 'bread']], ['http://object-naming-amore.upf.edu//2336896_2579172_supercat_unique.png', ['lady', 'rags', 'person', 'knife', 'woman']], ['http://object-naming-amore.upf.edu//2408412_262316_seed_ambiguous.png', ['crapet', 'floor', 'rug', 'chair', 'carpet']], ['http://object-naming-amore.upf.edu//2323319_3156268_singleton_obj.png', ['cap', 'lady', 'man', 'person', 'anchor', 'woman']], ['http://object-naming-amore.upf.edu//2393931_468551_supercat_unique.png', ['mother', 'shirt', 'lady', 'ear', 'tank top', 'mom', 'woman', 'person']]]","['7b22746172696e223a202273616e732d747261696e227d', '7b22706f6c6172223a2022636f7572696572227d', '7b2272616773223a2022636f7572696572227d', '7b22637261706574223a202273616e732d636172706574222c2022636172706574223a2022626f6c642d727567227d', '7b22616e63686f72223a20227365726966227d', '7b22656172223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_112___../1_pre-pilot/verification_round0_amt.csv_339,1
"[['http://object-naming-amore.upf.edu//2358929_1778873_supercat_unique.png', ['jackte', 'coat', 'jacket']], ['http://object-naming-amore.upf.edu//2409093_249144_singleton_obj.png', ['motoorcycle', 'motorbike', 'bike', 'motorcycle']], ['http://object-naming-amore.upf.edu//2380742_543823_singleton_obj.png', ['shirt', 'sideburns', 't-shirt', 'uniform', 'jersey']], ['http://object-naming-amore.upf.edu//2317034_3004573_supercat_unique.png', ['jacket', 'man', 'shirt', 'sweater', 'pockets']], ['http://object-naming-amore.upf.edu//2391310_1241638_supercat_ambiguous.png', ['coat', 'blazer', 'suit', 'jacet', 'suit jacket', 'jacket']], ['http://object-naming-amore.upf.edu//2341090_2524107_singleton_obj.png', ['skateboardeer', 'pant', 'skateboarder', 'shoe', 'skater', 'person', 'man', 'women']]]","['7b226a61636b7465223a202273616e732d6a61636b6574227d', '7b226d6f746f6f726379636c65223a202273616e732d6d6f746f726379636c65222c202262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b22736964656275726e73223a20227365726966222c2022742d7368697274223a2022626f6c642d6a6572736579227d', '7b22706f636b657473223a20227365726966227d', '7b226a61636574223a202273616e732d6a61636b6574227d', '7b22736b617465626f617264656572223a202273616e732d736b617465626f6172646572227d']",../1_crowdsourced/to_be_redone_amt.csv_113___../1_pre-pilot/verification_round0_amt.csv_343,2
"[['http://object-naming-amore.upf.edu//2326722_3162404_supercat_ambiguous.png', ['lady', 'woman', 'car']], ['http://object-naming-amore.upf.edu//2338577_2146369_seed_ambiguous.png', ['suit', 'support', 'coat', 'jacket']], ['http://object-naming-amore.upf.edu//2350324_1873250_singleton_obj.png', ['crust', 'food', 'pepperoni', 'bread', 'pizza']], ['http://object-naming-amore.upf.edu//2370728_602015_singleton_obj.png', ['countertop', 'counter', 'vahity', 'vanity', 'sink']], ['http://object-naming-amore.upf.edu//2322237_2996045_supercat_unique.png', ['shirt', 'girl', 'child', 'person', 'giraffe', 't-shirt']], ['http://object-naming-amore.upf.edu//2387762_1273041_singleton_obj.png', ['skateboarder', 'skater', 'shoe', 'sky board', 'man', 'boy', 'laces', 'person']]]","['7b22636172223a20227365726966227d', '7b22737570706f7274223a2022636f7572696572227d', '7b227065707065726f6e69223a20227365726966227d', '7b22766168697479223a202273616e732d76616e697479227d', '7b2267697261666665223a20227365726966227d', '7b226c61636573223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_114___../1_pre-pilot/verification_round0_amt.csv_348,2
"[['http://object-naming-amore.upf.edu//2375050_2087361_supercat_ambiguous.png', ['food', 'cheese', 'pizza', 'sauce']], ['http://object-naming-amore.upf.edu//2374646_725659_seed_ambiguous.png', ['airplane', 'plane', 'airplaane', 'jet']], ['http://object-naming-amore.upf.edu//2334694_2584665_singleton_obj.png', ['jet', 'aiirplane', 'airplane', 'plane']], ['http://object-naming-amore.upf.edu//2317743_1017821_singleton_obj.png', ['cake', 'sandwich', 'food', 'writing', 'bun', 'hotdog']], ['http://object-naming-amore.upf.edu//2350935_2151038_supercat_ambiguous.png', ['cake', 'cheese', 'pizza', 'food', 'plate', 'cogs']], ['http://object-naming-amore.upf.edu//2398117_428263_singleton_obj.png', ['skateboarder', 'person', 'shoe', 'man', 'tinfoil', 'skater', 'clothing', 'boy']]]","['7b22636865657365223a20227365726966227d', '7b22616972706c61616e65223a202273616e732d616972706c616e65222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b2261696972706c616e65223a202273616e732d616972706c616e65222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b2277726974696e67223a20227365726966227d', '7b22636f6773223a2022636f7572696572227d', '7b2274696e666f696c223a2022636f7572696572227d']",../1_crowdsourced/to_be_redone_amt.csv_115___../1_pre-pilot/verification_round0_amt.csv_35,2
"[['http://object-naming-amore.upf.edu//2397989_662960_seed_ambiguous.png', ['floor', 'carpet', 'cafpet']], ['http://object-naming-amore.upf.edu//2327970_979100_singleton_obj.png', ['duck', 'gooe', 'bird', 'goose']], ['http://object-naming-amore.upf.edu//2362891_770217_supercat_unique.png', ['person', 'woman', 'womman', 'gamer', 'lady']], ['http://object-naming-amore.upf.edu//2364955_3886898_seed_ambiguous.png', ['peon', 'woman', 'ring', 'bracelet', 'girl']], ['http://object-naming-amore.upf.edu//2323518_3088906_singleton_obj.png', ['bathroom counter', 'sink', 'bathroom', 'lid', 'vanity', 'counter']], ['http://object-naming-amore.upf.edu//2378047_1893846_singleton_obj.png', ['table', 'kitchen', 'stove', 'oven', 'counter', 'burner', 'kitchenettes', 'cabinet']]]","['7b22636166706574223a202273616e732d636172706574222c2022636172706574223a2022617269616c227d', '7b22676f6f65223a202273616e732d676f6f7365227d', '7b22776f6d6d616e223a202273616e732d776f6d616e227d', '7b2272696e67223a20227365726966227d', '7b226c6964223a20227365726966227d', '7b226275726e6572223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_116___../1_pre-pilot/verification_round0_amt.csv_354,2
"[['http://object-naming-amore.upf.edu//2358717_1717945_singleton_obj.png', ['door', 'building', 'apartment']], ['http://object-naming-amore.upf.edu//2339789_2169414_supercat_unique.png', ['table', 'desk', 'curtian', 'cup']], ['http://object-naming-amore.upf.edu//2350649_1937561_supercat_unique.png', ['bull', 'cow', 'animal', 'dangle', 'yak']], ['http://object-naming-amore.upf.edu//2391580_1239876_singleton_obj.png', ['person', 'skateboarder', 'man', 'logo', 'skater']], ['http://object-naming-amore.upf.edu//2323777_3243539_supercat_unique.png', ['woman', 'sofa', 'wingtip', 'laptop', 'couch', 'person']], ['http://object-naming-amore.upf.edu//2413909_163695_singleton_obj.png', ['cap', 'skater', 'person', 'boy', 'shoe', 'clouds', 'man', 'skateboarder']]]","['7b22646f6f72223a20227365726966227d', '7b226375727469616e223a2022636f7572696572227d', '7b2264616e676c65223a2022636f7572696572227d', '7b226c6f676f223a20227365726966227d', '7b2277696e67746970223a2022636f7572696572222c2022736f6661223a2022626f6c642d636f756368227d', '7b22636c6f756473223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_117___../1_pre-pilot/verification_round0_amt.csv_360,1
"[['http://object-naming-amore.upf.edu//2321488_3230461_seed_ambiguous.png', ['girl', 'woman', 'wman']], ['http://object-naming-amore.upf.edu//2395388_455133_singleton_obj.png', ['airplane', 'wings', 'jet', 'plane']], ['http://object-naming-amore.upf.edu//2378926_713484_singleton_obj.png', ['tink', 'bread', 'hotdog', 'sandwich', 'food']], ['http://object-naming-amore.upf.edu//2403985_347466_singleton_obj.png', ['background', 'motor bike', 'motorcycle', 'motorbike', 'bike']], ['http://object-naming-amore.upf.edu//150386_1074748_singleton_obj.png', ['van', 'car', 'boots', 'truck', 'bus', 'wheel']], ['http://object-naming-amore.upf.edu//2317916_3104087_supercat_unique.png', ['girl', 'kid', 'plate', 'boy', 'toddler', 'baby', 'child', 'banjo']]]","['7b22776d616e223a202273616e732d776f6d616e227d', '7b2277696e6773223a20227365726966222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b2274696e6b223a2022636f7572696572227d', '7b226261636b67726f756e64223a20227365726966222c202262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b22626f6f7473223a20227365726966227d', '7b2262616e6a6f223a2022636f7572696572222c20226368696c64223a2022626f6c642d6b6964227d']",../1_crowdsourced/to_be_redone_amt.csv_118___../1_pre-pilot/verification_round0_amt.csv_361,2
"[['http://object-naming-amore.upf.edu//2317641_2846469_singleton_obj.png', ['jacket', 'coat', 'cuppola']], ['http://object-naming-amore.upf.edu//2317647_3418879_seed_ambiguous.png', ['zipper', 'man', 'book', 'guy']], ['http://object-naming-amore.upf.edu//2380950_1340860_seed_ambiguous.png', ['sink', 'counter', 'cabinet', 'vanity', 'italy']], ['http://object-naming-amore.upf.edu//2361471_3891039_singleton_obj.png', ['lady', 'person', 'runnig', 'glass', 'woman']], ['http://object-naming-amore.upf.edu//2355417_829731_singleton_obj.png', ['child', 'toddler', 'kid', 't-shirt', 'boy', 't-sirt']], ['http://object-naming-amore.upf.edu//2416481_3155541_singleton_obj.png', ['chicken', 'food', 'fritter', 'plate', 'crabcake', 'crab cake', 'meat', 'cake']]]","['7b22637570706f6c61223a2022636f7572696572227d', '7b227a6970706572223a20227365726966227d', '7b226974616c79223a2022636f7572696572227d', '7b2272756e6e6967223a2022636f7572696572227d', '7b22742d73697274223a202273616e732d742d7368697274222c20226b6964223a2022626f6c642d6368696c64227d', '7b226372616263616b65223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_119___../1_pre-pilot/verification_round0_amt.csv_367,2
