items,quality_control
"[['http://object-naming-amore.upf.edu//2360776_2566627_singleton_obj.png', ['bench', 'street', 'benches']], ['http://object-naming-amore.upf.edu//2397764_1186645_singleton_obj.png', ['pilots', 'cat', 'chair']], ['http://object-naming-amore.upf.edu//335_1027106_singleton_obj.png', ['keyboard', 'desk', 'nylon', 'table']], ['http://object-naming-amore.upf.edu//2373678_3206530_singleton_obj.png', ['guy', 'ear', 'man', 't-shirt', 'person']], ['http://object-naming-amore.upf.edu//2357724_809331_supercat_unique.png', ['tooth brush', 'child', 'kid', 'girl', 'wall']], ['http://object-naming-amore.upf.edu//2327232_3510599_seed_ambiguous.png', ['salad', 'pasta salad', 'plate', 'pasta', 'broccoli', 'food', 'pasta aslad']]]","['7b22737472656574223a20227365726966222c202262656e6368223a2022617269616c222c202262656e63686573223a2022626f6c642d62656e6368227d', '7b2270696c6f7473223a2022636f7572696572222c20226368616972223a2022617269616c227d', '7b226e796c6f6e223a2022636f7572696572222c20226465736b223a2022617269616c227d', '7b22656172223a20227365726966227d', '7b2277616c6c223a20227365726966222c20226368696c64223a2022617269616c222c20226b6964223a2022626f6c642d6368696c64227d', '7b2270617374612061736c6164223a202273616e732d70617374612073616c6164222c20227061737461223a2022617269616c227d']"
"[['http://object-naming-amore.upf.edu//2355872_2380078_supercat_ambiguous.png', ['woman', 'performer', 'perforrmer']], ['http://object-naming-amore.upf.edu//2350417_1744156_singleton_obj.png', ['man', 'jacket', 'cap']], ['http://object-naming-amore.upf.edu//2382658_537971_supercat_unique.png', ['sandwich', 'strapes', 'bread', 'food']], ['http://object-naming-amore.upf.edu//2410008_228305_supercat_unique.png', ['shirt', 't-shirt', 'dress', 'woman', 'coconut']], ['http://object-naming-amore.upf.edu//2359231_2078216_singleton_obj.png', ['motorcycle', 'motorbike', 'chopper', 'engine', 'bike']], ['http://object-naming-amore.upf.edu//2379623_1355876_singleton_obj.png', ['floor', 'chair', 'rug', 'furniture', 'sofa', 'tapestry', 'carpet']]]","['7b22706572666f72726d6572223a202273616e732d706572666f726d6572222c2022776f6d616e223a2022617269616c227d', '7b226a61636b6574223a2022636f7572696572222c20226d616e223a2022617269616c227d', '7b2273747261706573223a2022636f7572696572227d', '7b22636f636f6e7574223a2022636f7572696572222c20227368697274223a2022617269616c227d', '7b22656e67696e65223a20227365726966222c202262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b227461706573747279223a20227365726966222c2022727567223a2022626f6c642d636172706574227d']"
"[['http://object-naming-amore.upf.edu//2316279_3436868_singleton_obj.png', ['animal', 'mouth', 'cat']], ['http://object-naming-amore.upf.edu//2413820_165616_supercat_unique.png', ['bench', 'bnch', 'shoe']], ['http://object-naming-amore.upf.edu//2347210_892550_singleton_obj.png', ['shirt', 'man', 'cober', 't-shirt']], ['http://object-naming-amore.upf.edu//2373219_733775_singleton_obj.png', ['cheese', 'pizza', 'toppings', 'kneee', 'food']], ['http://object-naming-amore.upf.edu//2408097_268323_singleton_obj.png', ['cupcakes', 'cake', 'cupcake', 'cupcaek', 'table']], ['http://object-naming-amore.upf.edu//2337655_2003458_singleton_obj.png', ['person', 'kid', 'srufer', 'man', 'surfer', 'boy', 'teen']]]","['7b226d6f757468223a20227365726966222c2022636174223a2022617269616c227d', '7b22626e6368223a202273616e732d62656e6368222c202262656e6368223a2022617269616c227d', '7b22636f626572223a2022636f7572696572222c20226d616e223a2022617269616c227d', '7b226b6e656565223a2022636f7572696572227d', '7b226375706361656b223a202273616e732d63757063616b65222c20227461626c65223a2022617269616c222c202263757063616b6573223a2022626f6c642d63757063616b65227d', '7b22737275666572223a202273616e732d737572666572227d']"
"[['http://object-naming-amore.upf.edu//2330968_3249621_singleton_obj.png', ['head', 'bench', 'table']], ['http://object-naming-amore.upf.edu//2413563_171045_singleton_obj.png', ['curtain', 'pillow', 'bed']], ['http://object-naming-amore.upf.edu//2403337_354302_singleton_obj.png', ['bush', 'building', 't-shirt', 'house']], ['http://object-naming-amore.upf.edu//2341136_944516_singleton_obj.png', ['scissors', 'child', 'chair', 'toddler', 'girl']], ['http://object-naming-amore.upf.edu//2365806_3882402_singleton_obj.png', ['fruit', 'bowl', 'groudn', 'blackberries', 'berries']], ['http://object-naming-amore.upf.edu//2362605_772855_singleton_obj.png', ['t-shirt', 'skatr', 'boy', 'skateboarder', 'skater', 'man', 'person']]]","['7b2268656164223a20227365726966222c202262656e6368223a2022617269616c227d', '7b226375727461696e223a20227365726966222c2022626564223a2022617269616c227d', '7b2262757368223a20227365726966222c2022686f757365223a2022617269616c227d', '7b226368616972223a20227365726966222c20226769726c223a2022617269616c227d', '7b2267726f75646e223a2022636f7572696572222c2022626f776c223a2022617269616c227d', '7b22736b617472223a202273616e732d736b61746572227d']"
"[['http://object-naming-amore.upf.edu//2377094_2605026_singleton_obj.png', ['bed', 'bed sheet', 'bed shete']], ['http://object-naming-amore.upf.edu//2409570_238991_singleton_obj.png', ['seagull', 'sconce', 'bird']], ['http://object-naming-amore.upf.edu//2364952_637411_singleton_obj.png', ['aircraft', 'wheels', 'plane', 'airplane']], ['http://object-naming-amore.upf.edu//2410302_220982_singleton_obj.png', ['stance', 'tree', 'house', 'building', 'wall']], ['http://object-naming-amore.upf.edu//2343796_920020_singleton_obj.png', ['naval', 'shoe', 'woman', 'tennis player', 'player']], ['http://object-naming-amore.upf.edu//2413462_173116_singleton_obj.png', ['child', 't-shirt', 'kid', 'shirt', 'trshirt', 'boy', 'wire']]]","['7b22626564207368657465223a202273616e732d626564207368656574222c2022626564223a2022617269616c227d', '7b2273636f6e6365223a2022636f7572696572222c202262697264223a2022617269616c227d', '7b22776865656c73223a20227365726966222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b227374616e6365223a2022636f7572696572222c2022686f757365223a2022617269616c227d', '7b226e6176616c223a2022636f7572696572222c2022776f6d616e223a2022617269616c227d', '7b2274727368697274223a202273616e732d742d7368697274222c2022626f79223a2022617269616c222c20226b6964223a2022626f6c642d6368696c64227d']"
"[['http://object-naming-amore.upf.edu//2377573_1868867_singleton_obj.png', ['belt', 'dog', 'blet']], ['http://object-naming-amore.upf.edu//2348995_2416978_singleton_obj.png', ['car', 'log', 'truck']], ['http://object-naming-amore.upf.edu//2394088_467204_seed_ambiguous.png', ['mug', 'cup', 'tail', 'glass']], ['http://object-naming-amore.upf.edu//2394070_467349_singleton_obj.png', ['laptop', 'key board', 'desk', 'table', 'skie']], ['http://object-naming-amore.upf.edu//2410421_218031_supercat_ambiguous.png', ['mike', 'person', 'woman', 'microphone', 'hair']], ['http://object-naming-amore.upf.edu//2328210_3183293_singleton_obj.png', ['paastry', 'donut', 'pastry', 'cookie', 'cake', 'dessert', 'food']]]","['7b22626c6574223a202273616e732d62656c74222c2022646f67223a2022617269616c227d', '7b226c6f67223a20227365726966222c2022747275636b223a2022617269616c227d', '7b227461696c223a20227365726966222c2022637570223a2022617269616c227d', '7b22736b6965223a2022636f7572696572222c20226465736b223a2022617269616c227d', '7b2268616972223a20227365726966222c2022776f6d616e223a2022617269616c222c20226d696b65223a2022626f6c642d6d6963726f70686f6e65227d', '7b2270616173747279223a202273616e732d706173747279227d']"
"[['http://object-naming-amore.upf.edu//2339287_3498699_seed_ambiguous.png', ['sofa', 'couch', 'docks']], ['http://object-naming-amore.upf.edu//2364341_2335666_supercat_unique.png', ['blinds', 'table', 'cake']], ['http://object-naming-amore.upf.edu//2360552_787374_singleton_obj.png', ['animal', 'kitten', 'cat', 'key']], ['http://object-naming-amore.upf.edu//2383514_532207_singleton_obj.png', ['man', 'mask', 'baseball player', 'player', 'batter']], ['http://object-naming-amore.upf.edu//2381367_705249_seed_ambiguous.png', ['man', 'hand', 'dress', 'person', 'shirt']], ['http://object-naming-amore.upf.edu//2375608_721598_singleton_obj.png', ['kid', 'person', 'child', 'skater', 'boy', 'car', 'skateboarder']]]","['7b22646f636b73223a2022636f7572696572222c2022636f756368223a2022626f6c642d736f6661227d', '7b22626c696e6473223a20227365726966222c20227461626c65223a2022617269616c227d', '7b226b6579223a20227365726966222c2022636174223a2022617269616c227d', '7b226d61736b223a20227365726966227d', '7b2268616e64223a20227365726966222c20226d616e223a2022617269616c227d', '7b22636172223a20227365726966222c2022626f79223a2022617269616c222c20226368696c64223a2022626f6c642d6b6964227d']"
"[['http://object-naming-amore.upf.edu//2373413_1858903_supercat_unique.png', ['sock', 'shoe', 'scooter']], ['http://object-naming-amore.upf.edu//2375785_1837913_singleton_obj.png', ['motorcycle', 'bicyle', 'bike']], ['http://object-naming-amore.upf.edu//2328643_3182476_singleton_obj.png', ['pickup truck', 'truck', 'step', 'wheel']], ['http://object-naming-amore.upf.edu//2368309_618566_supercat_unique.png', ['food', 'burger', 'sandwich', 'hamburger', 'sajdwich']], ['http://object-naming-amore.upf.edu//2413579_170634_singleton_obj.png', ['car', 'van', 'truck', 'vehicle', 'bus', 'trck']], ['http://object-naming-amore.upf.edu//2375647_580738_singleton_obj.png', ['countertop', 'sink', 'mirror', 'plate', 'counter', 'wash passion']]]","['7b22736f636b223a20227365726966222c202273636f6f746572223a2022617269616c227d', '7b22626963796c65223a2022636f7572696572222c20226d6f746f726379636c65223a2022617269616c222c202262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b2273746570223a20227365726966222c2022747275636b223a2022617269616c227d', '7b2273616a6477696368223a202273616e732d73616e6477696368222c202273616e6477696368223a2022617269616c222c2022627572676572223a2022626f6c642d68616d627572676572227d', '7b227472636b223a202273616e732d747275636b227d', '7b226d6972726f72223a20227365726966222c2022636f756e746572223a2022617269616c227d']"
"[['http://object-naming-amore.upf.edu//2370840_740907_singleton_obj.png', ['sherb', 'bed', 'pillow']], ['http://object-naming-amore.upf.edu//2406152_1103321_singleton_obj.png', ['pillow', 'midwest', 'bed']], ['http://object-naming-amore.upf.edu//2358821_798917_singleton_obj.png', ['husk', 'pants', 'couch', 'sofa']], ['http://object-naming-amore.upf.edu//2347348_1822562_supercat_unique.png', ['person', 't-shirt', 'man', 'pizza', 'lecture']], ['http://object-naming-amore.upf.edu//2374325_2505738_singleton_obj.png', ['desk', 'laptop', 'paper', 'book', 'laptp', 'table']], ['http://object-naming-amore.upf.edu//2374776_3848617_supercat_ambiguous.png', ['pizza', 'fingers', 'burger', 'tomato', 'cheese', 'food']]]","['7b227368657262223a2022636f7572696572222c2022626564223a2022617269616c227d', '7b226d696477657374223a2022636f7572696572222c2022626564223a2022617269616c227d', '7b226875736b223a2022636f7572696572222c2022636f756368223a2022617269616c222c2022736f6661223a2022626f6c642d636f756368227d', '7b226c656374757265223a2022636f7572696572222c20226d616e223a2022617269616c227d', '7b226c61707470223a202273616e732d6c6170746f70227d', '7b2266696e67657273223a20227365726966227d']"
"[['http://object-naming-amore.upf.edu//2344752_2320312_singleton_obj.png', ['police car', 'car', 'loops']], ['http://object-naming-amore.upf.edu//2372587_591150_singleton_obj.png', ['car', 'sun', 'vehicle']], ['http://object-naming-amore.upf.edu//2363005_3747615_seed_ambiguous.png', ['motorcycle', 'street', 'bike', 'wheel']], ['http://object-naming-amore.upf.edu//2375076_1795383_singleton_obj.png', ['child', 'shirt', 'hand', 'person', 'boy']], ['http://object-naming-amore.upf.edu//2385022_522886_seed_ambiguous.png', ['fuslage', 'lady', 'woman', 'person', 'girl', 'shirts']], ['http://object-naming-amore.upf.edu//2316629_3155712_seed_ambiguous.png', ['spoon', 'food', 'sandwch', 'bread', 'sandwich', 'soup']]]","['7b226c6f6f7073223a2022636f7572696572222c2022636172223a2022617269616c227d', '7b2273756e223a20227365726966222c2022636172223a2022617269616c227d', '7b22737472656574223a20227365726966222c20226d6f746f726379636c65223a2022617269616c222c202262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b2268616e64223a20227365726966222c2022626f79223a2022617269616c227d', '7b226675736c616765223a2022636f7572696572227d', '7b2273616e64776368223a202273616e732d73616e6477696368227d']"
"[['http://object-naming-amore.upf.edu//2347254_2028993_supercat_ambiguous.png', ['animal', 'ear', 'sheep']], ['http://object-naming-amore.upf.edu//2393951_1215380_singleton_obj.png', ['headlight', 'vehicle', 'car']], ['http://object-naming-amore.upf.edu//2371945_595064_supercat_unique.png', ['person', 'man', 'jeans', 'shirt']], ['http://object-naming-amore.upf.edu//525_1623852_singleton_obj.png', ['cabinet', 'counter', 'sink', 'table', 'countertop']], ['http://object-naming-amore.upf.edu//2390271_499184_singleton_obj.png', ['woman', 'person', 'player', 'girl', 'frisbee', 'cushon']], ['http://object-naming-amore.upf.edu//2315962_3257551_singleton_obj.png', ['skater', 'laws', 'man', 'backpack', 'skateboarder', 'person']]]","['7b22656172223a20227365726966222c20227368656570223a2022617269616c227d', '7b22686561646c69676874223a20227365726966222c2022636172223a2022617269616c227d', '7b226a65616e73223a20227365726966222c20226d616e223a2022617269616c227d', '7b22636162696e6574223a20227365726966222c2022636f756e746572223a2022617269616c227d', '7b22637573686f6e223a2022636f7572696572222c2022776f6d616e223a2022617269616c227d', '7b226c617773223a2022636f7572696572227d']"
"[['http://object-naming-amore.upf.edu//2363054_1713447_singleton_obj.png', ['bed', 'whiskers', 'cat']], ['http://object-naming-amore.upf.edu//2397236_435703_singleton_obj.png', ['bed', 'bed sheet', 'bed shet']], ['http://object-naming-amore.upf.edu//2407026_286643_singleton_obj.png', ['tie', 'sliver', 'neck', 'shirt']], ['http://object-naming-amore.upf.edu//2337073_2599438_singleton_obj.png', ['t-shirt', 'bag', 'sundae', 'woman', 'coat']], ['http://object-naming-amore.upf.edu//2360683_2683277_singleton_obj.png', ['car hood', 'car', 'plant', 'hood', 'grill', 'light']], ['http://object-naming-amore.upf.edu//2381824_1333785_supercat_unique.png', ['man', 'kid', 'sharks', 'jacket', 'male', 'shirt']]]","['7b22776869736b657273223a20227365726966222c2022626564223a2022617269616c227d', '7b226265642073686574223a202273616e732d626564207368656574222c2022626564223a2022617269616c227d', '7b22736c69766572223a20227365726966222c20227368697274223a2022617269616c227d', '7b2273756e646165223a2022636f7572696572222c2022776f6d616e223a2022617269616c227d', '7b22706c616e74223a20227365726966222c2022686f6f64223a2022617269616c227d', '7b22736861726b73223a2022636f7572696572227d']"
"[['http://object-naming-amore.upf.edu//2403568_351865_singleton_obj.png', ['truck', 'outfits', 'vehicle']], ['http://object-naming-amore.upf.edu//1687_1544793_seed_ambiguous.png', ['chair', 'table', 'office chair']], ['http://object-naming-amore.upf.edu//2385867_1292022_supercat_unique.png', ['trim', 'floor', 'carpet', 'rug']], ['http://object-naming-amore.upf.edu//2362353_775007_singleton_obj.png', ['motorcycle', 'bike', 'dirt bike', 'motobrike', 'motorbike']], ['http://object-naming-amore.upf.edu//2410938_318626_singleton_obj.png', ['girl', 'woman', 'horse', 'person', 'shirt', 't-shirt']], ['http://object-naming-amore.upf.edu//2318653_3252150_seed_ambiguous.png', ['pizza', 'toppings', 'flowers', 'sauce', 'food', 'cheese']]]","['7b226f757466697473223a2022636f7572696572222c2022747275636b223a2022617269616c227d', '7b227461626c65223a20227365726966222c20226368616972223a2022617269616c227d', '7b227472696d223a2022636f7572696572222c2022636172706574223a2022617269616c222c2022727567223a2022626f6c642d636172706574227d', '7b226d6f746f6272696b65223a202273616e732d6d6f746f7262696b65222c20226d6f746f7262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b22686f727365223a20227365726966222c2022776f6d616e223a2022617269616c227d', '7b22666c6f77657273223a2022636f7572696572227d']"
